brand,customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,12 Days of Deals,413483.74,156,2650.54,505.04,4954.87
Adidas,Budget Shopper,Autumn Deals Drive,332662.99,125,2661.30,518.04,4982.16
Adidas,Budget Shopper,BOGO Blitz,356489.90,133,2680.38,550.36,4973.52
Adidas,Budget Shopper,Back to School Boost,339409.13,128,2651.63,508.79,4939.84
Adidas,Budget Shopper,Birthday Bash Sale,357999.70,136,2632.35,518.24,4929.82
Adidas,Budget Shopper,Black Friday Blowout,360237.55,127,2836.52,576.66,4965.74
Adidas,Budget Shopper,Cart Crasher Campaign,386562.77,129,2996.61,571.88,4931.02
Adidas,Budget Shopper,Cashback Carnival,377335.26,146,2584.49,534.21,4951.70
Adidas,Budget Shopper,Clearance Countdown,332390.32,128,2596.80,503.98,4964.25
Adidas,Budget Shopper,Countdown to Savings,332104.34,119,2790.79,516.38,4966.52
Adidas,Budget Shopper,Customer Appreciation Week,329977.29,121,2727.09,523.17,4925.34
Adidas,Budget Shopper,Cyber Monday Mania,354916.25,127,2794.62,551.31,4993.46
Adidas,Budget Shopper,Deal of the Month,372097.02,126,2953.15,598.75,4907.31
Adidas,Budget Shopper,Double Points Bonanza,371349.94,137,2710.58,502.14,4935.43
Adidas,Budget Shopper,Early Bird Specials,395923.88,131,3022.32,505.34,4996.74
Adidas,Budget Shopper,End of Season Sale,377240.68,127,2970.40,549.70,4971.31
Adidas,Budget Shopper,Exclusive Insider Offers,303459.71,128,2370.78,507.80,4884.21
Adidas,Budget Shopper,Festive Fever Promo,380171.90,140,2715.51,553.16,4976.80
Adidas,Budget Shopper,Final Call Frenzy,418003.59,143,2923.10,575.48,4995.87
Adidas,Budget Shopper,Flash Frenzy Friday,336583.00,126,2671.29,501.20,4990.62
Adidas,Budget Shopper,"Gift More, Spend Less",320144.57,113,2833.14,524.46,4988.68
Adidas,Budget Shopper,Golden Hour Bargains,365617.96,134,2728.49,510.81,4994.32
Adidas,Budget Shopper,Green Weekend Deals,348536.31,126,2766.16,539.17,4926.07
Adidas,Budget Shopper,Happy Hour Discounts,356284.22,134,2658.84,505.03,4919.71
Adidas,Budget Shopper,Holiday Shopping Rush,391921.34,144,2721.68,540.22,4981.68
Adidas,Budget Shopper,Hot Picks Promo,399747.05,141,2835.09,610.78,4990.00
Adidas,Budget Shopper,Instant Gratification Sale,324418.00,115,2821.03,522.75,4994.90
Adidas,Budget Shopper,Limited Time Treasures,383073.71,136,2816.72,500.43,4983.53
Adidas,Budget Shopper,Loyalty Rewards Blast,326531.76,123,2654.73,545.47,4971.65
Adidas,Budget Shopper,Mega Weekend Bonanza,349966.02,128,2734.11,574.73,4980.14
Adidas,Budget Shopper,Mid-Year Madness,341259.28,124,2752.09,509.13,4949.66
Adidas,Budget Shopper,Midnight Madness,324765.28,121,2684.01,518.16,4990.39
Adidas,Budget Shopper,Mystery Discount Days,347143.16,128,2712.06,528.21,4943.34
Adidas,Budget Shopper,New Arrival Showcase,341427.31,118,2893.45,550.60,4986.33
Adidas,Budget Shopper,New Product Launch Promo,368732.41,135,2731.35,501.61,4999.95
Adidas,Budget Shopper,New Year Kickoff,347454.32,129,2693.44,519.85,4995.24
Adidas,Budget Shopper,Price Drop Parade,282994.17,114,2482.41,511.21,4976.80
Adidas,Budget Shopper,Red Tag Clearance,334293.62,118,2833.00,520.14,4964.81
Adidas,Budget Shopper,Seasonal Surprise Box,349133.78,120,2909.45,527.98,4982.93
Adidas,Budget Shopper,Shop & Save Spectacular,406343.70,144,2821.83,516.93,4992.75
Adidas,Budget Shopper,Smart Shopper Week,369430.55,137,2696.57,554.36,4985.85
Adidas,Budget Shopper,Spring Refresh Event,365372.55,132,2767.97,541.03,4987.97
Adidas,Budget Shopper,Spring Splash Discounts,401136.58,146,2747.51,534.86,4990.13
Adidas,Budget Shopper,Summer Sizzle Promo,341480.71,124,2753.88,581.51,4983.81
Adidas,Budget Shopper,Super Savings Week,297908.00,114,2613.23,622.39,4859.11
Adidas,Budget Shopper,Ultimate Value Event,357552.57,125,2860.42,548.08,4998.36
Adidas,Budget Shopper,VIP Access Sale,454257.86,156,2911.91,534.21,4991.92
Adidas,Budget Shopper,Weekend Warrior Specials,393573.83,144,2733.15,561.75,4935.09
Adidas,Budget Shopper,Winter Clearance Carnival,414877.07,149,2784.41,542.82,4993.51
Adidas,Budget Shopper,Winter Wonders Sale,404989.10,142,2852.04,506.23,4969.49
Adidas,Churn Risk,12 Days of Deals,357854.83,130,2752.73,538.90,4976.56
Adidas,Churn Risk,Autumn Deals Drive,335492.65,120,2795.77,592.30,4998.38
Adidas,Churn Risk,BOGO Blitz,362345.08,125,2898.76,540.74,4991.38
Adidas,Churn Risk,Back to School Boost,365751.97,135,2709.27,605.49,4987.32
Adidas,Churn Risk,Birthday Bash Sale,380841.70,142,2681.98,506.71,4993.81
