brand,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Manager,12 Days of Deals,81395.40,34,2393.98,505.04,4794.38
Adidas,Budget Shopper,Manager,Autumn Deals Drive,101469.28,37,2742.41,549.62,4909.61
Adidas,Budget Shopper,Manager,BOGO Blitz,80065.97,37,2163.95,610.76,4835.87
Adidas,Budget Shopper,Manager,Back to School Boost,120356.11,41,2935.51,624.80,4885.75
Adidas,Budget Shopper,Manager,Birthday Bash Sale,103487.60,35,2956.79,546.22,4929.82
Adidas,Budget Shopper,Manager,Black Friday Blowout,107236.88,39,2749.66,703.67,4839.75
Adidas,Budget Shopper,Manager,Cart Crasher Campaign,113039.18,39,2898.44,964.78,4809.83
Adidas,Budget Shopper,Manager,Cashback Carnival,83087.69,33,2517.81,587.98,4806.76
Adidas,Budget Shopper,Manager,Clearance Countdown,112501.62,38,2960.57,503.98,4945.59
Adidas,Budget Shopper,Manager,Countdown to Savings,95796.42,33,2902.92,751.27,4790.70
Adidas,Budget Shopper,Manager,Customer Appreciation Week,79289.87,29,2734.13,674.54,4925.34
Adidas,Budget Shopper,Manager,Cyber Monday Mania,110693.07,34,3255.68,569.28,4986.22
Adidas,Budget Shopper,Manager,Deal of the Month,124181.63,41,3028.82,598.75,4855.05
Adidas,Budget Shopper,Manager,Double Points Bonanza,87520.12,30,2917.34,812.89,4742.72
Adidas,Budget Shopper,Manager,Early Bird Specials,89156.09,28,3184.15,809.30,4996.74
Adidas,Budget Shopper,Manager,End of Season Sale,93225.03,32,2913.28,585.97,4878.44
Adidas,Budget Shopper,Manager,Exclusive Insider Offers,62616.60,30,2087.22,572.08,4594.57
Adidas,Budget Shopper,Manager,Festive Fever Promo,107936.02,45,2398.58,553.16,4976.80
Adidas,Budget Shopper,Manager,Final Call Frenzy,88954.76,33,2695.60,746.29,4919.52
Adidas,Budget Shopper,Manager,Flash Frenzy Friday,100271.21,37,2710.03,612.03,4990.62
Adidas,Budget Shopper,Manager,"Gift More, Spend Less",111036.56,38,2922.01,561.37,4988.68
Adidas,Budget Shopper,Manager,Golden Hour Bargains,96681.82,36,2685.61,737.05,4760.71
Adidas,Budget Shopper,Manager,Green Weekend Deals,96837.51,32,3026.17,806.20,4782.62
Adidas,Budget Shopper,Manager,Happy Hour Discounts,60965.93,26,2344.84,592.45,4919.71
Adidas,Budget Shopper,Manager,Holiday Shopping Rush,89013.52,31,2871.40,568.36,4978.37
Adidas,Budget Shopper,Manager,Hot Picks Promo,94332.76,35,2695.22,646.78,4942.40
Adidas,Budget Shopper,Manager,Instant Gratification Sale,73343.12,25,2933.72,626.74,4968.95
Adidas,Budget Shopper,Manager,Limited Time Treasures,94240.85,35,2692.60,500.43,4983.53
Adidas,Budget Shopper,Manager,Loyalty Rewards Blast,60007.96,22,2727.63,935.97,4883.67
