category,brand,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Manager,12 Days of Deals,40147.88,15,2676.53,505.04,4794.38
Clothing,Adidas,Budget Shopper,Manager,Autumn Deals Drive,52090.69,20,2604.53,741.41,4909.61
Clothing,Adidas,Budget Shopper,Manager,BOGO Blitz,43035.16,18,2390.84,610.76,4835.87
Clothing,Adidas,Budget Shopper,Manager,Back to School Boost,86846.47,27,3216.54,1410.85,4885.75
Clothing,Adidas,Budget Shopper,Manager,Birthday Bash Sale,58552.76,20,2927.64,1476.96,4929.82
Clothing,Adidas,Budget Shopper,Manager,Black Friday Blowout,44592.02,16,2787.00,910.89,4839.75
Clothing,Adidas,Budget Shopper,Manager,Cart Crasher Campaign,47277.67,18,2626.54,964.78,4463.49
Clothing,Adidas,Budget Shopper,Manager,Cashback Carnival,49771.04,20,2488.55,587.98,4806.76
Clothing,Adidas,Budget Shopper,Manager,Clearance Countdown,72293.18,23,3143.18,503.98,4945.59
Clothing,Adidas,Budget Shopper,Manager,Countdown to Savings,45764.38,15,3050.96,849.95,4745.43
Clothing,Adidas,Budget Shopper,Manager,Customer Appreciation Week,33789.34,13,2599.18,674.54,4390.85
Clothing,Adidas,Budget Shopper,Manager,Cyber Monday Mania,63513.75,20,3175.69,569.28,4540.91
Clothing,Adidas,Budget Shopper,Manager,Deal of the Month,76937.40,26,2959.13,598.75,4780.63
Clothing,Adidas,Budget Shopper,Manager,Double Points Bonanza,34101.97,14,2435.86,812.89,4504.49
Clothing,Adidas,Budget Shopper,Manager,Early Bird Specials,28393.70,11,2581.25,809.30,4996.74
Clothing,Adidas,Budget Shopper,Manager,End of Season Sale,54319.66,18,3017.76,585.97,4877.60
Clothing,Adidas,Budget Shopper,Manager,Exclusive Insider Offers,35723.71,16,2232.73,654.91,4594.57
Clothing,Adidas,Budget Shopper,Manager,Festive Fever Promo,34269.94,15,2284.66,623.75,4481.35
Clothing,Adidas,Budget Shopper,Manager,Final Call Frenzy,71878.39,25,2875.14,746.29,4919.52
Clothing,Adidas,Budget Shopper,Manager,Flash Frenzy Friday,41903.04,15,2793.54,612.03,4829.29
Clothing,Adidas,Budget Shopper,Manager,"Gift More, Spend Less",48715.56,16,3044.72,561.37,4988.68
Clothing,Adidas,Budget Shopper,Manager,Golden Hour Bargains,51025.36,18,2834.74,805.96,4760.71
Clothing,Adidas,Budget Shopper,Manager,Green Weekend Deals,44493.82,14,3178.13,1472.17,4782.62
Clothing,Adidas,Budget Shopper,Manager,Happy Hour Discounts,27912.68,12,2326.06,1072.77,4679.32
Clothing,Adidas,Budget Shopper,Manager,Holiday Shopping Rush,43743.22,15,2916.21,568.36,4762.89
Clothing,Adidas,Budget Shopper,Manager,Hot Picks Promo,36275.00,15,2418.33,666.80,4726.81
Clothing,Adidas,Budget Shopper,Manager,Instant Gratification Sale,40411.37,15,2694.09,626.74,4599.54
Clothing,Adidas,Budget Shopper,Manager,Limited Time Treasures,50872.16,18,2826.23,1066.78,4983.53
Clothing,Adidas,Budget Shopper,Manager,Loyalty Rewards Blast,32593.74,11,2963.07,1008.37,4421.66
Clothing,Adidas,Budget Shopper,Manager,Mega Weekend Bonanza,24056.38,12,2004.70,582.79,4405.13
Clothing,Adidas,Budget Shopper,Manager,Mid-Year Madness,40791.37,17,2399.49,548.03,4741.75
Clothing,Adidas,Budget Shopper,Manager,Midnight Madness,59173.81,22,2689.72,1450.89,4512.05
Clothing,Adidas,Budget Shopper,Manager,Mystery Discount Days,40127.28,15,2675.15,657.50,4876.09
Clothing,Adidas,Budget Shopper,Manager,New Arrival Showcase,46951.75,18,2608.43,550.60,4827.59
Clothing,Adidas,Budget Shopper,Manager,New Product Launch Promo,30699.21,11,2790.84,541.28,4311.19
Clothing,Adidas,Budget Shopper,Manager,New Year Kickoff,24590.72,9,2732.30,718.27,4323.07
Clothing,Adidas,Budget Shopper,Manager,Price Drop Parade,48988.50,17,2881.68,678.62,4946.19
Clothing,Adidas,Budget Shopper,Manager,Red Tag Clearance,36577.51,15,2438.50,520.14,4633.90
Clothing,Adidas,Budget Shopper,Manager,Seasonal Surprise Box,44617.57,15,2974.50,842.16,4773.24
Clothing,Adidas,Budget Shopper,Manager,Shop & Save Spectacular,39541.26,14,2824.38,572.84,4832.91
Clothing,Adidas,Budget Shopper,Manager,Smart Shopper Week,47565.05,18,2642.50,554.36,4985.85
Clothing,Adidas,Budget Shopper,Manager,Spring Refresh Event,41212.08,13,3170.16,1424.26,4937.30
Clothing,Adidas,Budget Shopper,Manager,Spring Splash Discounts,41465.58,16,2591.60,732.23,4690.81
Clothing,Adidas,Budget Shopper,Manager,Summer Sizzle Promo,35467.16,15,2364.48,651.49,4974.26
Clothing,Adidas,Budget Shopper,Manager,Super Savings Week,33113.54,13,2547.20,1158.19,4607.13
Clothing,Adidas,Budget Shopper,Manager,Ultimate Value Event,32044.46,11,2913.13,1787.06,3877.03
Clothing,Adidas,Budget Shopper,Manager,VIP Access Sale,28198.82,13,2169.14,570.09,4848.12
Clothing,Adidas,Budget Shopper,Manager,Weekend Warrior Specials,48567.35,17,2856.90,877.78,4296.59
Clothing,Adidas,Budget Shopper,Manager,Winter Clearance Carnival,22388.12,9,2487.57,700.57,4912.57
Clothing,Adidas,Budget Shopper,Manager,Winter Wonders Sale,34699.33,10,3469.93,2394.01,4542.37
Clothing,Adidas,Budget Shopper,Sales Associate,12 Days of Deals,55329.11,19,2912.06,630.95,4779.65
Clothing,Adidas,Budget Shopper,Sales Associate,Autumn Deals Drive,38278.58,12,3189.88,1279.46,4982.16
Clothing,Adidas,Budget Shopper,Sales Associate,BOGO Blitz,50682.51,17,2981.32,556.73,4863.46
Clothing,Adidas,Budget Shopper,Sales Associate,Back to School Boost,43675.55,18,2426.42,752.44,4811.57
Clothing,Adidas,Budget Shopper,Sales Associate,Birthday Bash Sale,51796.46,21,2466.50,590.96,4728.21
Clothing,Adidas,Budget Shopper,Sales Associate,Black Friday Blowout,37894.85,14,2706.77,576.66,4514.81
Clothing,Adidas,Budget Shopper,Sales Associate,Cart Crasher Campaign,53913.05,15,3594.20,1051.00,4917.92
Clothing,Adidas,Budget Shopper,Sales Associate,Cashback Carnival,47694.39,20,2384.72,633.88,4783.27
Clothing,Adidas,Budget Shopper,Sales Associate,Clearance Countdown,26449.32,11,2404.48,632.18,4949.25
Clothing,Adidas,Budget Shopper,Sales Associate,Countdown to Savings,42126.99,17,2478.06,531.85,4769.97
Clothing,Adidas,Budget Shopper,Sales Associate,Customer Appreciation Week,48892.70,16,3055.79,686.83,4461.46
Clothing,Adidas,Budget Shopper,Sales Associate,Cyber Monday Mania,59416.58,20,2970.83,1132.80,4798.87
Clothing,Adidas,Budget Shopper,Sales Associate,Deal of the Month,34237.55,11,3112.50,599.21,4907.31
Clothing,Adidas,Budget Shopper,Sales Associate,Double Points Bonanza,55728.55,20,2786.43,941.96,4703.40
Clothing,Adidas,Budget Shopper,Sales Associate,Early Bird Specials,48789.31,16,3049.33,812.33,4859.11
Clothing,Adidas,Budget Shopper,Sales Associate,End of Season Sale,38542.06,12,3211.84,671.30,4840.92
Clothing,Adidas,Budget Shopper,Sales Associate,Exclusive Insider Offers,58578.04,22,2662.64,598.29,4884.21
Clothing,Adidas,Budget Shopper,Sales Associate,Festive Fever Promo,27009.91,11,2455.45,778.25,4032.79
Clothing,Adidas,Budget Shopper,Sales Associate,Final Call Frenzy,71126.93,20,3556.35,1401.80,4989.90
Clothing,Adidas,Budget Shopper,Sales Associate,Flash Frenzy Friday,32409.61,13,2493.05,583.09,4781.40
Clothing,Adidas,Budget Shopper,Sales Associate,"Gift More, Spend Less",36387.45,14,2599.10,686.09,4740.79
Clothing,Adidas,Budget Shopper,Sales Associate,Golden Hour Bargains,35450.17,15,2363.34,539.02,4795.87
Clothing,Adidas,Budget Shopper,Sales Associate,Green Weekend Deals,58418.55,24,2434.11,698.96,4778.33
Clothing,Adidas,Budget Shopper,Sales Associate,Happy Hour Discounts,43526.84,16,2720.43,861.77,4796.34
Clothing,Adidas,Budget Shopper,Sales Associate,Holiday Shopping Rush,71743.09,23,3119.26,634.77,4738.44
Clothing,Adidas,Budget Shopper,Sales Associate,Hot Picks Promo,53261.19,19,2803.22,904.58,4757.41
