category,brand,customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,715641.08,245,2920.98,547.87,4985.85
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,763450.05,270,2827.59,556.73,4992.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,797259.50,277,2878.19,511.21,4999.95
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Senior Salesperson,606801.78,220,2758.19,509.13,4975.12
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Manager,746316.13,286,2609.50,541.28,4988.68
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Sales Associate,759415.20,288,2636.86,531.85,4998.36
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Salesperson,762022.22,289,2636.76,511.56,4993.46
Clothing,Adidas,Budget Shopper,Small Stores / Shops,Senior Salesperson,668027.74,252,2650.90,518.16,4994.90
Clothing,Adidas,Budget Shopper,Supermarkets ,Manager,730124.70,268,2724.35,503.98,4996.74
Clothing,Adidas,Budget Shopper,Supermarkets ,Sales Associate,851009.72,308,2763.02,530.59,4990.13
Clothing,Adidas,Budget Shopper,Supermarkets ,Salesperson,771905.53,292,2643.51,501.20,4973.14
Clothing,Adidas,Budget Shopper,Supermarkets ,Senior Salesperson,719425.31,267,2694.48,518.24,4980.54
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Manager,738407.84,268,2755.25,505.67,4988.93
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Sales Associate,717056.45,261,2747.34,535.63,4964.85
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Salesperson,819418.53,294,2787.14,544.41,4999.18
Clothing,Adidas,Churn Risk,Large Malls / Complexes,Senior Salesperson,744666.72,261,2853.13,535.53,4999.86
Clothing,Adidas,Churn Risk,Small Stores / Shops,Manager,689114.72,258,2670.99,534.63,4995.32
Clothing,Adidas,Churn Risk,Small Stores / Shops,Sales Associate,722354.84,258,2799.82,548.68,4996.24
Clothing,Adidas,Churn Risk,Small Stores / Shops,Salesperson,874055.79,313,2792.51,510.65,4992.69
Clothing,Adidas,Churn Risk,Small Stores / Shops,Senior Salesperson,601153.00,213,2822.31,560.63,4984.16
Clothing,Adidas,Churn Risk,Supermarkets ,Manager,807203.64,312,2587.19,534.87,4993.94
Clothing,Adidas,Churn Risk,Supermarkets ,Sales Associate,829368.58,310,2675.38,503.18,4998.40
Clothing,Adidas,Churn Risk,Supermarkets ,Salesperson,855515.45,290,2950.05,508.78,4997.20
Clothing,Adidas,Churn Risk,Supermarkets ,Senior Salesperson,710995.91,255,2788.22,521.53,4977.09
Clothing,Adidas,Deal Seeker,Large Malls / Complexes,Manager,757469.66,268,2826.38,501.32,4994.20
Clothing,Adidas,Deal Seeker,Large Malls / Complexes,Sales Associate,776556.70,289,2687.05,505.10,4976.22
Clothing,Adidas,Deal Seeker,Large Malls / Complexes,Salesperson,848534.30,297,2857.02,505.52,4976.61
Clothing,Adidas,Deal Seeker,Large Malls / Complexes,Senior Salesperson,691594.05,247,2799.98,518.87,4934.17
Clothing,Adidas,Deal Seeker,Small Stores / Shops,Manager,813439.64,286,2844.19,503.97,4990.88
Clothing,Adidas,Deal Seeker,Small Stores / Shops,Sales Associate,762512.65,276,2762.73,515.55,4983.09
Clothing,Adidas,Deal Seeker,Small Stores / Shops,Salesperson,818213.65,308,2656.54,509.94,4992.84
Clothing,Adidas,Deal Seeker,Small Stores / Shops,Senior Salesperson,703712.75,254,2770.52,518.26,4944.70
Clothing,Adidas,Deal Seeker,Supermarkets ,Manager,806829.03,294,2744.32,510.97,4994.26
Clothing,Adidas,Deal Seeker,Supermarkets ,Sales Associate,849421.68,298,2850.41,500.52,4996.30
Clothing,Adidas,Deal Seeker,Supermarkets ,Salesperson,808706.38,288,2808.01,501.46,4985.30
Clothing,Adidas,Deal Seeker,Supermarkets ,Senior Salesperson,689395.97,256,2692.95,500.46,4996.95
Clothing,Adidas,First-time Buyer,Large Malls / Complexes,Manager,782644.05,280,2795.16,528.70,4989.71
Clothing,Adidas,First-time Buyer,Large Malls / Complexes,Sales Associate,709003.01,266,2665.42,510.44,4997.63
Clothing,Adidas,First-time Buyer,Large Malls / Complexes,Salesperson,814223.87,302,2696.11,510.62,4973.32
Clothing,Adidas,First-time Buyer,Large Malls / Complexes,Senior Salesperson,650214.44,231,2814.78,519.58,4940.71
Clothing,Adidas,First-time Buyer,Small Stores / Shops,Manager,827956.91,294,2816.18,501.06,4981.95
Clothing,Adidas,First-time Buyer,Small Stores / Shops,Sales Associate,736185.49,281,2619.88,511.44,4968.97
Clothing,Adidas,First-time Buyer,Small Stores / Shops,Salesperson,690391.21,249,2772.66,531.80,4989.59
Clothing,Adidas,First-time Buyer,Small Stores / Shops,Senior Salesperson,695442.89,253,2748.79,549.38,4987.67
Clothing,Adidas,First-time Buyer,Supermarkets ,Manager,839014.93,306,2741.88,501.99,4993.67
Clothing,Adidas,First-time Buyer,Supermarkets ,Sales Associate,793548.16,296,2680.91,504.43,4996.65
Clothing,Adidas,First-time Buyer,Supermarkets ,Salesperson,786489.15,288,2730.87,512.76,4963.20
Clothing,Adidas,First-time Buyer,Supermarkets ,Senior Salesperson,658288.80,246,2675.97,511.09,4999.86
Clothing,Adidas,High Value,Large Malls / Complexes,Manager,784369.49,288,2723.51,504.75,4957.71
Clothing,Adidas,High Value,Large Malls / Complexes,Sales Associate,773837.12,285,2715.22,539.45,4993.12
Clothing,Adidas,High Value,Large Malls / Complexes,Salesperson,757865.44,279,2716.36,529.76,4995.33
Clothing,Adidas,High Value,Large Malls / Complexes,Senior Salesperson,654009.07,233,2806.91,511.79,4987.27
Clothing,Adidas,High Value,Small Stores / Shops,Manager,682803.95,258,2646.53,500.17,4996.59
Clothing,Adidas,High Value,Small Stores / Shops,Sales Associate,747375.84,282,2650.27,501.04,4957.89
Clothing,Adidas,High Value,Small Stores / Shops,Salesperson,769403.63,274,2808.04,502.17,4998.34
Clothing,Adidas,High Value,Small Stores / Shops,Senior Salesperson,665084.97,241,2759.69,503.07,4979.37
Clothing,Adidas,High Value,Supermarkets ,Manager,816539.39,310,2634.00,500.53,4999.38
Clothing,Adidas,High Value,Supermarkets ,Sales Associate,843321.97,310,2720.39,500.95,4958.83
Clothing,Adidas,High Value,Supermarkets ,Salesperson,827288.59,301,2748.47,507.49,4998.80
Clothing,Adidas,High Value,Supermarkets ,Senior Salesperson,720524.21,267,2698.59,507.97,4987.66
Clothing,Adidas,In-Store Regular,Large Malls / Complexes,Manager,619319.12,227,2728.28,502.05,4989.43
Clothing,Adidas,In-Store Regular,Large Malls / Complexes,Sales Associate,766630.51,275,2787.75,507.51,4999.76
Clothing,Adidas,In-Store Regular,Large Malls / Complexes,Salesperson,697771.82,260,2683.74,530.68,4997.48
Clothing,Adidas,In-Store Regular,Large Malls / Complexes,Senior Salesperson,526849.03,202,2608.16,501.08,4966.53
Clothing,Adidas,In-Store Regular,Small Stores / Shops,Manager,733194.69,263,2787.81,500.64,4978.27
Clothing,Adidas,In-Store Regular,Small Stores / Shops,Sales Associate,793247.61,284,2793.13,504.16,4988.61
Clothing,Adidas,In-Store Regular,Small Stores / Shops,Salesperson,769264.90,285,2699.18,527.34,4980.77
Clothing,Adidas,In-Store Regular,Small Stores / Shops,Senior Salesperson,741195.69,275,2695.26,519.60,4982.85
Clothing,Adidas,In-Store Regular,Supermarkets ,Manager,825709.90,300,2752.37,501.16,4996.97
Clothing,Adidas,In-Store Regular,Supermarkets ,Sales Associate,864567.85,308,2807.04,519.63,4976.89
Clothing,Adidas,In-Store Regular,Supermarkets ,Salesperson,678425.26,268,2531.44,510.59,4995.70
Clothing,Adidas,In-Store Regular,Supermarkets ,Senior Salesperson,760223.29,273,2784.70,507.26,4993.56
Clothing,Adidas,Loyal Customer,Large Malls / Complexes,Manager,691122.03,257,2689.19,507.14,4983.68
Clothing,Adidas,Loyal Customer,Large Malls / Complexes,Sales Associate,694685.59,244,2847.07,506.41,4998.71
Clothing,Adidas,Loyal Customer,Large Malls / Complexes,Salesperson,690925.17,258,2678.00,508.62,4953.97
Clothing,Adidas,Loyal Customer,Large Malls / Complexes,Senior Salesperson,687340.47,251,2738.41,536.61,4986.46
Clothing,Adidas,Loyal Customer,Small Stores / Shops,Manager,714813.05,255,2803.19,522.76,4995.47
Clothing,Adidas,Loyal Customer,Small Stores / Shops,Sales Associate,762266.04,286,2665.27,500.58,4996.78
Clothing,Adidas,Loyal Customer,Small Stores / Shops,Salesperson,911126.56,331,2752.65,503.40,4986.14
Clothing,Adidas,Loyal Customer,Small Stores / Shops,Senior Salesperson,724051.28,258,2806.40,503.78,4972.03
Clothing,Adidas,Loyal Customer,Supermarkets ,Manager,748124.72,288,2597.66,522.55,4991.78
Clothing,Adidas,Loyal Customer,Supermarkets ,Sales Associate,935174.09,331,2825.30,507.47,4992.84
Clothing,Adidas,Loyal Customer,Supermarkets ,Salesperson,882790.13,328,2691.43,539.92,4987.68
Clothing,Adidas,Loyal Customer,Supermarkets ,Senior Salesperson,640570.68,228,2809.52,518.95,4992.80
Clothing,Adidas,Occasional Shopper,Large Malls / Complexes,Manager,717152.87,264,2716.49,512.09,4980.69
Clothing,Adidas,Occasional Shopper,Large Malls / Complexes,Sales Associate,807841.19,291,2776.09,503.83,4991.46
Clothing,Adidas,Occasional Shopper,Large Malls / Complexes,Salesperson,710336.44,255,2785.63,532.59,4986.44
Clothing,Adidas,Occasional Shopper,Large Malls / Complexes,Senior Salesperson,641659.00,232,2765.77,502.00,4994.47
Clothing,Adidas,Occasional Shopper,Small Stores / Shops,Manager,815499.84,287,2841.46,530.26,4995.28
Clothing,Adidas,Occasional Shopper,Small Stores / Shops,Sales Associate,816319.23,306,2667.71,519.85,4998.86
Clothing,Adidas,Occasional Shopper,Small Stores / Shops,Salesperson,807205.38,285,2832.30,526.80,4994.34
Clothing,Adidas,Occasional Shopper,Small Stores / Shops,Senior Salesperson,668014.97,232,2879.37,503.46,4994.73
Clothing,Adidas,Occasional Shopper,Supermarkets ,Manager,769261.84,284,2708.67,501.26,4940.25
Clothing,Adidas,Occasional Shopper,Supermarkets ,Sales Associate,753228.74,286,2633.67,506.71,4986.87
Clothing,Adidas,Occasional Shopper,Supermarkets ,Salesperson,838698.63,307,2731.92,501.52,4993.56
Clothing,Adidas,Occasional Shopper,Supermarkets ,Senior Salesperson,731479.63,267,2739.62,513.69,4971.61
Clothing,Adidas,Online Shopper,Large Malls / Complexes,Manager,703247.03,247,2847.15,529.01,4985.02
Clothing,Adidas,Online Shopper,Large Malls / Complexes,Sales Associate,710465.48,260,2732.56,506.00,4975.61
Clothing,Adidas,Online Shopper,Large Malls / Complexes,Salesperson,684980.61,254,2696.77,531.84,4986.59
Clothing,Adidas,Online Shopper,Large Malls / Complexes,Senior Salesperson,644237.24,247,2608.25,500.11,4974.39
Clothing,Adidas,Online Shopper,Small Stores / Shops,Manager,801614.61,297,2699.04,531.76,4982.12
Clothing,Adidas,Online Shopper,Small Stores / Shops,Sales Associate,834992.85,290,2879.29,562.65,4999.41
Clothing,Adidas,Online Shopper,Small Stores / Shops,Salesperson,790656.01,279,2833.89,516.58,4991.97
Clothing,Adidas,Online Shopper,Small Stores / Shops,Senior Salesperson,652908.83,244,2675.86,531.51,4990.27
Clothing,Adidas,Online Shopper,Supermarkets ,Manager,774611.26,283,2737.14,502.26,4977.82
Clothing,Adidas,Online Shopper,Supermarkets ,Sales Associate,849004.73,303,2802.00,503.72,4967.52
Clothing,Adidas,Online Shopper,Supermarkets ,Salesperson,747722.70,289,2587.28,508.93,4987.14
Clothing,Adidas,Online Shopper,Supermarkets ,Senior Salesperson,733704.42,267,2747.96,522.18,4976.27
