category,brand,customer_segment,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,8891398.96,3262,2725.75,501.20,4999.95
Clothing,Adidas,Churn Risk,9109311.46,3293,2766.27,503.18,4999.86
Clothing,Adidas,Deal Seeker,9326386.46,3361,2774.88,500.46,4996.95
Clothing,Adidas,First-time Buyer,8983402.91,3292,2728.86,501.06,4999.86
Clothing,Adidas,High Value,9042423.68,3328,2717.07,500.17,4999.38
Clothing,Adidas,In-Store Regular,8776399.67,3220,2725.59,500.64,4999.76
Clothing,Adidas,Loyal Customer,9082989.82,3315,2739.97,500.58,4998.71
Clothing,Adidas,Occasional Shopper,9076697.76,3296,2753.85,501.26,4998.86
Clothing,Adidas,Online Shopper,8928145.76,3260,2738.70,500.11,4999.41
Clothing,Adidas,Premium Shopper,8843822.12,3227,2740.57,500.83,4999.76
Clothing,Levi's,Budget Shopper,9143416.80,3332,2744.12,501.09,4996.92
Clothing,Levi's,Churn Risk,9567560.11,3476,2752.46,500.17,4997.36
Clothing,Levi's,Deal Seeker,9443843.14,3440,2745.30,501.70,4998.97
Clothing,Levi's,First-time Buyer,9341457.04,3354,2785.17,500.27,4996.53
Clothing,Levi's,High Value,9105428.23,3309,2751.72,501.71,4999.26
Clothing,Levi's,In-Store Regular,9218386.03,3345,2755.87,500.60,4999.49
Clothing,Levi's,Loyal Customer,9140605.07,3315,2757.35,501.94,4999.97
Clothing,Levi's,Occasional Shopper,9058931.23,3339,2713.07,501.31,4994.57
Clothing,Levi's,Online Shopper,9417346.10,3398,2771.44,500.12,4999.60
Clothing,Levi's,Premium Shopper,8909883.23,3258,2734.77,500.17,4998.56
Clothing,Nike,Budget Shopper,9506777.53,3423,2777.32,501.91,4999.12
Clothing,Nike,Churn Risk,9153719.02,3360,2724.32,500.82,4999.04
Clothing,Nike,Deal Seeker,9046270.18,3359,2693.14,500.14,4997.93
Clothing,Nike,First-time Buyer,9088591.38,3293,2759.97,501.63,4998.86
Clothing,Nike,High Value,9260756.60,3319,2790.22,500.77,4999.95
Clothing,Nike,In-Store Regular,9196877.76,3352,2743.70,502.32,4999.33
Clothing,Nike,Loyal Customer,9508184.23,3415,2784.24,501.58,4998.67
Clothing,Nike,Occasional Shopper,9334242.59,3386,2756.72,500.65,4999.75
Clothing,Nike,Online Shopper,9092266.05,3251,2796.76,500.29,4998.41
Clothing,Nike,Premium Shopper,9149897.93,3304,2769.34,500.72,4997.81
Clothing,Puma,Budget Shopper,8979857.24,3251,2762.18,502.32,4999.85
Clothing,Puma,Churn Risk,8778015.39,3231,2716.81,500.57,4998.56
Clothing,Puma,Deal Seeker,9415887.23,3403,2766.94,500.07,4999.01
Clothing,Puma,First-time Buyer,8909459.61,3235,2754.08,502.20,4999.98
Clothing,Puma,High Value,8991726.31,3295,2728.90,500.45,4998.14
Clothing,Puma,In-Store Regular,9045685.15,3270,2766.26,500.74,4998.89
Clothing,Puma,Loyal Customer,9087887.29,3343,2718.48,500.18,4999.68
Clothing,Puma,Occasional Shopper,9569932.87,3431,2789.25,502.57,4997.93
Clothing,Puma,Online Shopper,9108234.61,3326,2738.50,500.66,4999.45
Clothing,Puma,Premium Shopper,9155578.32,3295,2778.63,500.07,4998.60
Clothing,Zara,Budget Shopper,9200753.74,3332,2761.33,502.21,4997.51
Clothing,Zara,Churn Risk,9189984.76,3354,2740.01,502.44,4999.91
Clothing,Zara,Deal Seeker,8987984.78,3298,2725.28,501.71,4999.81
Clothing,Zara,First-time Buyer,9121799.29,3251,2805.84,500.46,4999.82
Clothing,Zara,High Value,8998812.08,3289,2736.03,501.00,4999.73
Clothing,Zara,In-Store Regular,8724130.36,3171,2751.22,503.25,4999.80
Clothing,Zara,Loyal Customer,9098967.84,3310,2748.93,500.50,4998.42
Clothing,Zara,Occasional Shopper,9119760.79,3297,2766.08,501.28,4999.06
Clothing,Zara,Online Shopper,9453842.19,3405,2776.46,500.93,4995.75
Clothing,Zara,Premium Shopper,8686107.96,3186,2726.34,500.32,4999.44
Electronics,Apple,Budget Shopper,9220815.87,3344,2757.42,501.68,4995.51
Electronics,Apple,Churn Risk,9071792.86,3329,2725.08,500.60,4994.23
Electronics,Apple,Deal Seeker,9179420.01,3345,2744.22,502.34,4999.77
Electronics,Apple,First-time Buyer,9065014.99,3277,2766.25,505.11,4999.96
Electronics,Apple,High Value,8999096.07,3305,2722.87,500.64,4999.52
Electronics,Apple,In-Store Regular,9098192.96,3310,2748.70,500.25,4999.96
Electronics,Apple,Loyal Customer,8985442.17,3235,2777.57,504.97,4999.83
Electronics,Apple,Occasional Shopper,9349431.30,3380,2766.10,500.26,4997.93
Electronics,Apple,Online Shopper,9097903.24,3326,2735.39,500.70,4998.93
Electronics,Apple,Premium Shopper,9041076.86,3307,2733.92,502.69,4996.76
Electronics,LG,Budget Shopper,9036547.67,3303,2735.86,502.26,4997.22
Electronics,LG,Churn Risk,9478701.93,3422,2769.93,500.17,4996.70
Electronics,LG,Deal Seeker,9303463.03,3357,2771.36,502.12,4998.59
