category,brand,customer_segment,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Manager,2192081.91,799,2743.53,503.98,4996.74
Clothing,Adidas,Budget Shopper,Sales Associate,2373874.97,866,2741.20,530.59,4998.36
Clothing,Adidas,Budget Shopper,Salesperson,2331187.25,858,2717.00,501.20,4999.95
Clothing,Adidas,Budget Shopper,Senior Salesperson,1994254.83,739,2698.59,509.13,4994.90
Clothing,Adidas,Churn Risk,Manager,2234726.20,838,2666.74,505.67,4995.32
Clothing,Adidas,Churn Risk,Sales Associate,2268779.87,829,2736.77,503.18,4998.40
Clothing,Adidas,Churn Risk,Salesperson,2548989.77,897,2841.68,508.78,4999.18
Clothing,Adidas,Churn Risk,Senior Salesperson,2056815.63,729,2821.42,521.53,4999.86
Clothing,Adidas,Deal Seeker,Manager,2377738.33,848,2803.94,501.32,4994.26
Clothing,Adidas,Deal Seeker,Sales Associate,2388491.03,863,2767.66,500.52,4996.30
Clothing,Adidas,Deal Seeker,Salesperson,2475454.33,893,2772.07,501.46,4992.84
Clothing,Adidas,Deal Seeker,Senior Salesperson,2084702.77,757,2753.90,500.46,4996.95
Clothing,Adidas,First-time Buyer,Manager,2449615.89,880,2783.65,501.06,4993.67
Clothing,Adidas,First-time Buyer,Sales Associate,2238736.66,843,2655.68,504.43,4997.63
Clothing,Adidas,First-time Buyer,Salesperson,2291104.23,839,2730.76,510.62,4989.59
Clothing,Adidas,First-time Buyer,Senior Salesperson,2003946.13,730,2745.13,511.09,4999.86
Clothing,Adidas,High Value,Manager,2283712.83,856,2667.89,500.17,4999.38
Clothing,Adidas,High Value,Sales Associate,2364534.93,877,2696.16,500.95,4993.12
Clothing,Adidas,High Value,Salesperson,2354557.66,854,2757.09,502.17,4998.80
Clothing,Adidas,High Value,Senior Salesperson,2039618.25,741,2752.52,503.07,4987.66
Clothing,Adidas,In-Store Regular,Manager,2178223.71,790,2757.25,500.64,4996.97
Clothing,Adidas,In-Store Regular,Sales Associate,2424445.97,867,2796.36,504.16,4999.76
Clothing,Adidas,In-Store Regular,Salesperson,2145461.98,813,2638.94,510.59,4997.48
Clothing,Adidas,In-Store Regular,Senior Salesperson,2028268.01,750,2704.36,501.08,4993.56
Clothing,Adidas,Loyal Customer,Manager,2154059.81,800,2692.57,507.14,4995.47
Clothing,Adidas,Loyal Customer,Sales Associate,2392125.72,861,2778.31,500.58,4998.71
Clothing,Adidas,Loyal Customer,Salesperson,2484841.86,917,2709.75,503.40,4987.68
Clothing,Adidas,Loyal Customer,Senior Salesperson,2051962.43,737,2784.21,503.78,4992.80
Clothing,Adidas,Occasional Shopper,Manager,2301914.55,835,2756.78,501.26,4995.28
Clothing,Adidas,Occasional Shopper,Sales Associate,2377389.16,883,2692.40,503.83,4998.86
Clothing,Adidas,Occasional Shopper,Salesperson,2356240.45,847,2781.87,501.52,4994.34
Clothing,Adidas,Occasional Shopper,Senior Salesperson,2041153.60,731,2792.28,502.00,4994.73
Clothing,Adidas,Online Shopper,Manager,2279472.90,827,2756.32,502.26,4985.02
Clothing,Adidas,Online Shopper,Sales Associate,2394463.06,853,2807.11,503.72,4999.41
Clothing,Adidas,Online Shopper,Salesperson,2223359.32,822,2704.82,508.93,4991.97
