category,brand,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Manager,12 Days of Deals,443466.72,158,2806.75,505.04,4998.46
Clothing,Adidas,Manager,Autumn Deals Drive,507920.02,185,2745.51,518.04,4992.48
Clothing,Adidas,Manager,BOGO Blitz,493396.46,177,2787.55,500.64,4991.38
Clothing,Adidas,Manager,Back to School Boost,482356.03,172,2804.40,593.48,4980.54
Clothing,Adidas,Manager,Birthday Bash Sale,444104.22,162,2741.38,517.04,4994.20
Clothing,Adidas,Manager,Black Friday Blowout,467409.56,177,2640.73,502.05,4952.48
Clothing,Adidas,Manager,Cart Crasher Campaign,481411.75,182,2645.12,530.26,4950.61
Clothing,Adidas,Manager,Cashback Carnival,463902.34,161,2881.38,580.99,4949.97
Clothing,Adidas,Manager,Clearance Countdown,398504.82,151,2639.10,500.53,4993.67
Clothing,Adidas,Manager,Countdown to Savings,402485.80,153,2630.63,501.16,4996.97
Clothing,Adidas,Manager,Customer Appreciation Week,482460.40,171,2821.41,529.43,4970.25
Clothing,Adidas,Manager,Cyber Monday Mania,445313.79,160,2783.21,516.07,4990.88
Clothing,Adidas,Manager,Deal of the Month,523132.67,180,2906.29,504.75,4982.42
Clothing,Adidas,Manager,Double Points Bonanza,443794.85,166,2673.46,514.48,4957.71
Clothing,Adidas,Manager,Early Bird Specials,440822.94,158,2790.02,548.17,4996.74
Clothing,Adidas,Manager,End of Season Sale,504725.67,180,2804.03,543.01,4983.53
Clothing,Adidas,Manager,Exclusive Insider Offers,435925.83,153,2849.19,534.77,4969.33
Clothing,Adidas,Manager,Festive Fever Promo,515203.37,176,2927.29,516.42,4980.87
Clothing,Adidas,Manager,Final Call Frenzy,474461.98,171,2774.63,525.27,4971.11
Clothing,Adidas,Manager,Flash Frenzy Friday,386294.48,152,2541.41,533.79,4994.26
Clothing,Adidas,Manager,"Gift More, Spend Less",438109.22,170,2577.11,510.97,4988.68
Clothing,Adidas,Manager,Golden Hour Bargains,460284.06,173,2660.60,511.16,4972.07
Clothing,Adidas,Manager,Green Weekend Deals,455581.12,166,2744.46,513.01,4980.69
Clothing,Adidas,Manager,Happy Hour Discounts,372282.17,139,2678.29,505.67,4885.27
Clothing,Adidas,Manager,Holiday Shopping Rush,423712.16,155,2733.63,506.77,4855.73
Clothing,Adidas,Manager,Hot Picks Promo,448791.95,168,2671.38,523.47,4982.12
Clothing,Adidas,Manager,Instant Gratification Sale,416731.47,154,2706.05,501.99,4993.28
Clothing,Adidas,Manager,Limited Time Treasures,467943.22,166,2818.94,512.09,4999.38
