category,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Manager,12 Days of Deals,2356252.41,849,2775.33,500.37,4999.40
Clothing,Manager,Autumn Deals Drive,2328541.45,859,2710.76,501.91,4999.75
Clothing,Manager,BOGO Blitz,2512235.14,884,2841.89,500.64,4997.89
Clothing,Manager,Back to School Boost,2165367.99,795,2723.73,509.16,4980.54
Clothing,Manager,Birthday Bash Sale,2297075.31,827,2777.60,510.00,4994.20
Clothing,Manager,Black Friday Blowout,2326748.37,853,2727.72,502.05,4982.21
Clothing,Manager,Cart Crasher Campaign,2272689.20,837,2715.28,508.37,4996.89
Clothing,Manager,Cashback Carnival,2222603.00,793,2802.78,508.75,4994.40
Clothing,Manager,Clearance Countdown,2378058.76,872,2727.13,500.46,4995.43
Clothing,Manager,Countdown to Savings,2216206.59,806,2749.64,501.16,4996.97
Clothing,Manager,Customer Appreciation Week,2322886.68,838,2771.94,503.51,4995.61
Clothing,Manager,Cyber Monday Mania,2261772.12,822,2751.55,502.07,4994.22
Clothing,Manager,Deal of the Month,2236084.96,819,2730.26,504.75,4994.30
Clothing,Manager,Double Points Bonanza,2346917.47,841,2790.63,500.63,4992.59
Clothing,Manager,Early Bird Specials,2161205.57,790,2735.70,501.20,4996.74
Clothing,Manager,End of Season Sale,2302893.97,833,2764.58,503.81,4993.28
Clothing,Manager,Exclusive Insider Offers,2226194.42,822,2708.27,500.32,4998.51
Clothing,Manager,Festive Fever Promo,2329875.88,850,2741.03,501.90,4980.87
Clothing,Manager,Final Call Frenzy,2271732.25,835,2720.64,525.27,4976.65
Clothing,Manager,Flash Frenzy Friday,2184642.58,814,2683.84,509.25,4994.26
Clothing,Manager,"Gift More, Spend Less",2168841.26,794,2731.54,503.15,4997.42
Clothing,Manager,Golden Hour Bargains,2366902.11,848,2791.16,511.16,4997.10
Clothing,Manager,Green Weekend Deals,2309873.94,838,2756.41,505.56,4987.56
Clothing,Manager,Happy Hour Discounts,2369722.94,839,2824.46,505.67,4993.33
Clothing,Manager,Holiday Shopping Rush,2119319.97,777,2727.57,501.97,4997.57
Clothing,Manager,Hot Picks Promo,2258727.32,816,2768.05,512.09,4984.66
Clothing,Manager,Instant Gratification Sale,2126032.88,792,2684.38,501.99,4996.19
Clothing,Manager,Limited Time Treasures,2362527.20,839,2815.88,504.90,4999.38
Clothing,Manager,Loyalty Rewards Blast,2318673.49,836,2773.53,511.31,4998.22
Clothing,Manager,Mega Weekend Bonanza,2354784.20,859,2741.31,504.47,4996.67
Clothing,Manager,Mid-Year Madness,2400826.36,883,2718.94,500.82,4997.09
Clothing,Manager,Midnight Madness,2271679.51,844,2691.56,501.63,4998.11
