customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Large Malls / Complexes,Manager,12 Days of Deals,456507.70,164,2783.58,512.48,4991.32
Budget Shopper,Large Malls / Complexes,Manager,Autumn Deals Drive,419952.35,146,2876.39,501.91,4989.53
Budget Shopper,Large Malls / Complexes,Manager,BOGO Blitz,428193.33,145,2953.06,552.23,4931.89
Budget Shopper,Large Malls / Complexes,Manager,Back to School Boost,395131.10,151,2616.76,520.93,4885.75
Budget Shopper,Large Malls / Complexes,Manager,Birthday Bash Sale,441289.61,158,2792.97,531.30,4917.07
Budget Shopper,Large Malls / Complexes,Manager,Black Friday Blowout,426367.43,164,2599.80,502.21,4994.38
Budget Shopper,Large Malls / Complexes,Manager,Cart Crasher Campaign,467078.52,169,2763.78,508.39,4995.62
Budget Shopper,Large Malls / Complexes,Manager,Cashback Carnival,447162.88,161,2777.41,566.33,4976.93
Budget Shopper,Large Malls / Complexes,Manager,Clearance Countdown,439570.95,158,2782.09,537.57,4995.72
Budget Shopper,Large Malls / Complexes,Manager,Countdown to Savings,403521.91,155,2603.37,504.79,4979.96
Budget Shopper,Large Malls / Complexes,Manager,Customer Appreciation Week,458687.38,166,2763.18,529.66,4967.80
Budget Shopper,Large Malls / Complexes,Manager,Cyber Monday Mania,375831.18,136,2763.46,520.98,4992.94
Budget Shopper,Large Malls / Complexes,Manager,Deal of the Month,490068.52,174,2816.49,515.41,4999.11
Budget Shopper,Large Malls / Complexes,Manager,Double Points Bonanza,424254.77,149,2847.35,538.92,4963.74
Budget Shopper,Large Malls / Complexes,Manager,Early Bird Specials,404584.01,145,2790.23,512.16,4998.19
Budget Shopper,Large Malls / Complexes,Manager,End of Season Sale,378768.93,135,2805.70,531.95,4966.21
Budget Shopper,Large Malls / Complexes,Manager,Exclusive Insider Offers,459411.21,164,2801.29,512.59,4988.76
Budget Shopper,Large Malls / Complexes,Manager,Festive Fever Promo,446227.87,171,2609.52,519.53,4996.41
Budget Shopper,Large Malls / Complexes,Manager,Final Call Frenzy,428431.77,147,2914.50,567.25,4962.31
Budget Shopper,Large Malls / Complexes,Manager,Flash Frenzy Friday,405140.43,149,2719.06,517.12,4986.29
Budget Shopper,Large Malls / Complexes,Manager,"Gift More, Spend Less",409854.26,147,2788.12,534.00,4999.74
Budget Shopper,Large Malls / Complexes,Manager,Golden Hour Bargains,439757.61,164,2681.45,552.56,4945.95
Budget Shopper,Large Malls / Complexes,Manager,Green Weekend Deals,423459.78,155,2732.00,537.96,4912.52
Budget Shopper,Large Malls / Complexes,Manager,Happy Hour Discounts,389709.06,152,2563.88,510.48,4989.33
Budget Shopper,Large Malls / Complexes,Manager,Holiday Shopping Rush,406328.25,150,2708.86,534.66,4978.37
Budget Shopper,Large Malls / Complexes,Manager,Hot Picks Promo,452183.29,161,2808.59,515.02,4994.45
Budget Shopper,Large Malls / Complexes,Manager,Instant Gratification Sale,424627.38,156,2721.97,503.79,4978.35
Budget Shopper,Large Malls / Complexes,Manager,Limited Time Treasures,399210.20,145,2753.17,500.43,4987.60
Budget Shopper,Large Malls / Complexes,Manager,Loyalty Rewards Blast,455998.87,166,2746.98,540.12,4985.06
Budget Shopper,Large Malls / Complexes,Manager,Mega Weekend Bonanza,464545.00,162,2867.56,616.78,4956.76
Budget Shopper,Large Malls / Complexes,Manager,Mid-Year Madness,526110.50,187,2813.43,581.02,4981.00
Budget Shopper,Large Malls / Complexes,Manager,Midnight Madness,433350.59,150,2889.00,512.31,4971.62
Budget Shopper,Large Malls / Complexes,Manager,Mystery Discount Days,418552.64,155,2700.34,506.85,4959.74
Budget Shopper,Large Malls / Complexes,Manager,New Arrival Showcase,391611.58,154,2542.93,507.37,4989.50
Budget Shopper,Large Malls / Complexes,Manager,New Product Launch Promo,424216.07,163,2602.55,531.05,4998.61
Budget Shopper,Large Malls / Complexes,Manager,New Year Kickoff,401789.33,140,2869.92,608.48,4945.41
Budget Shopper,Large Malls / Complexes,Manager,Price Drop Parade,344109.48,126,2731.03,500.55,4973.83
Budget Shopper,Large Malls / Complexes,Manager,Red Tag Clearance,403494.04,142,2841.51,537.59,4926.31
Budget Shopper,Large Malls / Complexes,Manager,Seasonal Surprise Box,421525.79,155,2719.52,520.96,4984.25
Budget Shopper,Large Malls / Complexes,Manager,Shop & Save Spectacular,422410.20,155,2725.23,532.91,4992.11
Budget Shopper,Large Malls / Complexes,Manager,Smart Shopper Week,394157.47,144,2737.20,510.10,4985.85
Budget Shopper,Large Malls / Complexes,Manager,Spring Refresh Event,469577.62,171,2746.07,512.12,4997.69
Budget Shopper,Large Malls / Complexes,Manager,Spring Splash Discounts,368825.11,135,2732.04,509.54,4993.20
Budget Shopper,Large Malls / Complexes,Manager,Summer Sizzle Promo,425342.55,162,2625.57,513.95,4996.11
Budget Shopper,Large Malls / Complexes,Manager,Super Savings Week,409860.53,154,2661.43,517.65,4993.57
Budget Shopper,Large Malls / Complexes,Manager,Ultimate Value Event,401193.18,149,2692.57,516.38,4999.12
Budget Shopper,Large Malls / Complexes,Manager,VIP Access Sale,489360.70,174,2812.42,512.62,4969.11
Budget Shopper,Large Malls / Complexes,Manager,Weekend Warrior Specials,384698.27,139,2767.61,505.78,4893.14
Budget Shopper,Large Malls / Complexes,Manager,Winter Clearance Carnival,505996.39,176,2874.98,506.66,4990.80
Budget Shopper,Large Malls / Complexes,Manager,Winter Wonders Sale,422575.44,163,2592.49,512.61,4864.23
Budget Shopper,Large Malls / Complexes,Sales Associate,12 Days of Deals,367971.96,135,2725.72,531.14,4879.62
Budget Shopper,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,471717.64,173,2726.69,515.30,4982.16
Budget Shopper,Large Malls / Complexes,Sales Associate,BOGO Blitz,563039.06,194,2902.26,556.73,4981.18
