customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Large Malls / Complexes,Manager,21320613.03,7759,2747.86,500.43,4999.74
Budget Shopper,Large Malls / Complexes,Sales Associate,22896282.64,8335,2747.00,500.42,4999.95
Budget Shopper,Large Malls / Complexes,Salesperson,22866521.53,8241,2774.73,500.61,4999.97
Budget Shopper,Large Malls / Complexes,Senior Salesperson,19590332.44,7130,2747.59,500.26,4999.77
Budget Shopper,Small Stores / Shops,Manager,23247397.91,8450,2751.17,500.68,4998.44
Budget Shopper,Small Stores / Shops,Sales Associate,23989212.21,8708,2754.85,502.24,4999.78
Budget Shopper,Small Stores / Shops,Salesperson,24055038.53,8759,2746.32,500.51,4998.61
Budget Shopper,Small Stores / Shops,Senior Salesperson,20571736.41,7524,2734.15,500.59,4999.28
Budget Shopper,Supermarkets ,Manager,23901049.26,8651,2762.81,500.04,4999.93
Budget Shopper,Supermarkets ,Sales Associate,25041760.85,9104,2750.63,500.10,4999.85
Budget Shopper,Supermarkets ,Salesperson,24236832.92,8817,2748.88,500.99,4999.66
Budget Shopper,Supermarkets ,Senior Salesperson,21735285.15,7880,2758.28,500.80,4999.39
Churn Risk,Large Malls / Complexes,Manager,22080812.08,8056,2740.92,501.18,4999.13
Churn Risk,Large Malls / Complexes,Sales Associate,22785347.70,8313,2740.93,500.36,4999.91
Churn Risk,Large Malls / Complexes,Salesperson,22695357.88,8211,2764.02,500.82,4999.33
Churn Risk,Large Malls / Complexes,Senior Salesperson,19515758.22,7150,2729.48,501.92,4999.86
Churn Risk,Small Stores / Shops,Manager,23507867.94,8512,2761.73,500.70,4999.21
Churn Risk,Small Stores / Shops,Sales Associate,24409143.88,8882,2748.16,500.21,4999.20
Churn Risk,Small Stores / Shops,Salesperson,24067065.68,8777,2742.06,500.20,4999.64
Churn Risk,Small Stores / Shops,Senior Salesperson,20938772.86,7655,2735.31,500.07,4999.69
Churn Risk,Supermarkets ,Manager,23940856.86,8696,2753.09,500.17,4997.44
Churn Risk,Supermarkets ,Sales Associate,25193406.15,9184,2743.18,500.48,4999.22
Churn Risk,Supermarkets ,Salesperson,24734114.06,8903,2778.18,500.39,4999.85
Churn Risk,Supermarkets ,Senior Salesperson,21689306.45,7887,2750.01,502.31,4999.05
Deal Seeker,Large Malls / Complexes,Manager,22485485.31,8144,2760.99,500.13,4998.91
Deal Seeker,Large Malls / Complexes,Sales Associate,23056089.66,8383,2750.34,500.56,4999.77
Deal Seeker,Large Malls / Complexes,Salesperson,22879880.91,8287,2760.94,500.80,4999.02
Deal Seeker,Large Malls / Complexes,Senior Salesperson,19689069.64,7217,2728.15,500.80,4999.30
Deal Seeker,Small Stores / Shops,Manager,22815732.24,8259,2762.53,500.55,4999.70
Deal Seeker,Small Stores / Shops,Sales Associate,25012328.90,9031,2769.61,500.14,4999.82
Deal Seeker,Small Stores / Shops,Salesperson,24578139.78,8980,2736.99,500.49,4998.97
Deal Seeker,Small Stores / Shops,Senior Salesperson,21040720.61,7686,2737.54,500.05,4999.81
Deal Seeker,Supermarkets ,Manager,24028990.21,8717,2756.57,500.89,4999.75
Deal Seeker,Supermarkets ,Sales Associate,25252796.35,9203,2743.97,500.46,4999.95
Deal Seeker,Supermarkets ,Salesperson,24856381.41,9147,2717.44,500.66,4999.12
Deal Seeker,Supermarkets ,Senior Salesperson,21383123.06,7791,2744.59,500.07,4999.88
First-time Buyer,Large Malls / Complexes,Manager,22035515.46,7969,2765.15,500.37,4999.78
First-time Buyer,Large Malls / Complexes,Sales Associate,23355509.76,8487,2751.92,502.39,4999.23
First-time Buyer,Large Malls / Complexes,Salesperson,22614500.20,8179,2764.95,500.26,4999.75
First-time Buyer,Large Malls / Complexes,Senior Salesperson,19695149.10,7100,2773.96,500.56,4999.90
First-time Buyer,Small Stores / Shops,Manager,22686325.45,8225,2758.22,500.04,4999.83
First-time Buyer,Small Stores / Shops,Sales Associate,24280158.21,8819,2753.16,500.01,4999.45
First-time Buyer,Small Stores / Shops,Salesperson,23713119.07,8669,2735.39,500.01,4999.82
First-time Buyer,Small Stores / Shops,Senior Salesperson,21141438.68,7646,2765.03,501.03,4998.54
First-time Buyer,Supermarkets ,Manager,23883393.11,8692,2747.74,500.00,4999.11
First-time Buyer,Supermarkets ,Sales Associate,24874294.59,9016,2758.91,500.09,4999.90
First-time Buyer,Supermarkets ,Salesperson,25104880.63,9081,2764.55,502.13,4999.96
First-time Buyer,Supermarkets ,Senior Salesperson,20746849.76,7612,2725.55,500.58,4999.98
High Value,Large Malls / Complexes,Manager,21796886.61,7896,2760.50,500.47,4999.91
High Value,Large Malls / Complexes,Sales Associate,22812452.53,8325,2740.23,500.10,4999.48
High Value,Large Malls / Complexes,Salesperson,22429202.72,8121,2761.88,500.37,4998.95
High Value,Large Malls / Complexes,Senior Salesperson,19858123.44,7288,2724.77,500.33,4999.71
High Value,Small Stores / Shops,Manager,23802882.96,8634,2756.88,500.14,4999.89
High Value,Small Stores / Shops,Sales Associate,24591814.10,8975,2740.03,501.04,4999.98
High Value,Small Stores / Shops,Salesperson,24299342.00,8845,2747.24,500.69,4999.73
High Value,Small Stores / Shops,Senior Salesperson,21633141.89,7844,2757.92,500.03,4998.48
