salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Manager,12 Days of Deals,13445537.32,4885,2752.41,500.37,4999.67
Manager,Autumn Deals Drive,13830573.92,5077,2724.16,500.04,4999.75
Manager,BOGO Blitz,13897517.66,5019,2768.98,500.64,4999.75
Manager,Back to School Boost,13752585.68,5086,2704.01,500.60,4997.76
Manager,Birthday Bash Sale,13485407.64,4909,2747.08,500.14,4999.93
Manager,Black Friday Blowout,13782264.75,5020,2745.47,500.83,4999.87
Manager,Cart Crasher Campaign,13641663.92,4943,2759.79,503.66,4998.46
Manager,Cashback Carnival,13624458.77,4920,2769.20,500.13,4999.14
Manager,Clearance Countdown,13984751.46,5095,2744.80,500.08,4998.45
Manager,Countdown to Savings,14065040.84,5065,2776.91,501.16,4997.53
Manager,Customer Appreciation Week,13972069.18,5054,2764.56,503.51,4997.51
Manager,Cyber Monday Mania,14151004.50,5101,2774.16,502.07,4999.83
Manager,Deal of the Month,13551117.19,4934,2746.48,500.90,4999.11
Manager,Double Points Bonanza,13956072.97,5028,2775.67,500.57,4999.60
Manager,Early Bird Specials,13644834.80,4955,2753.75,500.89,4999.70
Manager,End of Season Sale,13757467.21,5032,2734.00,500.37,4999.19
Manager,Exclusive Insider Offers,13626139.58,4928,2765.04,500.32,4999.97
Manager,Festive Fever Promo,13612631.39,4982,2732.36,500.07,4998.89
Manager,Final Call Frenzy,13975866.56,5089,2746.29,501.47,4994.28
Manager,Flash Frenzy Friday,13688302.77,4997,2739.30,500.13,4996.92
Manager,"Gift More, Spend Less",13356600.43,4935,2706.50,503.15,4999.74
Manager,Golden Hour Bargains,13912247.08,5044,2758.18,503.86,4999.31
Manager,Green Weekend Deals,13540922.15,4903,2761.76,503.00,4999.78
Manager,Happy Hour Discounts,13808786.68,4982,2771.74,501.84,4998.94
Manager,Holiday Shopping Rush,13306723.18,4868,2733.51,500.17,4997.86
Manager,Hot Picks Promo,13991897.52,5115,2735.46,500.04,4997.69
Manager,Instant Gratification Sale,13852752.14,5089,2722.10,501.99,4998.35
Manager,Limited Time Treasures,13888230.35,4992,2782.10,500.43,4999.38
Manager,Loyalty Rewards Blast,13675037.16,4992,2739.39,500.22,4998.22
Manager,Mega Weekend Bonanza,14060761.58,5153,2728.66,502.17,4999.15
Manager,Mid-Year Madness,13903543.50,5090,2731.54,500.82,4999.10
Manager,Midnight Madness,13760561.77,4993,2755.97,500.45,4998.75
Manager,Mystery Discount Days,13486298.56,4933,2733.89,500.04,4998.07
Manager,New Arrival Showcase,13922571.32,5059,2752.04,500.17,4999.20
Manager,New Product Launch Promo,13908097.07,5072,2742.13,501.71,4999.30
Manager,New Year Kickoff,13650829.24,4972,2745.54,500.12,4996.56
Manager,Price Drop Parade,13576046.01,4968,2732.70,500.07,4999.58
Manager,Red Tag Clearance,13883408.41,5019,2766.17,500.88,4998.91
Manager,Seasonal Surprise Box,13735404.18,5033,2729.07,500.56,4998.58
Manager,Shop & Save Spectacular,14273358.31,5088,2805.30,503.57,4998.60
Manager,Smart Shopper Week,13739917.41,4983,2757.36,500.56,4999.40
Manager,Spring Refresh Event,13996896.85,5013,2792.12,500.05,4997.69
Manager,Spring Splash Discounts,13540770.92,4923,2750.51,500.68,4999.83
Manager,Summer Sizzle Promo,13521677.04,4876,2773.11,500.92,4998.67
Manager,Super Savings Week,13554913.35,4954,2736.16,500.00,4999.89
Manager,Ultimate Value Event,13896078.80,5066,2743.01,500.17,4999.91
Manager,VIP Access Sale,13876678.87,5022,2763.18,500.31,4999.15
Manager,Weekend Warrior Specials,13827352.65,4993,2769.35,501.07,4999.65
Manager,Winter Clearance Carnival,13958536.31,5042,2768.45,502.18,4998.56
Manager,Winter Wonders Sale,13967285.70,5112,2732.25,502.39,4999.21
Sales Associate,12 Days of Deals,14476063.94,5250,2757.35,502.99,4999.82
Sales Associate,Autumn Deals Drive,15063693.33,5482,2747.85,500.56,4996.48
Sales Associate,BOGO Blitz,14362393.89,5254,2733.61,500.98,4998.71
Sales Associate,Back to School Boost,14410800.05,5260,2739.70,501.01,4999.33
Sales Associate,Birthday Bash Sale,14424597.22,5251,2747.02,500.58,4999.90
Sales Associate,Black Friday Blowout,14377046.37,5220,2754.22,500.23,4999.69
Sales Associate,Cart Crasher Campaign,14221053.30,5197,2736.40,500.78,4999.98
Sales Associate,Cashback Carnival,14583144.12,5316,2743.26,500.39,4997.15
Sales Associate,Clearance Countdown,14845031.55,5378,2760.33,500.37,4998.92
Sales Associate,Countdown to Savings,14407438.92,5243,2747.94,500.09,4999.16
Sales Associate,Customer Appreciation Week,14350314.14,5264,2726.12,501.28,4999.02
Sales Associate,Cyber Monday Mania,14366209.36,5208,2758.49,503.24,4998.93
Sales Associate,Deal of the Month,14559353.32,5335,2729.03,500.38,4999.45
Sales Associate,Double Points Bonanza,14387694.57,5222,2755.21,500.48,4999.14
Sales Associate,Early Bird Specials,14862725.98,5375,2765.16,501.24,4997.80
Sales Associate,End of Season Sale,14380844.10,5243,2742.87,501.39,4999.78
Sales Associate,Exclusive Insider Offers,14499713.78,5266,2753.46,501.18,4999.92
Sales Associate,Festive Fever Promo,14462857.41,5254,2752.73,500.36,4996.92
Sales Associate,Final Call Frenzy,14609209.65,5290,2761.67,501.57,4999.96
Sales Associate,Flash Frenzy Friday,14646795.11,5317,2754.71,501.88,4999.95
Sales Associate,"Gift More, Spend Less",14632557.08,5274,2774.47,500.46,4997.79
Sales Associate,Golden Hour Bargains,14489846.87,5242,2764.18,500.57,4999.85
Sales Associate,Green Weekend Deals,14476437.58,5299,2731.92,500.74,4999.77
Sales Associate,Happy Hour Discounts,14491289.68,5264,2752.90,500.31,4999.78
Sales Associate,Holiday Shopping Rush,14396950.33,5244,2745.41,500.68,4998.79
Sales Associate,Hot Picks Promo,14290315.54,5245,2724.56,500.12,4998.48
Sales Associate,Instant Gratification Sale,14551392.46,5254,2769.58,500.95,4999.38
Sales Associate,Limited Time Treasures,14533970.45,5329,2727.34,502.11,4999.73
Sales Associate,Loyalty Rewards Blast,14321180.18,5242,2732.01,500.57,4999.26
Sales Associate,Mega Weekend Bonanza,14397806.49,5180,2779.50,500.60,4998.00
Sales Associate,Mid-Year Madness,14134173.57,5129,2755.74,500.72,4999.11
Sales Associate,Midnight Madness,14603515.85,5310,2750.19,500.01,4999.95
Sales Associate,Mystery Discount Days,14704506.90,5336,2755.72,500.77,4999.85
Sales Associate,New Arrival Showcase,14718304.43,5310,2771.81,502.57,4999.95
Sales Associate,New Product Launch Promo,14550673.57,5307,2741.79,500.19,4999.48
Sales Associate,New Year Kickoff,14309381.07,5219,2741.79,500.10,4999.63
Sales Associate,Price Drop Parade,14150780.24,5172,2736.04,504.91,4999.49
Sales Associate,Red Tag Clearance,14169416.97,5126,2764.22,500.15,4998.76
Sales Associate,Seasonal Surprise Box,14595380.79,5299,2754.37,500.52,4998.82
Sales Associate,Shop & Save Spectacular,14207562.49,5159,2753.94,500.14,4999.95
Sales Associate,Smart Shopper Week,14425028.68,5246,2749.72,501.31,4999.77
Sales Associate,Spring Refresh Event,14506429.29,5279,2747.95,500.56,4999.83
Sales Associate,Spring Splash Discounts,14569646.49,5315,2741.23,502.55,4999.44
Sales Associate,Summer Sizzle Promo,14580698.04,5285,2758.88,500.10,4998.50
Sales Associate,Super Savings Week,14663463.04,5260,2787.73,500.36,4998.97
Sales Associate,Ultimate Value Event,14698290.75,5320,2762.84,501.69,4999.45
Sales Associate,VIP Access Sale,14558919.09,5280,2757.37,500.93,4996.84
Sales Associate,Weekend Warrior Specials,14504789.53,5327,2722.88,502.66,4996.77
Sales Associate,Winter Clearance Carnival,15113466.11,5462,2767.02,501.25,4998.82
Sales Associate,Winter Wonders Sale,14279356.64,5243,2723.51,501.34,4999.74
Salesperson,12 Days of Deals,14622123.73,5318,2749.55,502.32,4999.73
Salesperson,Autumn Deals Drive,14199282.26,5160,2751.80,500.20,4999.01
Salesperson,BOGO Blitz,14567191.46,5264,2767.32,502.29,4999.45
Salesperson,Back to School Boost,14169933.45,5192,2729.19,500.09,4998.12
Salesperson,Birthday Bash Sale,13918206.74,5070,2745.21,501.52,4999.64
Salesperson,Black Friday Blowout,14198391.79,5170,2746.30,500.60,4999.91
Salesperson,Cart Crasher Campaign,14302207.36,5226,2736.74,503.57,4998.84
Salesperson,Cashback Carnival,14209380.86,5160,2753.76,500.92,4999.62
Salesperson,Clearance Countdown,14192430.37,5160,2750.47,501.31,4999.80
Salesperson,Countdown to Savings,14269712.64,5256,2714.94,500.39,4998.86
Salesperson,Customer Appreciation Week,14359942.88,5229,2746.21,500.64,4999.25
Salesperson,Cyber Monday Mania,14474615.16,5284,2739.33,503.20,4999.50
Salesperson,Deal of the Month,13873938.08,5086,2727.87,502.14,4999.96
Salesperson,Double Points Bonanza,14178900.77,5197,2728.29,500.80,4999.44
Salesperson,Early Bird Specials,14181957.43,5180,2737.83,500.92,4999.19
Salesperson,End of Season Sale,14020632.42,5084,2757.80,500.31,4999.17
Salesperson,Exclusive Insider Offers,14403413.18,5199,2770.42,501.83,4999.90
Salesperson,Festive Fever Promo,14165823.17,5234,2706.50,501.00,4998.62
Salesperson,Final Call Frenzy,13980627.66,5103,2739.69,500.25,4999.75
Salesperson,Flash Frenzy Friday,14198951.18,5141,2761.90,501.20,4998.72
Salesperson,"Gift More, Spend Less",14187438.71,5187,2735.19,500.71,4998.06
Salesperson,Golden Hour Bargains,14049710.68,5152,2727.04,500.01,4999.35
Salesperson,Green Weekend Deals,14388130.13,5229,2751.60,500.26,4999.33
Salesperson,Happy Hour Discounts,14487032.81,5267,2750.53,501.14,4998.95
Salesperson,Holiday Shopping Rush,14246850.60,5178,2751.42,501.27,4999.67
Salesperson,Hot Picks Promo,14190965.14,5102,2781.45,502.01,4997.81
Salesperson,Instant Gratification Sale,14372463.28,5224,2751.24,500.41,4999.70
Salesperson,Limited Time Treasures,14224100.65,5212,2729.11,500.34,4999.20
Salesperson,Loyalty Rewards Blast,14527324.43,5235,2775.04,500.38,4998.98
Salesperson,Mega Weekend Bonanza,14070340.19,5118,2749.19,500.15,4998.94
Salesperson,Mid-Year Madness,14477062.48,5250,2757.54,500.34,4998.11
Salesperson,Midnight Madness,14376158.68,5270,2727.92,500.50,4999.83
Salesperson,Mystery Discount Days,14102453.26,5121,2753.85,500.80,4999.55
Salesperson,New Arrival Showcase,14174677.85,5114,2771.74,500.37,4999.86
Salesperson,New Product Launch Promo,14276436.34,5184,2753.94,500.73,4999.95
Salesperson,New Year Kickoff,14626576.06,5274,2773.34,501.31,4999.87
