brand,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,182088959.37,66171,2751.79,500.11,4999.95
Amul,91486787.21,33368,2741.75,500.26,4999.80
Apple,91108186.32,33158,2747.70,500.25,4999.96
Bosch,90614489.30,33226,2727.22,500.10,4999.80
Britannia,90385394.72,32986,2740.11,500.31,4999.95
Decathlon,91651419.02,33349,2748.25,500.07,4999.97
Godrej Interio,91275946.51,33330,2738.55,500.23,4999.77
Haier,91719159.31,33416,2744.77,500.00,4999.91
Home Centre,92490665.49,33478,2762.73,500.23,4999.90
IKEA,92237873.85,33561,2748.36,500.06,4999.69
Kellogg's,91551076.18,33223,2755.65,500.12,4999.96
LG,183454740.93,66646,2752.67,500.17,4999.91
Levi's,92346856.97,33566,2751.20,500.12,4999.97
Nestle,91175979.66,33127,2752.32,500.03,4999.92
Nike,185267169.26,67175,2757.98,500.01,4999.95
Panasonic,92502827.11,33485,2762.52,500.09,4999.96
Pepperfry,91656619.51,33259,2755.84,500.36,4999.47
Puma,183449022.62,66695,2750.57,500.03,4999.98
Reebok,92687658.46,33648,2754.63,500.04,4999.65
Samsung,184431794.72,66950,2754.77,500.09,4999.98
Sony,90915943.70,33149,2742.65,500.05,4999.96
Tata,92015944.77,33380,2756.62,500.01,4999.97
Urban Ladder,91808297.69,33278,2758.83,500.07,4999.88
Whirlpool,91969638.24,33483,2746.76,500.21,4999.93
Zara,90582143.78,32893,2753.84,500.32,4999.91
