brand,customer_segment,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,18038765.75,6547,2755.27,500.43,4999.95
Adidas,Churn Risk,18098771.42,6575,2752.66,500.73,4999.86
Adidas,Deal Seeker,18705411.06,6725,2781.47,500.46,4998.10
Adidas,First-time Buyer,18170798.93,6623,2743.59,501.06,4999.86
Adidas,High Value,18192008.05,6678,2724.17,500.17,4999.78
Adidas,In-Store Regular,17803840.97,6466,2753.46,500.45,4999.76
Adidas,Loyal Customer,18604154.50,6742,2759.44,500.58,4998.83
Adidas,Occasional Shopper,18685077.25,6722,2779.69,500.33,4999.05
Adidas,Online Shopper,17962492.47,6575,2731.94,500.11,4999.41
Adidas,Premium Shopper,17827638.97,6518,2735.14,500.83,4999.76
Amul,Budget Shopper,9278568.16,3350,2769.72,504.65,4998.19
Amul,Churn Risk,9119744.66,3344,2727.20,502.30,4996.54
Amul,Deal Seeker,9112104.08,3302,2759.57,501.88,4998.30
Amul,First-time Buyer,9104224.40,3350,2717.68,500.26,4998.98
Amul,High Value,9274359.28,3398,2729.36,500.47,4998.10
Amul,In-Store Regular,9218650.89,3356,2746.92,504.51,4996.48
Amul,Loyal Customer,9059438.19,3340,2712.41,500.84,4998.75
Amul,Occasional Shopper,9143215.98,3332,2744.06,503.17,4999.80
Amul,Online Shopper,9402908.22,3405,2761.50,500.62,4996.71
Amul,Premium Shopper,8773573.35,3191,2749.47,501.25,4997.29
Apple,Budget Shopper,9220815.87,3344,2757.42,501.68,4995.51
Apple,Churn Risk,9071792.86,3329,2725.08,500.60,4994.23
Apple,Deal Seeker,9179420.01,3345,2744.22,502.34,4999.77
Apple,First-time Buyer,9065014.99,3277,2766.25,505.11,4999.96
Apple,High Value,8999096.07,3305,2722.87,500.64,4999.52
Apple,In-Store Regular,9098192.96,3310,2748.70,500.25,4999.96
Apple,Loyal Customer,8985442.17,3235,2777.57,504.97,4999.83
Apple,Occasional Shopper,9349431.30,3380,2766.10,500.26,4997.93
Apple,Online Shopper,9097903.24,3326,2735.39,500.70,4998.93
Apple,Premium Shopper,9041076.86,3307,2733.92,502.69,4996.76
Bosch,Budget Shopper,9378047.70,3392,2764.75,500.10,4999.80
Bosch,Churn Risk,9190646.04,3327,2762.44,502.07,4995.95
Bosch,Deal Seeker,9051131.11,3359,2694.59,500.80,4999.30
Bosch,First-time Buyer,9038534.36,3314,2727.38,502.14,4998.36
Bosch,High Value,8835315.76,3261,2709.39,500.13,4997.76
Bosch,In-Store Regular,9004816.70,3294,2733.70,501.78,4998.96
Bosch,Loyal Customer,8682970.72,3213,2702.45,502.78,4999.32
Bosch,Occasional Shopper,9055424.38,3316,2730.83,500.65,4998.02
Bosch,Online Shopper,9439884.12,3482,2711.05,501.02,4996.64
Bosch,Premium Shopper,8937718.41,3268,2734.92,501.60,4999.74
Britannia,Budget Shopper,8917841.06,3279,2719.68,502.18,4999.95
Britannia,Churn Risk,8998897.06,3297,2729.42,500.75,4996.21
Britannia,Deal Seeker,8850362.94,3249,2724.03,501.28,4994.32
Britannia,First-time Buyer,8995497.47,3248,2769.55,500.94,4999.83
Britannia,High Value,9505758.22,3452,2753.70,504.09,4998.87
Britannia,In-Store Regular,9169559.93,3357,2731.47,504.42,4999.35
Britannia,Loyal Customer,9059987.86,3249,2788.55,503.24,4999.40
Britannia,Occasional Shopper,8969526.01,3277,2737.12,500.43,4999.21
Britannia,Online Shopper,9037617.60,3301,2737.84,500.65,4997.84
Britannia,Premium Shopper,8880346.55,3277,2709.90,500.31,4998.94
Decathlon,Budget Shopper,9099449.19,3346,2719.50,500.42,4995.72
Decathlon,Churn Risk,9228291.54,3326,2774.59,500.56,4997.07
Decathlon,Deal Seeker,8911634.60,3270,2725.27,500.46,4999.49
Decathlon,First-time Buyer,9056772.61,3294,2749.48,500.09,4999.25
Decathlon,High Value,9479617.24,3426,2766.96,500.15,4999.05
Decathlon,In-Store Regular,9152556.37,3277,2792.97,501.50,4999.77
Decathlon,Loyal Customer,9151163.94,3321,2755.54,501.43,4996.95
Decathlon,Occasional Shopper,9290892.19,3396,2735.83,500.07,4997.17
Decathlon,Online Shopper,9277849.08,3375,2748.99,500.15,4999.97
Decathlon,Premium Shopper,9003192.26,3318,2713.44,500.23,4997.72
Godrej Interio,Budget Shopper,9110857.36,3337,2730.25,501.67,4999.77
Godrej Interio,Churn Risk,9016587.44,3330,2707.68,503.48,4999.20
Godrej Interio,Deal Seeker,9172359.26,3372,2720.15,501.02,4999.40
Godrej Interio,First-time Buyer,9125705.05,3337,2734.70,500.38,4999.65
Godrej Interio,High Value,9161648.53,3337,2745.47,504.51,4998.80
Godrej Interio,In-Store Regular,9068112.36,3324,2728.07,500.57,4995.77
Godrej Interio,Loyal Customer,9234626.54,3338,2766.51,502.50,4997.34
Godrej Interio,Occasional Shopper,8942845.53,3282,2724.82,501.14,4999.44
Godrej Interio,Online Shopper,9521353.10,3448,2761.41,500.23,4998.57
Godrej Interio,Premium Shopper,8921851.36,3225,2766.47,501.02,4999.01
Haier,Budget Shopper,9069563.36,3289,2757.54,500.92,4998.49
Haier,Churn Risk,9151329.30,3332,2746.50,500.36,4998.82
Haier,Deal Seeker,9207116.41,3395,2711.96,500.05,4999.84
Haier,First-time Buyer,9067344.86,3278,2766.12,500.00,4997.95
Haier,High Value,9196601.85,3390,2712.86,500.33,4997.95
Haier,In-Store Regular,9125824.89,3288,2775.49,501.45,4999.06
Haier,Loyal Customer,9291336.06,3365,2761.17,500.27,4999.91
Haier,Occasional Shopper,9271126.52,3385,2738.89,500.66,4994.82
Haier,Online Shopper,9296729.55,3406,2729.52,501.55,4996.85
Haier,Premium Shopper,9042186.52,3288,2750.06,501.43,4998.92
Home Centre,Budget Shopper,9094613.60,3336,2726.20,500.93,4999.90
Home Centre,Churn Risk,9251402.49,3349,2762.44,501.40,4999.64
Home Centre,Deal Seeker,9237530.96,3369,2741.92,502.25,4999.30
Home Centre,First-time Buyer,9071681.23,3288,2759.03,500.56,4999.10
Home Centre,High Value,9258257.65,3356,2758.72,504.04,4999.89
Home Centre,In-Store Regular,9038588.11,3265,2768.33,501.98,4998.45
Home Centre,Loyal Customer,9508919.79,3417,2782.83,501.07,4997.86
Home Centre,Occasional Shopper,9367473.18,3401,2754.33,500.92,4999.60
Home Centre,Online Shopper,9423244.54,3372,2794.56,500.35,4998.52
Home Centre,Premium Shopper,9238953.94,3325,2778.63,500.23,4997.47
IKEA,Budget Shopper,9125384.93,3346,2727.25,503.05,4997.53
IKEA,Churn Risk,9161917.71,3343,2740.63,500.71,4999.21
IKEA,Deal Seeker,8991093.24,3293,2730.37,502.50,4999.12
IKEA,First-time Buyer,9647718.64,3478,2773.93,503.76,4998.36
IKEA,High Value,9095464.65,3338,2724.82,501.39,4995.87
IKEA,In-Store Regular,9068841.49,3250,2790.41,500.06,4998.78
IKEA,Loyal Customer,9437797.12,3441,2742.75,501.83,4999.69
IKEA,Occasional Shopper,9162957.38,3343,2740.94,501.43,4996.87
IKEA,Online Shopper,9296038.87,3392,2740.58,501.50,4997.00
IKEA,Premium Shopper,9250659.83,3337,2772.15,500.31,4998.88
Kellogg's,Budget Shopper,9130582.53,3300,2766.84,500.68,4998.35
Kellogg's,Churn Risk,9348162.85,3397,2751.89,501.42,4999.85
Kellogg's,Deal Seeker,9329717.90,3367,2770.93,501.79,4999.80
Kellogg's,First-time Buyer,9226650.12,3336,2765.78,500.64,4999.20
Kellogg's,High Value,9199862.47,3349,2747.05,500.54,4998.78
Kellogg's,In-Store Regular,9127421.79,3276,2786.15,500.16,4999.70
Kellogg's,Loyal Customer,8984017.47,3264,2752.46,500.37,4999.96
Kellogg's,Occasional Shopper,8914117.90,3275,2721.87,502.08,4996.77
Kellogg's,Online Shopper,9043935.41,3287,2751.43,500.12,4999.82
Kellogg's,Premium Shopper,9246607.74,3372,2742.17,500.73,4999.86
LG,Budget Shopper,18065115.48,6579,2745.88,500.72,4999.25
LG,Churn Risk,18644906.32,6720,2774.54,500.17,4999.15
LG,Deal Seeker,18681430.10,6742,2770.90,500.92,4998.59
LG,First-time Buyer,18514670.83,6692,2766.69,500.75,4999.75
LG,High Value,18472546.98,6691,2760.81,500.70,4999.91
LG,In-Store Regular,17778708.01,6482,2742.78,500.93,4999.09
LG,Loyal Customer,18356440.11,6744,2721.89,501.38,4999.43
LG,Occasional Shopper,17861249.30,6553,2725.66,500.28,4998.42
LG,Online Shopper,18342144.77,6697,2738.86,500.36,4999.46
LG,Premium Shopper,18737529.03,6746,2777.58,502.79,4997.79
Levi's,Budget Shopper,9143416.80,3332,2744.12,501.09,4996.92
Levi's,Churn Risk,9567560.11,3476,2752.46,500.17,4997.36
Levi's,Deal Seeker,9443843.14,3440,2745.30,501.70,4998.97
Levi's,First-time Buyer,9341457.04,3354,2785.17,500.27,4996.53
Levi's,High Value,9105428.23,3309,2751.72,501.71,4999.26
Levi's,In-Store Regular,9218386.03,3345,2755.87,500.60,4999.49
Levi's,Loyal Customer,9140605.07,3315,2757.35,501.94,4999.97
Levi's,Occasional Shopper,9058931.23,3339,2713.07,501.31,4994.57
Levi's,Online Shopper,9417346.10,3398,2771.44,500.12,4999.60
Levi's,Premium Shopper,8909883.23,3258,2734.77,500.17,4998.56
Nestle,Budget Shopper,8920372.58,3251,2743.89,501.93,4999.39
Nestle,Churn Risk,8990991.29,3268,2751.22,502.13,4998.94
Nestle,Deal Seeker,9422679.67,3403,2768.93,500.60,4999.88
Nestle,First-time Buyer,8894645.27,3282,2710.13,501.65,4999.88
Nestle,High Value,9012101.55,3308,2724.34,501.12,4996.03
Nestle,In-Store Regular,9156848.37,3304,2771.44,500.03,4999.92
Nestle,Loyal Customer,9346186.11,3336,2801.61,504.24,4997.31
Nestle,Occasional Shopper,9233406.43,3351,2755.42,501.97,4998.22
Nestle,Online Shopper,9098175.03,3329,2733.01,501.06,4999.06
Nestle,Premium Shopper,9100573.37,3295,2761.93,501.53,4998.48
Nike,Budget Shopper,18763179.41,6771,2771.11,500.80,4999.12
Nike,Churn Risk,18627929.49,6767,2752.76,500.07,4999.05
Nike,Deal Seeker,18524883.33,6761,2739.96,500.14,4999.44
Nike,First-time Buyer,18504034.50,6728,2750.30,500.01,4999.02
Nike,High Value,18498265.56,6666,2775.02,500.14,4999.95
Nike,In-Store Regular,18501915.02,6754,2739.40,501.97,4999.33
Nike,Loyal Customer,18567030.71,6766,2744.17,501.07,4999.83
Nike,Occasional Shopper,18649022.49,6794,2744.93,500.65,4999.75
Nike,Online Shopper,18295518.97,6590,2776.25,500.29,4998.41
Nike,Premium Shopper,18335389.77,6578,2787.38,500.31,4999.67
Panasonic,Budget Shopper,8991275.58,3220,2792.32,500.59,4999.40
Panasonic,Churn Risk,9242368.11,3352,2757.27,500.20,4999.64
Panasonic,Deal Seeker,9328335.12,3380,2759.86,500.14,4999.75
Panasonic,First-time Buyer,9095788.83,3328,2733.11,503.56,4999.90
Panasonic,High Value,9260154.53,3363,2753.54,502.39,4998.89
Panasonic,In-Store Regular,9519172.37,3471,2742.49,501.86,4999.96
Panasonic,Loyal Customer,9096237.54,3307,2750.60,500.20,4997.54
Panasonic,Occasional Shopper,9493808.18,3405,2788.20,500.15,4998.19
Panasonic,Online Shopper,9378875.74,3361,2790.50,500.09,4999.83
Panasonic,Premium Shopper,9096811.11,3298,2758.28,500.34,4999.87
Pepperfry,Budget Shopper,9125533.34,3309,2757.79,503.79,4998.54
Pepperfry,Churn Risk,9162503.06,3313,2765.62,501.02,4999.03
Pepperfry,Deal Seeker,9400050.02,3397,2767.16,500.56,4998.62
Pepperfry,First-time Buyer,8952363.89,3255,2750.34,501.27,4999.26
Pepperfry,High Value,9325264.37,3357,2777.86,502.41,4999.47
Pepperfry,In-Store Regular,9034589.15,3268,2764.56,508.01,4998.58
Pepperfry,Loyal Customer,8977308.79,3284,2733.65,501.63,4999.16
Pepperfry,Occasional Shopper,9254400.21,3344,2767.46,500.36,4998.24
Pepperfry,Online Shopper,9405727.84,3441,2733.43,505.16,4999.14
Pepperfry,Premium Shopper,9018878.84,3291,2740.47,500.59,4998.23
Puma,Budget Shopper,18196764.68,6593,2760.01,501.48,4999.85
Puma,Churn Risk,18106786.34,6615,2737.23,500.57,4998.60
Puma,Deal Seeker,18900880.92,6822,2770.58,500.07,4999.01
Puma,First-time Buyer,18142000.96,6596,2750.45,500.04,4999.98
Puma,High Value,18684546.37,6785,2753.80,500.03,4999.61
Puma,In-Store Regular,18215875.47,6641,2742.94,500.74,4999.89
Puma,Loyal Customer,18152840.89,6649,2730.16,500.18,4999.68
Puma,Occasional Shopper,18747335.15,6791,2760.61,500.41,4998.46
Puma,Online Shopper,18265887.23,6656,2744.27,500.04,4999.78
Puma,Premium Shopper,18036104.63,6547,2754.87,500.07,4998.60
Reebok,Budget Shopper,9036185.59,3292,2744.89,500.04,4998.61
Reebok,Churn Risk,9677681.59,3507,2759.53,506.11,4998.24
Reebok,Deal Seeker,9193076.54,3389,2712.62,502.11,4999.33
Reebok,First-time Buyer,9198859.77,3323,2768.24,500.37,4996.59
Reebok,High Value,9239276.79,3347,2760.47,502.36,4998.53
Reebok,In-Store Regular,9512996.20,3379,2815.33,502.76,4999.53
Reebok,Loyal Customer,9224896.43,3365,2741.43,500.50,4999.34
Reebok,Occasional Shopper,9114363.63,3352,2719.08,501.14,4999.65
Reebok,Online Shopper,9512498.11,3435,2769.29,501.32,4998.98
Reebok,Premium Shopper,8977823.81,3259,2754.78,500.30,4999.55
Samsung,Budget Shopper,17843096.22,6507,2742.14,500.78,4999.90
Samsung,Churn Risk,18483644.09,6717,2751.77,500.21,4999.69
Samsung,Deal Seeker,18419862.48,6701,2748.82,500.13,4998.67
Samsung,First-time Buyer,18357328.54,6704,2738.26,500.13,4999.73
Samsung,High Value,18202107.58,6649,2737.57,501.98,4999.98
Samsung,In-Store Regular,18413512.88,6725,2738.07,501.27,4999.21
Samsung,Loyal Customer,18520481.59,6656,2782.52,500.17,4999.50
Samsung,Occasional Shopper,18964115.91,6860,2764.45,500.09,4999.63
Samsung,Online Shopper,18821118.15,6763,2782.95,500.93,4999.94
Samsung,Premium Shopper,18406527.28,6668,2760.43,501.06,4997.81
Sony,Budget Shopper,9122556.99,3283,2778.73,500.55,4997.06
Sony,Churn Risk,8935748.12,3276,2727.64,500.37,4997.94
Sony,Deal Seeker,9018426.54,3333,2705.80,500.80,4999.95
Sony,First-time Buyer,8987678.77,3237,2776.55,500.19,4999.11
Sony,High Value,9072794.13,3355,2704.26,501.00,4999.96
Sony,In-Store Regular,9009596.66,3274,2751.86,500.05,4998.89
Sony,Loyal Customer,9301805.99,3382,2750.39,500.08,4999.15
Sony,Occasional Shopper,9236674.90,3347,2759.69,506.15,4998.09
