brand,customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Large Malls / Complexes,Sales Associate,1514222.49,538,2814.54,505.34,4994.32
Adidas,Budget Shopper,Large Malls / Complexes,Salesperson,1497723.95,537,2789.06,511.21,4999.95
Adidas,Budget Shopper,Small Stores / Shops,Manager,1530864.54,572,2676.34,541.28,4991.92
Adidas,Budget Shopper,Small Stores / Shops,Sales Associate,1622812.86,589,2755.20,512.05,4998.36
Adidas,Budget Shopper,Small Stores / Shops,Salesperson,1592458.43,581,2740.89,511.56,4993.46
Adidas,Budget Shopper,Supermarkets ,Manager,1564449.37,569,2749.47,503.98,4996.74
Adidas,Budget Shopper,Supermarkets ,Sales Associate,1716313.36,615,2790.75,530.59,4990.39
Adidas,Budget Shopper,Supermarkets ,Salesperson,1572876.73,590,2665.89,501.20,4995.87
Adidas,Budget Shopper,Supermarkets ,Senior Salesperson,1438573.63,529,2719.42,502.14,4980.54
Adidas,Churn Risk,Large Malls / Complexes,Manager,1462470.66,524,2790.97,505.67,4988.93
Adidas,Churn Risk,Large Malls / Complexes,Sales Associate,1469950.09,528,2784.00,535.63,4997.18
Adidas,Churn Risk,Large Malls / Complexes,Salesperson,1627106.41,569,2859.59,508.67,4999.18
Adidas,Churn Risk,Large Malls / Complexes,Senior Salesperson,1436455.44,510,2816.58,511.14,4999.86
Adidas,Churn Risk,Small Stores / Shops,Manager,1538664.18,570,2699.41,530.29,4998.38
Adidas,Churn Risk,Small Stores / Shops,Sales Associate,1499046.96,552,2715.66,504.72,4996.24
Adidas,Churn Risk,Small Stores / Shops,Salesperson,1622868.50,603,2691.32,510.65,4993.81
Adidas,Churn Risk,Supermarkets ,Manager,1529772.57,576,2655.86,506.36,4997.38
Adidas,Churn Risk,Supermarkets ,Sales Associate,1636659.97,600,2727.77,503.18,4998.56
Adidas,Churn Risk,Supermarkets ,Salesperson,1637847.76,573,2858.37,506.71,4997.20
Adidas,Churn Risk,Supermarkets ,Senior Salesperson,1428955.15,524,2727.01,514.15,4977.09
Adidas,Deal Seeker,Large Malls / Complexes,Manager,1566003.30,554,2826.72,501.32,4996.56
Adidas,Deal Seeker,Large Malls / Complexes,Sales Associate,1669380.27,608,2745.69,505.10,4998.10
Adidas,Deal Seeker,Large Malls / Complexes,Salesperson,1586152.84,558,2842.57,504.14,4995.87
Adidas,Deal Seeker,Small Stores / Shops,Manager,1534290.15,542,2830.79,503.97,4990.88
Adidas,Deal Seeker,Small Stores / Shops,Sales Associate,1665395.99,598,2784.94,515.55,4984.55
Adidas,Deal Seeker,Small Stores / Shops,Salesperson,1562506.29,598,2612.89,509.94,4992.84
Adidas,Deal Seeker,Small Stores / Shops,Senior Salesperson,1460883.98,524,2787.95,503.20,4956.85
Adidas,Deal Seeker,Supermarkets ,Manager,1609229.30,570,2823.21,509.53,4994.26
Adidas,Deal Seeker,Supermarkets ,Sales Associate,1679366.00,580,2895.46,500.52,4996.30
Adidas,Deal Seeker,Supermarkets ,Salesperson,1638759.61,585,2801.30,501.46,4985.30
Adidas,Deal Seeker,Supermarkets ,Senior Salesperson,1418819.34,528,2687.16,500.46,4996.95
Adidas,First-time Buyer,Large Malls / Complexes,Manager,1481243.01,535,2768.68,526.61,4989.71
Adidas,First-time Buyer,Large Malls / Complexes,Sales Associate,1470497.49,545,2698.16,503.01,4997.63
Adidas,First-time Buyer,Large Malls / Complexes,Salesperson,1700538.08,618,2751.68,510.62,4993.88
Adidas,First-time Buyer,Small Stores / Shops,Manager,1533048.02,556,2757.28,501.06,4988.65
Adidas,First-time Buyer,Small Stores / Shops,Sales Associate,1592178.15,585,2721.67,511.44,4994.96
Adidas,First-time Buyer,Small Stores / Shops,Salesperson,1511394.98,552,2738.03,505.89,4997.05
Adidas,First-time Buyer,Small Stores / Shops,Senior Salesperson,1363218.51,501,2721.00,515.05,4995.17
Adidas,First-time Buyer,Supermarkets ,Manager,1675899.03,603,2779.27,501.90,4993.86
Adidas,First-time Buyer,Supermarkets ,Sales Associate,1604578.34,580,2766.51,504.43,4996.65
Adidas,First-time Buyer,Supermarkets ,Salesperson,1647902.08,592,2783.62,503.40,4988.14
Adidas,High Value,Large Malls / Complexes,Manager,1482055.01,549,2699.55,504.75,4990.08
Adidas,High Value,Large Malls / Complexes,Sales Associate,1539470.15,571,2696.09,518.23,4993.12
Adidas,High Value,Large Malls / Complexes,Salesperson,1535752.03,562,2732.65,502.34,4995.33
Adidas,High Value,Small Stores / Shops,Manager,1408517.66,528,2667.65,500.17,4996.59
Adidas,High Value,Small Stores / Shops,Sales Associate,1645867.51,604,2724.95,501.04,4999.78
Adidas,High Value,Small Stores / Shops,Salesperson,1592267.87,582,2735.86,502.17,4998.34
Adidas,High Value,Small Stores / Shops,Senior Salesperson,1395315.83,512,2725.23,502.35,4979.37
Adidas,High Value,Supermarkets ,Manager,1536832.06,561,2739.45,500.53,4999.38
Adidas,High Value,Supermarkets ,Sales Associate,1660230.08,608,2730.64,500.95,4977.75
Adidas,High Value,Supermarkets ,Salesperson,1580304.19,573,2757.95,507.49,4998.80
Adidas,High Value,Supermarkets ,Senior Salesperson,1442160.42,535,2695.63,501.48,4996.37
Adidas,In-Store Regular,Large Malls / Complexes,Sales Associate,1569246.74,566,2772.52,507.51,4999.76
Adidas,In-Store Regular,Large Malls / Complexes,Salesperson,1491251.70,544,2741.27,521.88,4997.48
Adidas,In-Store Regular,Small Stores / Shops,Manager,1502970.99,539,2788.44,500.64,4978.27
Adidas,In-Store Regular,Small Stores / Shops,Sales Associate,1528162.45,548,2788.62,504.16,4988.61
Adidas,In-Store Regular,Small Stores / Shops,Salesperson,1518983.61,559,2717.32,506.04,4992.09
Adidas,In-Store Regular,Small Stores / Shops,Senior Salesperson,1449764.93,527,2750.98,519.60,4984.56
Adidas,In-Store Regular,Supermarkets ,Manager,1618599.04,580,2790.69,500.45,4996.97
Adidas,In-Store Regular,Supermarkets ,Sales Associate,1650899.55,593,2783.98,503.76,4999.33
Adidas,In-Store Regular,Supermarkets ,Salesperson,1388287.62,513,2706.21,503.94,4995.70
Adidas,In-Store Regular,Supermarkets ,Senior Salesperson,1547318.11,561,2758.14,501.44,4993.56
Adidas,Loyal Customer,Large Malls / Complexes,Manager,1392583.87,514,2709.31,504.41,4996.96
Adidas,Loyal Customer,Large Malls / Complexes,Sales Associate,1531046.05,546,2804.11,503.34,4998.71
Adidas,Loyal Customer,Large Malls / Complexes,Salesperson,1421537.25,525,2707.69,508.62,4957.13
Adidas,Loyal Customer,Large Malls / Complexes,Senior Salesperson,1461520.10,527,2773.28,536.61,4995.53
Adidas,Loyal Customer,Small Stores / Shops,Manager,1526888.35,539,2832.82,514.83,4995.47
