brand,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Manager,45620992.38,16507,2763.74,500.17,4999.38
Adidas,Sales Associate,47746411.50,17340,2753.54,500.52,4999.78
Adidas,Salesperson,47285590.05,17201,2749.00,500.89,4999.95
Adidas,Senior Salesperson,41435965.44,15123,2739.93,500.11,4999.86
Amul,Manager,22854728.49,8362,2733.17,500.47,4998.98
Amul,Sales Associate,24069881.48,8764,2746.45,500.74,4998.75
Amul,Salesperson,23682938.98,8653,2736.96,500.26,4998.30
Amul,Senior Salesperson,20879238.27,7589,2751.25,500.84,4999.80
Apple,Manager,22914437.94,8294,2762.77,500.64,4999.80
Apple,Sales Associate,23702531.34,8646,2741.44,500.55,4999.77
Apple,Salesperson,24265905.00,8815,2752.80,500.25,4999.96
Apple,Senior Salesperson,20225312.04,7403,2732.04,500.26,4999.96
Bosch,Manager,22885009.64,8405,2722.79,500.88,4999.80
Bosch,Sales Associate,23704663.97,8714,2720.30,500.10,4999.74
Bosch,Salesperson,23565557.69,8597,2741.14,500.13,4998.98
Bosch,Senior Salesperson,20459258.01,7510,2724.27,500.65,4999.30
Britannia,Manager,22571876.65,8217,2746.97,500.31,4999.83
Britannia,Sales Associate,23897904.02,8773,2724.03,501.28,4999.95
Britannia,Salesperson,23380168.42,8526,2742.22,500.43,4999.56
Britannia,Senior Salesperson,20535445.63,7470,2749.06,500.75,4998.54
Decathlon,Manager,22782272.00,8298,2745.51,500.07,4999.97
Decathlon,Sales Associate,24186358.41,8795,2750.01,500.09,4999.17
Decathlon,Salesperson,24046802.51,8738,2751.98,500.15,4999.77
Decathlon,Senior Salesperson,20635986.11,7518,2744.88,501.43,4999.49
Godrej Interio,Manager,22782708.19,8346,2729.78,500.68,4999.65
Godrej Interio,Sales Associate,23714005.99,8653,2740.55,500.23,4999.44
Godrej Interio,Salesperson,23757337.26,8663,2742.39,500.38,4999.17
Godrej Interio,Senior Salesperson,21021895.06,7668,2741.51,501.18,4999.77
Haier,Manager,23102866.67,8408,2747.72,500.00,4999.06
Haier,Sales Associate,24325053.60,8818,2758.57,500.36,4998.93
Haier,Salesperson,23588293.82,8635,2731.71,500.27,4999.91
Haier,Senior Salesperson,20702945.22,7555,2740.30,500.05,4999.84
Home Centre,Manager,23115789.45,8386,2756.47,500.93,4999.90
Home Centre,Sales Associate,24791393.67,8978,2761.35,501.40,4999.68
Home Centre,Salesperson,23841140.05,8579,2779.01,500.23,4999.64
Home Centre,Senior Salesperson,20742342.32,7535,2752.80,500.56,4999.30
IKEA,Manager,22988407.87,8374,2745.21,501.84,4999.21
IKEA,Sales Associate,24694382.54,8904,2773.40,500.31,4999.69
IKEA,Salesperson,24099951.28,8758,2751.76,500.31,4999.12
IKEA,Senior Salesperson,20455132.15,7525,2718.29,500.06,4998.66
Kellogg's,Manager,22433298.82,8166,2747.16,500.12,4999.58
Kellogg's,Sales Associate,24151944.28,8790,2747.66,500.98,4999.73
Kellogg's,Salesperson,24327728.27,8820,2758.25,500.16,4999.86
Kellogg's,Senior Salesperson,20638104.81,7447,2771.33,500.54,4999.96
LG,Manager,45725901.72,16657,2745.15,500.17,4999.91
LG,Sales Associate,48274705.35,17550,2750.70,500.36,4999.77
LG,Salesperson,48019701.38,17423,2756.11,500.92,4999.75
LG,Senior Salesperson,41434432.48,15016,2759.35,501.06,4999.46
Levi's,Manager,22974605.64,8343,2753.76,500.17,4999.21
