brand,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
LG,Supermarkets ,Holiday Shopping Rush,1372163.09,503,2727.96,500.17,4994.25
Nike,Small Stores / Shops,End of Season Sale,1377541.38,510,2701.06,503.93,4993.65
Nike,Small Stores / Shops,Seasonal Surprise Box,1384245.93,507,2730.27,501.30,4992.44
Nike,Supermarkets ,12 Days of Deals,1419308.87,510,2782.96,505.19,4987.26
Nike,Supermarkets ,Green Weekend Deals,1405723.72,519,2708.52,503.13,4989.62
Nike,Supermarkets ,Hot Picks Promo,1370105.85,505,2713.08,510.06,4978.48
Nike,Supermarkets ,Mystery Discount Days,1394318.86,501,2783.07,503.54,4998.21
Puma,Supermarkets ,Birthday Bash Sale,1482522.31,507,2924.11,519.85,4984.92
Puma,Supermarkets ,Spring Refresh Event,1372941.82,502,2734.94,502.50,4991.31
Puma,Supermarkets ,Weekend Warrior Specials,1401010.89,512,2736.35,506.15,4998.52
Samsung,Supermarkets ,Deal of the Month,1387585.69,503,2758.62,501.29,4998.97
Samsung,Supermarkets ,Midnight Madness,1385078.43,500,2770.16,500.93,4997.66
Samsung,Supermarkets ,Winter Wonders Sale,1466502.73,520,2820.20,501.94,4997.89
