category,brand,customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,2883152.41,1012,2848.96,509.13,4999.95
Clothing,Adidas,Budget Shopper,Small Stores / Shops,2935781.29,1115,2632.99,511.56,4998.36
Clothing,Adidas,Budget Shopper,Supermarkets ,3072465.26,1135,2707.02,501.20,4996.74
Clothing,Adidas,Churn Risk,Large Malls / Complexes,3019549.54,1084,2785.56,505.67,4999.86
Clothing,Adidas,Churn Risk,Small Stores / Shops,2886678.35,1042,2770.32,510.65,4996.24
Clothing,Adidas,Churn Risk,Supermarkets ,3203083.57,1167,2744.72,503.18,4998.40
Clothing,Adidas,Deal Seeker,Large Malls / Complexes,3074154.71,1101,2792.15,501.32,4994.20
Clothing,Adidas,Deal Seeker,Small Stores / Shops,3097878.69,1124,2756.12,503.97,4992.84
Clothing,Adidas,Deal Seeker,Supermarkets ,3154353.06,1136,2776.72,500.46,4996.95
Clothing,Adidas,First-time Buyer,Large Malls / Complexes,2956085.37,1079,2739.65,510.44,4997.63
Clothing,Adidas,First-time Buyer,Small Stores / Shops,2949976.50,1077,2739.07,501.06,4989.59
Clothing,Adidas,First-time Buyer,Supermarkets ,3077341.04,1136,2708.93,501.99,4999.86
Clothing,Adidas,High Value,Large Malls / Complexes,2970081.13,1085,2737.40,504.75,4995.33
Clothing,Adidas,High Value,Small Stores / Shops,2864668.39,1055,2715.33,500.17,4998.34
Clothing,Adidas,High Value,Supermarkets ,3207674.16,1188,2700.06,500.53,4999.38
Clothing,Adidas,In-Store Regular,Large Malls / Complexes,2610570.48,964,2708.06,501.08,4999.76
Clothing,Adidas,In-Store Regular,Small Stores / Shops,3036902.89,1107,2743.36,500.64,4988.61
Clothing,Adidas,In-Store Regular,Supermarkets ,3128926.30,1149,2723.17,501.16,4996.97
Clothing,Adidas,Loyal Customer,Large Malls / Complexes,2764073.26,1010,2736.71,506.41,4998.71
Clothing,Adidas,Loyal Customer,Small Stores / Shops,3112256.94,1130,2754.21,500.58,4996.78
Clothing,Adidas,Loyal Customer,Supermarkets ,3206659.62,1175,2729.07,507.47,4992.84
Clothing,Adidas,Occasional Shopper,Large Malls / Complexes,2876989.50,1042,2761.03,502.00,4994.47
Clothing,Adidas,Occasional Shopper,Small Stores / Shops,3107039.42,1110,2799.13,503.46,4998.86
Clothing,Adidas,Occasional Shopper,Supermarkets ,3092668.84,1144,2703.38,501.26,4993.56
Clothing,Adidas,Online Shopper,Large Malls / Complexes,2742930.36,1008,2721.16,500.11,4986.59
Clothing,Adidas,Online Shopper,Small Stores / Shops,3080172.30,1110,2774.93,516.58,4999.41
Clothing,Adidas,Online Shopper,Supermarkets ,3105043.11,1142,2718.95,502.26,4987.14
Clothing,Adidas,Premium Shopper,Large Malls / Complexes,2943339.08,1072,2745.65,500.83,4999.76
Clothing,Adidas,Premium Shopper,Small Stores / Shops,2884809.78,1039,2776.53,506.24,4987.71
Clothing,Adidas,Premium Shopper,Supermarkets ,3015673.26,1116,2702.22,506.98,4980.89
Clothing,Levi's,Budget Shopper,Large Malls / Complexes,2714950.01,1001,2712.24,507.99,4992.48
Clothing,Levi's,Budget Shopper,Small Stores / Shops,3167943.19,1144,2769.18,505.15,4996.92
Clothing,Levi's,Budget Shopper,Supermarkets ,3260523.60,1187,2746.86,501.09,4989.93
Clothing,Levi's,Churn Risk,Large Malls / Complexes,3044003.46,1108,2747.30,501.38,4994.40
Clothing,Levi's,Churn Risk,Small Stores / Shops,3417003.14,1250,2733.60,506.94,4997.36
Clothing,Levi's,Churn Risk,Supermarkets ,3106553.51,1118,2778.67,500.17,4996.75
Clothing,Levi's,Deal Seeker,Large Malls / Complexes,3063855.12,1110,2760.23,502.02,4974.76
