category,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Large Malls / Complexes,144334064.47,52524,2747.96,500.11,4999.97
Clothing,Small Stores / Shops,154333047.20,55953,2758.26,500.07,4999.95
Clothing,Supermarkets ,157702714.98,57378,2748.49,500.07,4999.98
Electronics,Large Malls / Complexes,145339518.81,52745,2755.51,500.25,4999.96
Electronics,Small Stores / Shops,154776138.49,56206,2753.73,500.08,4999.96
Electronics,Supermarkets ,158620247.61,57633,2752.25,500.05,4999.96
Furniture,Large Malls / Complexes,145951977.22,52981,2754.80,500.23,4999.88
Furniture,Small Stores / Shops,154154801.74,55829,2761.20,500.06,4999.89
Furniture,Supermarkets ,159362624.08,58096,2743.09,500.23,4999.90
Groceries,Large Malls / Complexes,143516738.36,52159,2751.52,500.26,4999.97
Groceries,Small Stores / Shops,154415211.88,56145,2750.29,500.01,4999.89
Groceries,Supermarkets ,158683232.30,57780,2746.33,500.03,4999.88
Home Appliances,Large Malls / Complexes,145895142.85,53125,2746.26,500.13,4999.94
Home Appliances,Small Stores / Shops,153661904.03,56188,2734.78,500.05,4999.98
Home Appliances,Supermarkets ,158423827.85,57616,2749.65,500.00,4999.93
Sports & Outdoors,Large Malls / Complexes,146523956.38,53165,2756.02,500.07,4999.78
Sports & Outdoors,Small Stores / Shops,155935397.29,56568,2756.60,500.01,4999.83
Sports & Outdoors,Supermarkets ,159244049.15,57909,2749.90,500.04,4999.97
