category,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Large Malls / Complexes,12 Days of Deals,2791226.47,1032,2704.68,500.37,4991.32
Clothing,Large Malls / Complexes,Autumn Deals Drive,2945447.85,1065,2765.68,501.91,4994.06
Clothing,Large Malls / Complexes,BOGO Blitz,3283759.78,1133,2898.29,502.29,4998.71
Clothing,Large Malls / Complexes,Back to School Boost,2956880.11,1080,2737.85,501.92,4998.12
Clothing,Large Malls / Complexes,Birthday Bash Sale,2952184.68,1063,2777.22,501.83,4997.95
Clothing,Large Malls / Complexes,Black Friday Blowout,2811710.72,1010,2783.87,502.05,4997.07
Clothing,Large Malls / Complexes,Cart Crasher Campaign,2837571.46,1044,2717.98,508.37,4994.25
Clothing,Large Malls / Complexes,Cashback Carnival,2874783.00,1045,2750.99,500.72,4994.40
Clothing,Large Malls / Complexes,Clearance Countdown,2916549.94,1070,2725.75,500.46,4999.80
Clothing,Large Malls / Complexes,Countdown to Savings,2864390.34,1050,2727.99,504.03,4976.47
Clothing,Large Malls / Complexes,Customer Appreciation Week,2975509.83,1072,2775.66,504.64,4994.47
Clothing,Large Malls / Complexes,Cyber Monday Mania,2965956.79,1076,2756.47,502.02,4991.94
Clothing,Large Malls / Complexes,Deal of the Month,2775220.13,1008,2753.19,504.75,4999.45
Clothing,Large Malls / Complexes,Double Points Bonanza,3004515.88,1078,2787.12,501.38,4999.44
Clothing,Large Malls / Complexes,Early Bird Specials,3092032.61,1139,2714.69,501.20,4999.19
Clothing,Large Malls / Complexes,End of Season Sale,2889584.22,1063,2718.33,503.81,4997.48
Clothing,Large Malls / Complexes,Exclusive Insider Offers,2916535.34,1068,2730.84,500.29,4988.97
Clothing,Large Malls / Complexes,Festive Fever Promo,2821408.31,1036,2723.37,513.43,4991.64
Clothing,Large Malls / Complexes,Final Call Frenzy,2782102.43,1020,2727.55,501.00,4996.06
Clothing,Large Malls / Complexes,Flash Frenzy Friday,2816296.74,1041,2705.38,518.09,4993.36
Clothing,Large Malls / Complexes,"Gift More, Spend Less",2812003.86,996,2823.30,504.71,4985.65
Clothing,Large Malls / Complexes,Golden Hour Bargains,2942600.15,1046,2813.19,501.59,4999.76
Clothing,Large Malls / Complexes,Green Weekend Deals,2838279.64,1031,2752.94,513.09,4999.76
Clothing,Large Malls / Complexes,Happy Hour Discounts,2941397.10,1073,2741.28,505.67,4997.02
Clothing,Large Malls / Complexes,Holiday Shopping Rush,2907497.92,1050,2769.05,501.97,4996.42
Clothing,Large Malls / Complexes,Hot Picks Promo,2993717.76,1070,2797.87,502.01,4999.60
Clothing,Large Malls / Complexes,Instant Gratification Sale,2904577.04,1064,2729.87,503.90,4997.63
Clothing,Large Malls / Complexes,Limited Time Treasures,2925651.44,1083,2701.43,504.55,4983.53
Clothing,Large Malls / Complexes,Loyalty Rewards Blast,2976729.68,1079,2758.79,500.82,4998.22
Clothing,Large Malls / Complexes,Mega Weekend Bonanza,2713192.84,984,2757.31,500.60,4997.25
