customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Manager,12 Days of Deals,1382430.70,502,2753.85,505.04,4991.32
Budget Shopper,Manager,Back to School Boost,1407471.98,523,2691.15,501.48,4984.20
Budget Shopper,Manager,Birthday Bash Sale,1407475.52,506,2781.57,504.89,4999.93
Budget Shopper,Manager,Black Friday Blowout,1489539.63,545,2733.10,502.21,4994.38
Budget Shopper,Manager,Cashback Carnival,1416352.58,507,2793.59,512.58,4988.77
Budget Shopper,Manager,Clearance Countdown,1405430.46,511,2750.35,500.93,4995.72
Budget Shopper,Manager,Early Bird Specials,1398153.40,502,2785.17,512.16,4998.19
Budget Shopper,Manager,Festive Fever Promo,1381034.13,515,2681.62,519.53,4996.41
Budget Shopper,Manager,Green Weekend Deals,1420128.45,506,2806.58,503.08,4987.56
Budget Shopper,Manager,Happy Hour Discounts,1386936.20,510,2719.48,510.48,4989.33
Budget Shopper,Manager,Hot Picks Promo,1436259.94,512,2805.20,502.00,4994.45
Budget Shopper,Manager,Mega Weekend Bonanza,1475926.14,541,2728.14,511.55,4996.39
Budget Shopper,Manager,Mid-Year Madness,1504360.54,543,2770.46,525.19,4993.34
Budget Shopper,Manager,Mystery Discount Days,1415796.96,521,2717.46,503.19,4996.71
Budget Shopper,Manager,New Product Launch Promo,1426826.20,529,2697.21,507.38,4998.61
Budget Shopper,Manager,Red Tag Clearance,1409476.11,500,2818.95,501.68,4984.96
Budget Shopper,Manager,Shop & Save Spectacular,1368049.65,507,2698.32,503.57,4997.51
Budget Shopper,Manager,Spring Refresh Event,1448323.46,526,2753.47,512.12,4997.69
Budget Shopper,Manager,Summer Sizzle Promo,1429740.33,519,2754.80,500.92,4996.11
Budget Shopper,Manager,VIP Access Sale,1425823.15,527,2705.55,512.62,4991.92
Budget Shopper,Manager,Winter Clearance Carnival,1455533.38,516,2820.80,506.66,4998.44
Budget Shopper,Sales Associate,BOGO Blitz,1429616.35,523,2733.49,505.02,4981.18
Budget Shopper,Sales Associate,Back to School Boost,1556970.64,564,2760.59,508.79,4995.75
Budget Shopper,Sales Associate,Birthday Bash Sale,1449916.41,541,2680.07,504.53,4992.91
