brand,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,58582597.22,21195,2763.98,500.11,4999.95
Adidas,Small Stores / Shops,60846254.35,22124,2750.24,500.17,4999.78
Adidas,Supermarkets ,62660107.80,22852,2742.00,500.33,4999.86
Amul,Large Malls / Complexes,28518845.32,10409,2739.83,500.26,4999.80
Amul,Small Stores / Shops,30931403.35,11265,2745.80,500.62,4998.98
Amul,Supermarkets ,32036538.55,11694,2739.57,500.74,4998.75
Apple,Large Malls / Complexes,28575533.96,10392,2749.76,500.25,4999.96
Apple,Small Stores / Shops,31017471.44,11258,2755.15,500.26,4999.80
Apple,Supermarkets ,31515180.92,11508,2738.55,500.70,4999.96
Bosch,Large Malls / Complexes,28547242.56,10492,2720.86,500.71,4999.74
Bosch,Small Stores / Shops,30194993.21,11078,2725.67,500.98,4998.56
Bosch,Supermarkets ,31872253.53,11656,2734.41,500.10,4999.80
Britannia,Large Malls / Complexes,28147572.65,10299,2733.04,500.98,4999.95
Britannia,Small Stores / Shops,30636265.51,11138,2750.61,500.31,4999.83
Britannia,Supermarkets ,31601556.56,11549,2736.30,500.56,4999.16
Decathlon,Large Malls / Complexes,28593395.85,10402,2748.84,500.07,4998.97
Decathlon,Small Stores / Shops,31195530.57,11307,2758.96,500.15,4999.25
Decathlon,Supermarkets ,31862492.60,11640,2737.33,500.09,4999.97
Godrej Interio,Large Malls / Complexes,28803334.74,10448,2756.83,500.23,4999.77
Godrej Interio,Small Stores / Shops,30735639.41,11277,2725.52,500.57,4999.44
Godrej Interio,Supermarkets ,31736972.36,11605,2734.77,501.67,4999.39
Haier,Large Malls / Complexes,28804900.24,10455,2755.13,500.27,4998.92
Haier,Small Stores / Shops,31085274.17,11378,2732.05,500.05,4999.06
Haier,Supermarkets ,31828984.90,11583,2747.91,500.00,4999.91
Home Centre,Large Malls / Complexes,29390646.09,10643,2761.50,500.35,4999.60
Home Centre,Small Stores / Shops,31508943.19,11303,2787.66,500.93,4999.89
Home Centre,Supermarkets ,31591076.21,11532,2739.43,500.23,4999.90
IKEA,Large Malls / Complexes,28987225.17,10556,2746.04,501.95,4999.69
IKEA,Small Stores / Shops,30951609.96,11228,2756.64,500.06,4999.21
IKEA,Supermarkets ,32299038.72,11777,2742.55,500.31,4999.12
Kellogg's,Large Malls / Complexes,29303358.94,10626,2757.70,500.54,4999.96
Kellogg's,Small Stores / Shops,30840970.55,11209,2751.45,500.37,4999.89
Kellogg's,Supermarkets ,31406746.69,11388,2757.88,500.12,4999.85
LG,Large Malls / Complexes,59177673.80,21382,2767.64,500.28,4999.91
LG,Small Stores / Shops,61409717.36,22385,2743.34,500.75,4999.20
LG,Supermarkets ,62867349.78,22879,2747.82,500.17,4999.77
Levi's,Large Malls / Complexes,29142589.07,10591,2751.64,500.37,4999.97
Levi's,Small Stores / Shops,31474375.69,11447,2749.57,500.17,4999.49
Levi's,Supermarkets ,31729892.21,11528,2752.42,500.12,4999.85
Nestle,Large Malls / Complexes,28255923.95,10281,2748.36,500.36,4999.92
Nestle,Small Stores / Shops,30897628.70,11181,2763.40,500.60,4999.70
Nestle,Supermarkets ,32022427.02,11665,2745.17,500.03,4999.88
Nike,Large Malls / Complexes,57998177.18,21153,2741.84,500.29,4999.19
Nike,Small Stores / Shops,63026047.15,22718,2774.28,500.01,4999.95
Nike,Supermarkets ,64242944.93,23304,2756.73,500.31,4999.75
Panasonic,Large Malls / Complexes,29228558.92,10591,2759.75,500.80,4999.83
Panasonic,Small Stores / Shops,31308535.62,11336,2761.87,500.14,4999.96
Panasonic,Supermarkets ,31965732.58,11558,2765.68,500.09,4999.90
Pepperfry,Large Malls / Complexes,29033091.43,10533,2756.39,500.36,4999.16
Pepperfry,Small Stores / Shops,30859802.13,11147,2768.44,501.05,4999.47
Pepperfry,Supermarkets ,31763725.95,11579,2743.22,500.89,4999.26
Puma,Large Malls / Complexes,57662296.20,21012,2744.26,500.10,4999.78
Puma,Small Stores / Shops,62554033.77,22706,2754.96,500.03,4999.68
Puma,Supermarkets ,63232692.65,22977,2752.00,500.04,4999.98
Reebok,Large Malls / Complexes,30025756.54,10893,2756.43,500.26,4999.34
Reebok,Small Stores / Shops,30880414.64,11208,2755.21,500.37,4999.65
Reebok,Supermarkets ,31781487.28,11547,2752.36,500.04,4999.55
Samsung,Large Malls / Complexes,58284615.07,21159,2754.60,500.13,4999.94
Samsung,Small Stores / Shops,62436664.93,22698,2750.76,500.09,4999.98
Samsung,Supermarkets ,63710514.72,23093,2758.87,500.13,4999.71
Sony,Large Malls / Complexes,29277952.66,10704,2735.23,500.55,4999.95
Sony,Small Stores / Shops,30084728.22,10999,2735.22,500.08,4999.82
Sony,Supermarkets ,31553262.82,11446,2756.71,500.05,4999.96
Tata,Large Malls / Complexes,29291037.51,10544,2777.98,500.32,4999.97
Tata,Small Stores / Shops,31108943.77,11352,2740.39,500.01,4999.35
Tata,Supermarkets ,31615963.49,11484,2753.04,500.33,4999.34
Urban Ladder,Large Malls / Complexes,29737679.79,10801,2753.23,500.29,4999.88
Urban Ladder,Small Stores / Shops,30098807.05,10874,2767.96,500.07,4999.31
Urban Ladder,Supermarkets ,31971810.85,11603,2755.48,502.37,4999.59
Whirlpool,Large Malls / Complexes,29338184.46,10695,2743.17,500.61,4999.74
Whirlpool,Small Stores / Shops,30900657.57,11262,2743.80,500.21,4999.78
Whirlpool,Supermarkets ,31730796.22,11526,2752.98,501.35,4999.93
Zara,Large Malls / Complexes,28853208.81,10443,2762.92,500.46,4999.91
Zara,Small Stores / Shops,30291788.31,11011,2751.05,500.32,4999.82
Zara,Supermarkets ,31437146.66,11439,2748.24,501.28,4998.98
