brand,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,12 Days of Deals,1158414.36,430,2693.99,501.08,4972.86
Adidas,Large Malls / Complexes,Autumn Deals Drive,1229007.76,435,2825.31,511.09,4995.60
Adidas,Large Malls / Complexes,BOGO Blitz,1237765.92,443,2794.05,523.98,4998.71
Adidas,Large Malls / Complexes,Back to School Boost,1171456.55,438,2674.56,507.11,4996.96
Adidas,Large Malls / Complexes,Birthday Bash Sale,1071465.84,387,2768.65,526.11,4994.20
Adidas,Large Malls / Complexes,Black Friday Blowout,1198623.78,423,2833.63,502.05,4967.45
Adidas,Large Malls / Complexes,Cart Crasher Campaign,1131194.88,407,2779.35,540.89,4994.25
Adidas,Large Malls / Complexes,Cashback Carnival,1189055.96,428,2778.17,502.29,4971.77
Adidas,Large Malls / Complexes,Clearance Countdown,1235513.96,448,2757.84,503.83,4995.33
Adidas,Large Malls / Complexes,Countdown to Savings,1063064.76,395,2691.30,527.75,4983.39
Adidas,Large Malls / Complexes,Customer Appreciation Week,1255547.77,455,2759.45,510.44,4994.47
Adidas,Large Malls / Complexes,Cyber Monday Mania,1169947.31,415,2819.15,525.26,4986.44
Adidas,Large Malls / Complexes,Deal of the Month,1124589.16,401,2804.46,504.75,4950.00
Adidas,Large Malls / Complexes,Double Points Bonanza,1168163.62,417,2801.35,506.41,4996.56
Adidas,Large Malls / Complexes,Early Bird Specials,1217929.42,446,2730.78,505.34,4998.17
Adidas,Large Malls / Complexes,End of Season Sale,1189313.12,431,2759.43,507.77,4997.48
Adidas,Large Malls / Complexes,Exclusive Insider Offers,1300820.97,449,2897.15,503.34,4987.28
Adidas,Large Malls / Complexes,Festive Fever Promo,1184903.61,420,2821.20,519.49,4991.54
Adidas,Large Malls / Complexes,Final Call Frenzy,1179779.49,440,2681.32,525.27,4978.28
Adidas,Large Malls / Complexes,Flash Frenzy Friday,1216982.51,443,2747.14,511.53,4995.53
Adidas,Large Malls / Complexes,"Gift More, Spend Less",1137859.22,416,2735.24,504.14,4994.22
Adidas,Large Malls / Complexes,Golden Hour Bargains,1184056.62,426,2779.48,503.10,4999.76
Adidas,Large Malls / Complexes,Green Weekend Deals,1028974.91,383,2686.62,506.43,4999.76
Adidas,Large Malls / Complexes,Happy Hour Discounts,1123569.12,395,2844.48,505.67,4994.51
Adidas,Large Malls / Complexes,Holiday Shopping Rush,1260904.90,449,2808.25,506.26,4981.68
Adidas,Large Malls / Complexes,Hot Picks Promo,1145128.92,413,2772.71,505.94,4968.49
Adidas,Large Malls / Complexes,Instant Gratification Sale,1240995.44,441,2814.05,509.42,4997.63
Adidas,Large Malls / Complexes,Limited Time Treasures,1071872.82,386,2776.87,500.43,4991.05
