campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
12 Days of Deals,55003872.73,20019,2747.58,500.37,4999.82
Autumn Deals Drive,55383943.22,20207,2740.83,500.04,4999.80
BOGO Blitz,55093460.58,19999,2754.81,500.64,4999.75
Back to School Boost,54955891.67,20138,2728.96,500.09,4999.86
Birthday Bash Sale,54399000.52,19761,2752.85,500.14,4999.93
Black Friday Blowout,54974061.46,19968,2753.11,500.23,4999.91
Cart Crasher Campaign,54841587.08,19935,2751.02,500.78,4999.98
Cashback Carnival,54609011.60,19863,2749.28,500.13,4999.62
Clearance Countdown,55032221.03,20065,2742.70,500.08,4999.80
Countdown to Savings,55235701.93,20137,2743.00,500.09,4999.61
Customer Appreciation Week,55269058.81,20112,2748.06,500.64,4999.25
Cyber Monday Mania,55056102.23,20010,2751.43,500.56,4999.83
Deal of the Month,54380144.80,19850,2739.55,500.38,4999.96
Double Points Bonanza,55162397.92,19996,2758.67,500.48,4999.96
Early Bird Specials,55179376.44,20058,2750.99,500.89,4999.70
End of Season Sale,54647382.45,19856,2752.18,500.31,4999.78
Exclusive Insider Offers,54812880.71,19860,2759.96,500.07,4999.97
Festive Fever Promo,54949377.55,20093,2734.75,500.07,4999.21
Final Call Frenzy,55207412.84,20061,2751.98,500.03,4999.96
Flash Frenzy Friday,55211583.63,20065,2751.64,500.13,4999.95
"Gift More, Spend Less",54789584.33,20006,2738.66,500.46,4999.74
Golden Hour Bargains,54837964.46,19926,2752.08,500.01,4999.90
Green Weekend Deals,55159529.28,20091,2745.48,500.21,4999.98
Happy Hour Discounts,55166429.14,19979,2761.22,500.31,4999.78
Holiday Shopping Rush,54361698.29,19818,2743.05,500.17,4999.67
Hot Picks Promo,55230458.01,20058,2753.54,500.04,4999.96
Instant Gratification Sale,55153130.70,20034,2752.98,500.03,4999.70
Limited Time Treasures,55268796.16,20118,2747.23,500.34,4999.81
Loyalty Rewards Blast,54882577.23,19962,2749.35,500.22,4999.26
Mega Weekend Bonanza,54997982.26,19962,2755.13,500.15,4999.69
Mid-Year Madness,55079716.53,20047,2747.53,500.32,4999.77
Midnight Madness,54832581.10,19966,2746.30,500.01,4999.95
Mystery Discount Days,54880604.72,19919,2755.19,500.04,4999.85
New Arrival Showcase,55455654.55,20065,2763.80,500.17,4999.95
New Product Launch Promo,54944462.05,20021,2744.34,500.19,4999.95
New Year Kickoff,55204697.53,20039,2754.86,500.10,4999.87
Price Drop Parade,54339387.26,19777,2747.61,500.06,4999.83
Red Tag Clearance,54525352.50,19764,2758.82,500.15,4999.64
Seasonal Surprise Box,55421278.03,20162,2748.80,500.11,4998.82
Shop & Save Spectacular,55407649.48,19984,2772.60,500.09,4999.95
Smart Shopper Week,55072762.51,20029,2749.65,500.54,4999.94
Spring Refresh Event,55361057.89,19985,2770.13,500.05,4999.83
Spring Splash Discounts,55001698.20,19962,2755.32,500.35,4999.83
Summer Sizzle Promo,54842800.73,19922,2752.88,500.10,4999.26
Super Savings Week,55195825.88,19925,2770.18,500.00,4999.89
Ultimate Value Event,54886802.74,19923,2754.95,500.07,4999.91
VIP Access Sale,55246733.56,20093,2749.55,500.23,4999.97
Weekend Warrior Specials,55041480.16,20119,2735.80,500.62,4999.71
Winter Clearance Carnival,55662612.16,20098,2769.56,501.06,4999.97
Winter Wonders Sale,55218818.08,20193,2734.55,500.27,4999.85
