category,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,12 Days of Deals,9078739.24,3311,2741.99,500.37,4999.40
Clothing,Autumn Deals Drive,9396244.99,3395,2767.67,500.77,4999.75
Clothing,BOGO Blitz,9661460.19,3464,2789.11,500.64,4999.45
Clothing,Back to School Boost,8899378.94,3264,2726.53,500.65,4999.86
Clothing,Birthday Bash Sale,9137344.41,3280,2785.78,500.58,4997.95
Clothing,Black Friday Blowout,9096518.20,3303,2754.02,500.74,4997.07
Clothing,Cart Crasher Campaign,9130469.46,3308,2760.12,501.15,4997.29
Clothing,Cashback Carnival,8975175.27,3260,2753.12,500.72,4998.40
Clothing,Clearance Countdown,9142489.51,3366,2716.13,500.46,4999.80
Clothing,Countdown to Savings,9026276.29,3314,2723.68,501.16,4998.86
Clothing,Customer Appreciation Week,9339054.27,3365,2775.35,503.51,4998.60
Clothing,Cyber Monday Mania,9097883.79,3308,2750.27,502.02,4995.44
Clothing,Deal of the Month,9113991.03,3327,2739.40,502.13,4999.45
Clothing,Double Points Bonanza,9331817.34,3369,2769.91,500.63,4999.44
Clothing,Early Bird Specials,9392568.76,3395,2766.59,501.20,4999.19
Clothing,End of Season Sale,8992271.15,3279,2742.38,503.81,4999.17
Clothing,Exclusive Insider Offers,9091332.40,3308,2748.29,500.07,4998.51
Clothing,Festive Fever Promo,9207399.37,3364,2737.04,501.90,4998.89
Clothing,Final Call Frenzy,9130199.74,3307,2760.87,501.00,4996.06
Clothing,Flash Frenzy Friday,9006193.23,3299,2729.98,501.20,4998.23
Clothing,"Gift More, Spend Less",8954107.66,3235,2767.88,501.94,4997.42
Clothing,Golden Hour Bargains,9207550.30,3325,2769.19,500.57,4999.85
Clothing,Green Weekend Deals,9179638.75,3350,2740.19,501.10,4999.98
Clothing,Happy Hour Discounts,9147692.33,3305,2767.83,503.04,4997.02
Clothing,Holiday Shopping Rush,8993662.57,3265,2754.57,501.97,4999.33
Clothing,Hot Picks Promo,9097119.22,3280,2773.51,500.12,4999.60
Clothing,Instant Gratification Sale,8809440.37,3195,2757.26,500.95,4998.85
Clothing,Limited Time Treasures,9120127.88,3327,2741.25,501.46,4999.81
Clothing,Loyalty Rewards Blast,9219698.59,3315,2781.21,500.82,4998.22
Clothing,Mega Weekend Bonanza,9143040.79,3305,2766.43,500.60,4997.25
Clothing,Mid-Year Madness,9256434.51,3391,2729.71,500.82,4998.11
Clothing,Midnight Madness,9254291.39,3362,2752.61,500.50,4998.11
Clothing,Mystery Discount Days,8926313.07,3274,2726.42,500.17,4999.85
Clothing,New Arrival Showcase,9129835.74,3325,2745.82,500.17,4998.00
Clothing,New Product Launch Promo,8920045.69,3248,2746.32,500.27,4999.95
Clothing,New Year Kickoff,8993422.05,3281,2741.06,500.45,4994.72
Clothing,Price Drop Parade,9002125.83,3325,2707.41,503.07,4999.68
Clothing,Red Tag Clearance,9228406.30,3342,2761.34,501.14,4999.45
Clothing,Seasonal Surprise Box,9300926.10,3361,2767.31,500.11,4996.71
Clothing,Shop & Save Spectacular,9425648.67,3366,2800.25,500.14,4999.95
Clothing,Smart Shopper Week,8933706.76,3233,2763.29,501.31,4999.86
Clothing,Spring Refresh Event,9151939.29,3319,2757.44,500.43,4997.20
Clothing,Spring Splash Discounts,8986210.09,3290,2731.37,500.46,4999.01
Clothing,Summer Sizzle Promo,9002248.05,3285,2740.41,502.32,4998.80
Clothing,Super Savings Week,8913589.92,3218,2769.92,501.26,4999.08
Clothing,Ultimate Value Event,9148272.02,3320,2755.50,500.07,4999.82
Clothing,VIP Access Sale,9365802.27,3393,2760.33,501.68,4999.97
Clothing,Weekend Warrior Specials,9197584.00,3406,2700.41,501.72,4998.79
Clothing,Winter Clearance Carnival,8990350.04,3242,2773.09,501.25,4999.04
Clothing,Winter Wonders Sale,9123788.80,3386,2694.56,502.39,4999.21
Electronics,12 Days of Deals,8687359.51,3190,2723.31,502.99,4999.82
Electronics,Autumn Deals Drive,9150597.41,3261,2806.07,500.20,4999.09
Electronics,BOGO Blitz,9020017.89,3291,2740.81,501.56,4998.43
Electronics,Back to School Boost,9025848.53,3349,2695.09,500.14,4997.92
