category,customer_segment,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,45722204.28,16600,2754.35,501.09,4999.95
Clothing,Churn Risk,45798590.75,16714,2740.13,500.17,4999.91
Clothing,Deal Seeker,46220371.78,16861,2741.26,500.07,4999.81
Clothing,First-time Buyer,45444710.22,16425,2766.80,500.27,4999.98
Clothing,High Value,45399146.89,16540,2744.81,500.17,4999.95
Clothing,In-Store Regular,44961478.98,16358,2748.59,500.60,4999.80
Clothing,Loyal Customer,45918634.24,16698,2749.95,500.18,4999.97
Clothing,Occasional Shopper,46159565.23,16749,2755.96,500.65,4999.75
Clothing,Online Shopper,45999834.71,16640,2764.41,500.11,4999.60
Clothing,Premium Shopper,44745289.56,16270,2750.17,500.07,4999.76
Electronics,Budget Shopper,45412969.42,16397,2769.59,500.55,4999.40
Electronics,Churn Risk,45924919.41,16738,2743.75,500.17,4999.69
Electronics,Deal Seeker,46006597.52,16761,2744.86,500.14,4999.95
Electronics,First-time Buyer,45695188.87,16592,2754.05,500.13,4999.96
Electronics,High Value,45606909.69,16596,2748.07,500.64,4999.96
Electronics,In-Store Regular,45823630.24,16695,2744.75,500.05,4999.96
Electronics,Loyal Customer,45671451.93,16594,2752.29,500.08,4999.83
Electronics,Occasional Shopper,46519733.20,16830,2764.10,500.15,4999.63
Electronics,Online Shopper,46102647.97,16693,2761.80,500.09,4999.95
Electronics,Premium Shopper,45971856.65,16688,2754.79,500.34,4999.87
Furniture,Budget Shopper,45885406.89,16719,2744.51,500.93,4999.90
Furniture,Churn Risk,45817845.76,16700,2743.58,500.70,4999.64
Furniture,Deal Seeker,45948051.07,16747,2743.66,500.56,4999.40
Furniture,First-time Buyer,45947901.07,16645,2760.46,500.38,4999.65
Furniture,High Value,46381164.25,16856,2751.61,501.29,4999.89
Furniture,In-Store Regular,45297467.26,16393,2763.22,500.06,4998.82
Furniture,Loyal Customer,46377057.39,16805,2759.72,500.56,4999.69
Furniture,Occasional Shopper,45562256.48,16575,2748.85,500.36,4999.60
Furniture,Online Shopper,46782229.10,16997,2752.38,500.23,4999.88
Furniture,Premium Shopper,45470023.77,16469,2760.95,500.23,4999.14
Groceries,Budget Shopper,45215947.02,16469,2745.52,500.68,4999.97
Groceries,Churn Risk,45560054.09,16599,2744.75,500.47,4999.85
Groceries,Deal Seeker,46232011.04,16743,2761.27,500.33,4999.88
Groceries,First-time Buyer,45565267.22,16580,2748.21,500.01,4999.90
Groceries,High Value,46250161.20,16863,2742.70,500.47,4999.34
Groceries,In-Store Regular,45684699.74,16612,2750.10,500.03,4999.92
Groceries,Loyal Customer,45681596.57,16501,2768.41,500.32,4999.96
Groceries,Occasional Shopper,45533465.76,16627,2738.53,500.43,4999.80
Groceries,Online Shopper,45820745.14,16639,2753.82,500.12,4999.83
Groceries,Premium Shopper,45071234.76,16451,2739.73,500.31,4999.86
Home Appliances,Budget Shopper,45459224.40,16560,2745.12,500.10,4999.93
Home Appliances,Churn Risk,45757985.25,16569,2761.66,500.21,4999.41
Home Appliances,Deal Seeker,46224364.09,16889,2736.95,500.05,4999.84
Home Appliances,First-time Buyer,45387053.75,16509,2749.23,500.00,4999.75
Home Appliances,High Value,45624597.18,16776,2719.64,500.13,4999.98
Home Appliances,In-Store Regular,45513070.99,16606,2740.76,500.93,4999.21
Home Appliances,Loyal Customer,45777235.45,16676,2745.10,500.17,4999.91
Home Appliances,Occasional Shopper,46160064.37,16835,2741.91,500.09,4999.48
Home Appliances,Online Shopper,46762761.73,17056,2741.72,500.36,4999.94
Home Appliances,Premium Shopper,45314517.52,16453,2754.18,501.06,4999.74
Sports & Outdoors,Budget Shopper,45756310.87,16613,2754.25,500.04,4998.61
Sports & Outdoors,Churn Risk,46698414.51,16906,2762.24,500.07,4999.05
Sports & Outdoors,Deal Seeker,46447342.58,16844,2757.50,500.46,4999.49
Sports & Outdoors,First-time Buyer,46091012.87,16744,2752.69,500.01,4999.25
Sports & Outdoors,High Value,46798807.43,16960,2759.36,500.03,4999.78
Sports & Outdoors,In-Store Regular,46168221.44,16675,2768.71,500.45,4999.89
Sports & Outdoors,Loyal Customer,46021025.13,16770,2744.25,500.50,4999.83
Sports & Outdoors,Occasional Shopper,46505817.49,16942,2745.00,500.07,4999.65
Sports & Outdoors,Online Shopper,46185599.44,16794,2750.13,500.04,4999.97
Sports & Outdoors,Premium Shopper,45030851.07,16394,2746.79,500.23,4999.67
