category,customer_segment,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Manager,11302397.26,4088,2764.77,501.91,4999.12
Clothing,Budget Shopper,Sales Associate,12151504.00,4439,2737.44,501.09,4999.85
Clothing,Budget Shopper,Salesperson,11773157.83,4269,2757.83,501.20,4999.95
Clothing,Budget Shopper,Senior Salesperson,10495145.18,3804,2758.98,503.90,4999.08
Clothing,Churn Risk,Manager,11455304.45,4191,2733.31,500.17,4998.58
Clothing,Churn Risk,Sales Associate,11912955.31,4380,2719.85,500.57,4999.91
Clothing,Churn Risk,Salesperson,12043462.28,4357,2764.16,500.82,4999.45
Clothing,Churn Risk,Senior Salesperson,10386868.72,3786,2743.49,501.92,4999.86
Clothing,Deal Seeker,Manager,11764663.62,4243,2772.72,500.55,4998.11
Clothing,Deal Seeker,Sales Associate,12022012.49,4394,2736.01,500.14,4996.30
Clothing,Deal Seeker,Salesperson,12084984.68,4453,2713.90,501.46,4998.97
Clothing,Deal Seeker,Senior Salesperson,10348710.99,3771,2744.29,500.07,4999.81
Clothing,First-time Buyer,Manager,11183366.03,4080,2741.02,500.37,4999.40
Clothing,First-time Buyer,Sales Associate,11852242.56,4324,2741.04,500.27,4999.23
Clothing,First-time Buyer,Salesperson,11793373.55,4275,2758.68,502.13,4999.82
Clothing,First-time Buyer,Senior Salesperson,10615728.08,3746,2833.88,501.24,4999.98
Clothing,High Value,Manager,11520859.65,4213,2734.60,500.17,4999.38
Clothing,High Value,Sales Associate,12035272.57,4384,2745.27,500.77,4999.95
Clothing,High Value,Salesperson,11690834.93,4231,2763.14,501.00,4999.73
Clothing,High Value,Senior Salesperson,10152179.75,3712,2734.96,500.45,4999.71
Clothing,In-Store Regular,Manager,11230036.04,4077,2754.49,500.64,4999.21
Clothing,In-Store Regular,Sales Associate,12067322.73,4369,2762.03,500.60,4999.76
Clothing,In-Store Regular,Salesperson,11367836.01,4178,2720.88,501.80,4999.80
Clothing,In-Store Regular,Senior Salesperson,10296284.20,3734,2757.44,500.74,4998.89
Clothing,Loyal Customer,Manager,11281462.55,4098,2752.92,502.97,4997.89
Clothing,Loyal Customer,Sales Associate,12158531.95,4412,2755.79,500.18,4999.85
Clothing,Loyal Customer,Salesperson,12061316.26,4411,2734.37,500.50,4999.97
Clothing,Loyal Customer,Senior Salesperson,10417323.49,3777,2758.09,501.58,4999.68
Clothing,Occasional Shopper,Manager,11399583.85,4164,2737.65,501.20,4999.75
Clothing,Occasional Shopper,Sales Associate,12436576.16,4498,2764.91,501.25,4998.86
Clothing,Occasional Shopper,Salesperson,12071926.49,4355,2771.97,501.52,4999.19
Clothing,Occasional Shopper,Senior Salesperson,10251478.73,3732,2746.91,500.65,4999.06
Clothing,Online Shopper,Manager,11496102.07,4186,2746.32,501.14,4996.33
Clothing,Online Shopper,Sales Associate,12163540.00,4383,2775.16,500.12,4999.45
Clothing,Online Shopper,Salesperson,11822177.15,4273,2766.72,500.43,4996.67
Clothing,Online Shopper,Senior Salesperson,10518015.49,3798,2769.36,500.11,4999.60
Clothing,Premium Shopper,Manager,11403851.10,4120,2767.93,500.17,4997.57
