category,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Manager,114037626.62,41460,2750.55,500.17,4999.75
Clothing,Sales Associate,120470641.52,43820,2749.22,500.12,4999.95
Clothing,Salesperson,118409434.32,43087,2748.15,500.43,4999.97
Clothing,Senior Salesperson,103452124.19,37488,2759.61,500.07,4999.98
Electronics,Manager,114703937.19,41661,2753.27,500.05,4999.87
Electronics,Sales Associate,120771389.62,43959,2747.36,500.19,4999.96
Electronics,Salesperson,119731325.34,43421,2757.45,500.09,4999.96
Electronics,Senior Salesperson,103529252.77,37543,2757.62,500.14,4999.96
Furniture,Manager,114995218.94,41890,2745.17,500.07,4999.90
Furniture,Sales Associate,121149693.28,43950,2756.53,500.23,4999.69
Furniture,Salesperson,119695470.29,43306,2763.95,500.23,4999.64
Furniture,Senior Salesperson,103629020.53,37760,2744.41,500.06,4999.88
Groceries,Manager,113771346.04,41343,2751.89,500.12,4999.83
Groceries,Sales Associate,120620757.62,43954,2744.25,500.01,4999.95
Groceries,Salesperson,118514324.38,43091,2750.33,500.16,4999.97
Groceries,Senior Salesperson,103708754.50,37696,2751.19,500.03,4999.96
Home Appliances,Manager,115792728.73,42179,2745.27,500.00,4999.93
Home Appliances,Sales Associate,120525583.91,43850,2748.59,500.10,4999.98
Home Appliances,Salesperson,118067252.87,43100,2739.38,500.09,4999.91
Home Appliances,Senior Salesperson,103595309.22,37800,2740.62,500.05,4999.94
Sports & Outdoors,Manager,115518635.15,41870,2758.98,500.04,4999.97
Sports & Outdoors,Sales Associate,121384444.39,44049,2755.67,500.09,4999.78
Sports & Outdoors,Salesperson,119170869.25,43328,2750.44,500.01,4999.89
Sports & Outdoors,Senior Salesperson,105629454.03,38395,2751.13,500.03,4999.61
