category,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Large Malls / Complexes,Manager,36065512.22,13160,2740.54,500.37,4999.12
Clothing,Large Malls / Complexes,Sales Associate,38219233.54,13865,2756.53,500.18,4999.91
Clothing,Large Malls / Complexes,Salesperson,37525093.62,13661,2746.88,500.66,4999.97
Clothing,Large Malls / Complexes,Senior Salesperson,32524225.09,11838,2747.44,500.11,4999.86
Clothing,Small Stores / Shops,Manager,38399871.93,13907,2761.19,500.17,4999.40
Clothing,Small Stores / Shops,Sales Associate,40182203.30,14641,2744.50,500.14,4999.95
Clothing,Small Stores / Shops,Salesperson,40421482.18,14655,2758.20,500.50,4999.82
Clothing,Small Stores / Shops,Senior Salesperson,35329489.80,12750,2770.94,500.07,4999.81
Clothing,Supermarkets ,Manager,39572242.47,14393,2749.41,500.17,4999.75
Clothing,Supermarkets ,Sales Associate,42069204.68,15314,2747.11,500.12,4999.85
Clothing,Supermarkets ,Salesperson,40462858.52,14771,2739.34,500.43,4999.33
Clothing,Supermarkets ,Senior Salesperson,35598409.30,12900,2759.57,500.07,4999.98
Electronics,Large Malls / Complexes,Manager,36336570.62,13177,2757.58,500.55,4999.78
Electronics,Large Malls / Complexes,Sales Associate,38320461.18,13935,2749.94,500.60,4999.95
Electronics,Large Malls / Complexes,Salesperson,37723981.12,13684,2756.79,500.25,4999.83
Electronics,Large Malls / Complexes,Senior Salesperson,32958505.89,11949,2758.26,500.80,4999.96
Electronics,Small Stores / Shops,Manager,38869364.91,14114,2753.96,500.08,4999.80
Electronics,Small Stores / Shops,Sales Associate,40467662.19,14744,2744.69,500.55,4999.82
Electronics,Small Stores / Shops,Salesperson,40432572.71,14676,2755.01,500.20,4999.20
Electronics,Small Stores / Shops,Senior Salesperson,35006538.67,12672,2762.51,500.14,4999.96
Electronics,Supermarkets ,Manager,39498001.65,14370,2748.64,500.05,4999.87
Electronics,Supermarkets ,Sales Associate,41983266.25,15280,2747.60,500.19,4999.96
Electronics,Supermarkets ,Salesperson,41574771.51,15061,2760.43,500.09,4999.96
Electronics,Supermarkets ,Senior Salesperson,35564208.21,12922,2752.22,500.51,4999.09
Furniture,Large Malls / Complexes,Manager,36093434.44,13192,2736.01,500.56,4999.65
Furniture,Large Malls / Complexes,Sales Associate,38479683.37,14013,2746.00,500.23,4999.69
Furniture,Large Malls / Complexes,Salesperson,38396926.31,13803,2781.78,500.35,4999.62
