category,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Large Malls / Complexes,Manager,12 Days of Deals,746567.59,262,2849.49,500.37,4991.32
Clothing,Large Malls / Complexes,Manager,Autumn Deals Drive,722267.24,272,2655.39,501.91,4994.06
Clothing,Large Malls / Complexes,Manager,BOGO Blitz,796208.40,267,2982.05,508.84,4997.89
Clothing,Large Malls / Complexes,Manager,Back to School Boost,716549.39,254,2821.06,517.32,4980.54
Clothing,Large Malls / Complexes,Manager,Birthday Bash Sale,778365.93,278,2799.88,529.67,4994.20
Clothing,Large Malls / Complexes,Manager,Black Friday Blowout,692986.01,258,2685.99,502.05,4963.71
Clothing,Large Malls / Complexes,Manager,Cart Crasher Campaign,739406.19,278,2659.73,508.37,4986.36
Clothing,Large Malls / Complexes,Manager,Cashback Carnival,718162.84,252,2849.85,508.75,4994.40
Clothing,Large Malls / Complexes,Manager,Clearance Countdown,779788.63,285,2736.10,500.46,4993.71
Clothing,Large Malls / Complexes,Manager,Countdown to Savings,697244.23,257,2713.01,504.64,4953.00
Clothing,Large Malls / Complexes,Manager,Customer Appreciation Week,817823.00,297,2753.61,504.64,4943.12
Clothing,Large Malls / Complexes,Manager,Cyber Monday Mania,728064.51,255,2855.15,525.27,4977.22
Clothing,Large Malls / Complexes,Manager,Deal of the Month,727853.53,261,2788.71,504.75,4949.19
Clothing,Large Malls / Complexes,Manager,Double Points Bonanza,774138.32,269,2877.84,518.32,4962.25
Clothing,Large Malls / Complexes,Manager,Early Bird Specials,733305.50,277,2647.31,501.20,4955.68
Clothing,Large Malls / Complexes,Manager,End of Season Sale,767665.82,278,2761.39,503.81,4983.53
Clothing,Large Malls / Complexes,Manager,Exclusive Insider Offers,733393.08,282,2600.68,518.51,4988.97
Clothing,Large Malls / Complexes,Manager,Festive Fever Promo,733573.30,271,2706.91,513.43,4980.87
Clothing,Large Malls / Complexes,Manager,Final Call Frenzy,720507.28,265,2718.90,525.27,4954.68
Clothing,Large Malls / Complexes,Manager,Flash Frenzy Friday,669534.93,259,2585.08,545.78,4968.76
Clothing,Large Malls / Complexes,Manager,"Gift More, Spend Less",743546.03,271,2743.71,510.81,4985.65
Clothing,Large Malls / Complexes,Manager,Golden Hour Bargains,790038.89,279,2831.68,511.16,4996.90
Clothing,Large Malls / Complexes,Manager,Green Weekend Deals,731296.78,262,2791.21,516.31,4980.69
Clothing,Large Malls / Complexes,Manager,Happy Hour Discounts,693947.63,253,2742.88,505.67,4971.44
Clothing,Large Malls / Complexes,Manager,Holiday Shopping Rush,675142.72,253,2668.55,501.97,4855.73
Clothing,Large Malls / Complexes,Manager,Hot Picks Promo,738709.10,266,2777.10,520.35,4969.03
Clothing,Large Malls / Complexes,Manager,Instant Gratification Sale,658144.59,252,2611.68,503.90,4950.20
Clothing,Large Malls / Complexes,Manager,Limited Time Treasures,740684.64,269,2753.47,512.09,4983.53
Clothing,Large Malls / Complexes,Manager,Loyalty Rewards Blast,724813.92,268,2704.53,524.75,4998.22
Clothing,Large Malls / Complexes,Manager,Mega Weekend Bonanza,722816.02,262,2758.84,504.47,4995.03
Clothing,Large Malls / Complexes,Manager,Mid-Year Madness,730418.16,272,2685.36,501.32,4991.52
Clothing,Large Malls / Complexes,Manager,Midnight Madness,713100.80,268,2660.82,502.64,4976.33
Clothing,Large Malls / Complexes,Manager,Mystery Discount Days,615021.29,227,2709.34,506.69,4947.22
Clothing,Large Malls / Complexes,Manager,New Arrival Showcase,751722.42,279,2694.35,511.56,4998.00
Clothing,Large Malls / Complexes,Manager,New Product Launch Promo,695873.95,253,2750.49,503.34,4992.60
Clothing,Large Malls / Complexes,Manager,New Year Kickoff,618478.83,236,2620.67,502.81,4988.93
Clothing,Large Malls / Complexes,Manager,Price Drop Parade,650477.60,252,2581.26,507.14,4922.71
Clothing,Large Malls / Complexes,Manager,Red Tag Clearance,763077.23,279,2735.04,514.92,4989.71
Clothing,Large Malls / Complexes,Manager,Seasonal Surprise Box,744928.15,269,2769.25,510.40,4985.30
Clothing,Large Malls / Complexes,Manager,Shop & Save Spectacular,749794.44,251,2987.23,511.32,4998.56
Clothing,Large Malls / Complexes,Manager,Smart Shopper Week,639367.42,244,2620.36,511.44,4997.75
Clothing,Large Malls / Complexes,Manager,Spring Refresh Event,733183.27,261,2809.13,517.03,4996.53
Clothing,Large Malls / Complexes,Manager,Spring Splash Discounts,669321.16,244,2743.12,505.77,4993.20
Clothing,Large Malls / Complexes,Manager,Summer Sizzle Promo,706702.49,257,2749.82,513.95,4998.58
Clothing,Large Malls / Complexes,Manager,Super Savings Week,701018.36,257,2727.70,528.70,4993.53
Clothing,Large Malls / Complexes,Manager,Ultimate Value Event,719612.65,261,2757.14,513.09,4999.12
Clothing,Large Malls / Complexes,Manager,VIP Access Sale,655768.34,238,2755.33,505.32,4976.29
Clothing,Large Malls / Complexes,Manager,Weekend Warrior Specials,774979.69,280,2767.78,547.85,4988.31
Clothing,Large Malls / Complexes,Manager,Winter Clearance Carnival,731906.28,257,2847.88,504.78,4981.70
Clothing,Large Malls / Complexes,Manager,Winter Wonders Sale,688213.65,263,2616.78,537.55,4996.58
Clothing,Large Malls / Complexes,Sales Associate,12 Days of Deals,690381.14,259,2665.56,523.45,4951.22
Clothing,Large Malls / Complexes,Sales Associate,Autumn Deals Drive,801630.49,284,2822.64,540.02,4991.50
Clothing,Large Malls / Complexes,Sales Associate,BOGO Blitz,921618.40,316,2916.51,533.73,4998.71
Clothing,Large Malls / Complexes,Sales Associate,Back to School Boost,755245.61,277,2726.52,507.03,4987.30
Clothing,Large Malls / Complexes,Sales Associate,Birthday Bash Sale,746970.23,264,2829.43,538.73,4993.14
Clothing,Large Malls / Complexes,Sales Associate,Black Friday Blowout,801233.88,277,2892.54,507.51,4997.07
