customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Manager,12 Days of Deals,1382430.70,502,2753.85,505.04,4991.32
Budget Shopper,Manager,Autumn Deals Drive,1334000.24,487,2739.22,500.04,4996.10
Budget Shopper,Manager,BOGO Blitz,1366358.31,488,2799.91,519.41,4964.10
Budget Shopper,Manager,Back to School Boost,1407471.98,523,2691.15,501.48,4984.20
Budget Shopper,Manager,Birthday Bash Sale,1407475.52,506,2781.57,504.89,4999.93
Budget Shopper,Manager,Black Friday Blowout,1489539.63,545,2733.10,502.21,4994.38
Budget Shopper,Manager,Cart Crasher Campaign,1298413.24,473,2745.06,508.39,4995.62
Budget Shopper,Manager,Cashback Carnival,1416352.58,507,2793.59,512.58,4988.77
Budget Shopper,Manager,Clearance Countdown,1405430.46,511,2750.35,500.93,4995.72
Budget Shopper,Manager,Countdown to Savings,1380528.48,489,2823.17,504.79,4997.53
Budget Shopper,Manager,Customer Appreciation Week,1411869.28,490,2881.37,508.47,4993.47
Budget Shopper,Manager,Cyber Monday Mania,1424590.90,492,2895.51,502.91,4992.94
Budget Shopper,Manager,Deal of the Month,1304608.07,476,2740.77,505.51,4999.11
Budget Shopper,Manager,Double Points Bonanza,1255470.85,472,2659.90,503.85,4998.07
Budget Shopper,Manager,Early Bird Specials,1398153.40,502,2785.17,512.16,4998.19
Budget Shopper,Manager,End of Season Sale,1311040.91,473,2771.76,508.08,4999.19
Budget Shopper,Manager,Exclusive Insider Offers,1343376.60,491,2736.00,504.62,4991.57
Budget Shopper,Manager,Festive Fever Promo,1381034.13,515,2681.62,519.53,4996.41
Budget Shopper,Manager,Final Call Frenzy,1352670.31,491,2754.93,502.39,4976.65
Budget Shopper,Manager,Flash Frenzy Friday,1359240.39,494,2751.50,517.12,4996.39
Budget Shopper,Manager,"Gift More, Spend Less",1369870.18,498,2750.74,505.10,4999.74
Budget Shopper,Manager,Golden Hour Bargains,1284566.67,471,2727.32,503.86,4975.11
Budget Shopper,Manager,Green Weekend Deals,1420128.45,506,2806.58,503.08,4987.56
Budget Shopper,Manager,Happy Hour Discounts,1386936.20,510,2719.48,510.48,4989.33
Budget Shopper,Manager,Holiday Shopping Rush,1281503.20,468,2738.25,534.66,4979.12
Budget Shopper,Manager,Hot Picks Promo,1436259.94,512,2805.20,502.00,4994.45
Budget Shopper,Manager,Instant Gratification Sale,1295462.10,493,2627.71,503.79,4978.35
