store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Large Malls / Complexes,12 Days of Deals,17374783.27,6336,2742.23,500.37,4999.02
Large Malls / Complexes,Autumn Deals Drive,17685746.38,6457,2739.00,500.56,4999.80
Large Malls / Complexes,BOGO Blitz,17859051.86,6397,2791.79,502.29,4998.71
Large Malls / Complexes,Back to School Boost,17562003.53,6435,2729.14,501.66,4999.06
Large Malls / Complexes,Birthday Bash Sale,17288117.01,6272,2756.40,501.68,4999.34
Large Malls / Complexes,Black Friday Blowout,17275863.09,6307,2739.16,500.23,4999.88
Large Malls / Complexes,Cart Crasher Campaign,17155503.14,6285,2729.59,502.87,4998.52
Large Malls / Complexes,Cashback Carnival,17494932.35,6316,2769.94,500.42,4999.62
Large Malls / Complexes,Clearance Countdown,17399923.35,6334,2747.07,500.46,4999.80
Large Malls / Complexes,Countdown to Savings,17272676.93,6311,2736.92,500.60,4999.61
Large Malls / Complexes,Customer Appreciation Week,17108401.37,6280,2724.27,502.48,4998.63
Large Malls / Complexes,Cyber Monday Mania,17433595.31,6354,2743.72,500.56,4999.50
Large Malls / Complexes,Deal of the Month,17110699.74,6217,2752.24,500.90,4999.45
Large Malls / Complexes,Double Points Bonanza,17573032.29,6339,2772.21,501.38,4999.96
Large Malls / Complexes,Early Bird Specials,17830603.64,6473,2754.61,500.92,4999.19
Large Malls / Complexes,End of Season Sale,17163022.26,6225,2757.11,500.36,4998.76
Large Malls / Complexes,Exclusive Insider Offers,17510091.10,6332,2765.33,500.29,4999.92
Large Malls / Complexes,Festive Fever Promo,17333302.20,6311,2746.52,500.36,4998.89
Large Malls / Complexes,Final Call Frenzy,17427019.52,6365,2737.94,500.25,4999.75
Large Malls / Complexes,Flash Frenzy Friday,17592938.26,6388,2754.06,500.13,4999.95
Large Malls / Complexes,"Gift More, Spend Less",17244257.12,6284,2744.15,502.35,4999.74
Large Malls / Complexes,Golden Hour Bargains,17613280.71,6417,2744.78,500.71,4999.90
Large Malls / Complexes,Green Weekend Deals,17182425.56,6288,2732.57,500.26,4999.78
Large Malls / Complexes,Happy Hour Discounts,17932035.32,6502,2757.93,501.14,4999.78
Large Malls / Complexes,Holiday Shopping Rush,17315643.29,6259,2766.52,501.27,4999.40
Large Malls / Complexes,Hot Picks Promo,17636677.39,6427,2744.15,500.98,4999.96
Large Malls / Complexes,Instant Gratification Sale,17684004.19,6405,2760.97,501.41,4998.62
Large Malls / Complexes,Limited Time Treasures,17858696.29,6445,2770.94,500.43,4999.73
Large Malls / Complexes,Loyalty Rewards Blast,17296714.02,6305,2743.33,500.38,4998.98
