brand,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,12 Days of Deals,3789123.91,1378,2749.73,501.08,4998.46
Adidas,Autumn Deals Drive,3781757.76,1366,2768.49,500.33,4998.38
Adidas,BOGO Blitz,3732588.22,1343,2779.29,500.64,4998.71
Adidas,Back to School Boost,3746238.83,1379,2716.63,501.04,4999.86
Adidas,Birthday Bash Sale,3545776.60,1291,2746.53,500.58,4998.00
Adidas,Black Friday Blowout,3791988.53,1368,2771.92,502.05,4994.34
Adidas,Cart Crasher Campaign,3651558.63,1310,2787.45,512.46,4994.25
Adidas,Cashback Carnival,3621973.23,1326,2731.50,502.29,4994.16
Adidas,Clearance Countdown,3533742.16,1306,2705.78,500.53,4998.56
Adidas,Countdown to Savings,3613582.45,1315,2747.97,501.16,4996.97
Adidas,Customer Appreciation Week,3776023.89,1359,2778.53,503.78,4994.47
Adidas,Cyber Monday Mania,3647523.02,1308,2788.63,508.76,4999.05
Adidas,Deal of the Month,3426893.72,1255,2730.59,504.75,4999.41
Adidas,Double Points Bonanza,3485670.05,1263,2759.83,502.14,4996.56
Adidas,Early Bird Specials,3712125.46,1335,2780.62,504.93,4998.17
Adidas,End of Season Sale,3577401.60,1304,2743.41,507.77,4997.48
Adidas,Exclusive Insider Offers,3724799.55,1336,2788.02,503.34,4991.28
Adidas,Festive Fever Promo,3698320.30,1334,2772.35,504.43,4991.54
Adidas,Final Call Frenzy,3674673.35,1332,2758.76,501.90,4999.33
Adidas,Flash Frenzy Friday,3487724.66,1299,2684.93,501.20,4997.00
Adidas,"Gift More, Spend Less",3630009.48,1323,2743.77,504.14,4994.22
Adidas,Golden Hour Bargains,3633396.37,1342,2707.45,503.10,4999.76
Adidas,Green Weekend Deals,3472826.99,1265,2745.32,501.10,4999.76
Adidas,Happy Hour Discounts,3515176.76,1269,2770.04,502.86,4994.51
Adidas,Holiday Shopping Rush,3548458.21,1308,2712.89,506.26,4998.34
Adidas,Hot Picks Promo,3764645.63,1353,2782.44,505.94,4990.00
Adidas,Instant Gratification Sale,3713655.19,1323,2807.00,500.89,4998.40
Adidas,Limited Time Treasures,3477483.28,1266,2746.83,500.43,4999.38
Adidas,Loyalty Rewards Blast,3552921.76,1285,2764.92,502.35,4993.88
