brand,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Large Malls / Complexes,12 Days of Deals,132399.81,48,2758.33,604.58,4954.87
Adidas,Budget Shopper,Large Malls / Complexes,Autumn Deals Drive,115748.49,39,2967.91,518.04,4982.16
Adidas,Budget Shopper,Large Malls / Complexes,BOGO Blitz,103125.55,33,3125.02,550.36,4973.52
Adidas,Budget Shopper,Large Malls / Complexes,Back to School Boost,102651.53,38,2701.36,508.79,4910.61
Adidas,Budget Shopper,Large Malls / Complexes,Birthday Bash Sale,103191.06,40,2579.78,546.22,4845.41
Adidas,Budget Shopper,Large Malls / Complexes,Black Friday Blowout,106406.07,37,2875.84,576.66,4880.99
Adidas,Budget Shopper,Large Malls / Complexes,Cart Crasher Campaign,138413.51,45,3075.86,589.99,4917.92
Adidas,Budget Shopper,Large Malls / Complexes,Cashback Carnival,109177.94,45,2426.18,534.21,4783.27
Adidas,Budget Shopper,Large Malls / Complexes,Clearance Countdown,117939.84,43,2742.79,515.41,4949.25
Adidas,Budget Shopper,Large Malls / Complexes,Countdown to Savings,97462.11,36,2707.28,918.25,4790.70
Adidas,Budget Shopper,Large Malls / Complexes,Customer Appreciation Week,79410.83,32,2481.59,644.72,4902.82
Adidas,Budget Shopper,Large Malls / Complexes,Cyber Monday Mania,105333.37,36,2925.93,603.35,4986.22
Adidas,Budget Shopper,Large Malls / Complexes,Deal of the Month,158198.57,52,3042.28,652.85,4855.05
Adidas,Budget Shopper,Large Malls / Complexes,Double Points Bonanza,142215.67,53,2683.31,544.68,4882.02
Adidas,Budget Shopper,Large Malls / Complexes,Early Bird Specials,139002.91,44,3159.16,505.34,4977.12
Adidas,Budget Shopper,Large Malls / Complexes,End of Season Sale,133051.55,44,3023.90,585.97,4959.83
Adidas,Budget Shopper,Large Malls / Complexes,Exclusive Insider Offers,105831.63,42,2519.80,609.55,4881.15
Adidas,Budget Shopper,Large Malls / Complexes,Festive Fever Promo,127883.74,41,3119.12,825.21,4976.80
Adidas,Budget Shopper,Large Malls / Complexes,Final Call Frenzy,126654.90,44,2878.52,673.62,4862.72
Adidas,Budget Shopper,Large Malls / Complexes,Flash Frenzy Friday,106193.61,38,2794.57,612.03,4829.29
Adidas,Budget Shopper,Large Malls / Complexes,"Gift More, Spend Less",100743.98,32,3148.25,614.54,4932.16
Adidas,Budget Shopper,Large Malls / Complexes,Golden Hour Bargains,104038.64,40,2600.97,510.81,4994.32
Adidas,Budget Shopper,Large Malls / Complexes,Green Weekend Deals,123230.10,43,2865.82,698.96,4926.07
Adidas,Budget Shopper,Large Malls / Complexes,Happy Hour Discounts,87800.42,31,2832.27,1092.15,4886.54
Adidas,Budget Shopper,Large Malls / Complexes,Holiday Shopping Rush,125772.97,42,2994.59,540.22,4981.68
Adidas,Budget Shopper,Large Malls / Complexes,Hot Picks Promo,120516.81,41,2939.43,666.80,4942.51
Adidas,Budget Shopper,Large Malls / Complexes,Instant Gratification Sale,129943.07,44,2953.25,522.75,4968.95
Adidas,Budget Shopper,Large Malls / Complexes,Limited Time Treasures,128498.44,43,2988.34,500.43,4983.53
Adidas,Budget Shopper,Large Malls / Complexes,Loyalty Rewards Blast,124741.18,47,2654.07,659.08,4589.69
Adidas,Budget Shopper,Large Malls / Complexes,Mega Weekend Bonanza,102420.34,34,3012.36,899.60,4915.82
Adidas,Budget Shopper,Large Malls / Complexes,Mid-Year Madness,111052.63,39,2847.50,509.13,4846.39
Adidas,Budget Shopper,Large Malls / Complexes,Midnight Madness,74250.20,30,2475.01,564.97,4917.42
Adidas,Budget Shopper,Large Malls / Complexes,Mystery Discount Days,98516.10,35,2814.75,528.21,4943.34
Adidas,Budget Shopper,Large Malls / Complexes,New Arrival Showcase,99532.61,32,3110.39,836.76,4986.33
Adidas,Budget Shopper,Large Malls / Complexes,New Product Launch Promo,131439.74,47,2796.59,546.91,4999.95
