brand,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Manager,12 Days of Deals,1000222.75,355,2817.53,504.41,4998.46
Adidas,Manager,Autumn Deals Drive,958472.73,351,2730.69,500.33,4998.38
Adidas,Manager,BOGO Blitz,937687.32,339,2766.04,500.64,4993.50
Adidas,Manager,Back to School Boost,921071.56,328,2808.14,507.11,4996.96
Adidas,Manager,Birthday Bash Sale,839575.66,305,2752.71,509.00,4994.20
Adidas,Manager,Black Friday Blowout,973251.05,354,2749.30,502.05,4952.48
Adidas,Manager,Cart Crasher Campaign,950664.52,345,2755.55,512.46,4979.31
Adidas,Manager,Cashback Carnival,866979.07,314,2761.08,509.51,4994.16
Adidas,Manager,Clearance Countdown,876538.66,316,2773.86,500.53,4993.67
Adidas,Manager,Countdown to Savings,869639.48,325,2675.81,501.16,4996.97
Adidas,Manager,Customer Appreciation Week,955299.84,328,2912.50,529.43,4988.63
Adidas,Manager,Cyber Monday Mania,905464.32,310,2920.85,516.07,4999.05
Adidas,Manager,Deal of the Month,895466.83,314,2851.81,504.75,4982.42
Adidas,Manager,Double Points Bonanza,829699.81,308,2693.83,507.68,4996.56
Adidas,Manager,Early Bird Specials,937963.96,329,2850.95,526.61,4998.17
Adidas,Manager,End of Season Sale,952232.70,351,2712.91,521.54,4983.53
Adidas,Manager,Exclusive Insider Offers,901412.34,315,2861.63,526.99,4969.33
Adidas,Manager,Festive Fever Promo,921806.30,333,2768.19,516.42,4982.65
Adidas,Manager,Final Call Frenzy,926151.54,341,2715.99,501.90,4986.38
Adidas,Manager,Flash Frenzy Friday,891117.98,332,2684.09,511.53,4994.26
Adidas,Manager,"Gift More, Spend Less",960409.72,364,2638.49,510.97,4990.08
Adidas,Manager,Golden Hour Bargains,930799.34,341,2729.62,511.16,4976.21
Adidas,Manager,Green Weekend Deals,920484.31,341,2699.37,513.01,4980.69
Adidas,Manager,Happy Hour Discounts,761911.77,284,2682.79,505.67,4987.84
Adidas,Manager,Holiday Shopping Rush,824703.30,304,2712.84,506.77,4978.37
Adidas,Manager,Hot Picks Promo,957589.16,347,2759.62,505.94,4982.12
Adidas,Manager,Instant Gratification Sale,884382.25,321,2755.08,501.99,4993.28
Adidas,Manager,Limited Time Treasures,903449.08,322,2805.74,500.43,4999.38
Adidas,Manager,Loyalty Rewards Blast,908468.04,327,2778.19,503.10,4967.54
Adidas,Manager,Mega Weekend Bonanza,948791.04,346,2742.17,517.03,4996.59
Adidas,Manager,Mid-Year Madness,896179.51,339,2643.60,501.32,4991.08
Adidas,Manager,Midnight Madness,923194.05,328,2814.62,500.45,4985.69
Adidas,Manager,Mystery Discount Days,846721.61,318,2662.65,500.17,4998.07
Adidas,Manager,New Arrival Showcase,847124.57,312,2715.14,501.06,4982.07
Adidas,Manager,New Product Launch Promo,958647.21,341,2811.28,541.28,4979.03
Adidas,Manager,New Year Kickoff,888687.09,325,2734.42,502.81,4988.93
Adidas,Manager,Price Drop Parade,1004068.30,357,2812.52,507.14,4984.37
Adidas,Manager,Red Tag Clearance,977639.44,349,2801.26,520.14,4995.28
Adidas,Manager,Seasonal Surprise Box,881878.71,308,2863.24,515.20,4992.17
Adidas,Manager,Shop & Save Spectacular,972273.87,332,2928.54,511.32,4974.46
Adidas,Manager,Smart Shopper Week,921782.02,340,2711.12,518.72,4985.85
Adidas,Manager,Spring Refresh Event,906446.15,331,2738.51,529.10,4995.47
Adidas,Manager,Spring Splash Discounts,900689.75,325,2771.35,503.97,4998.18
Adidas,Manager,Summer Sizzle Promo,938207.06,330,2843.05,513.93,4975.17
Adidas,Manager,Super Savings Week,899643.61,338,2661.67,501.26,4962.64
Adidas,Manager,Ultimate Value Event,895294.52,325,2754.75,501.61,4989.43
Adidas,Manager,VIP Access Sale,895720.46,311,2880.13,506.38,4991.92
Adidas,Manager,Weekend Warrior Specials,958664.62,349,2746.89,501.72,4998.83
Adidas,Manager,Winter Clearance Carnival,915703.42,330,2774.86,509.53,4988.66
Adidas,Manager,Winter Wonders Sale,880719.99,329,2676.96,504.80,4988.65
Adidas,Sales Associate,12 Days of Deals,903178.26,319,2831.28,511.33,4970.14
Adidas,Sales Associate,Autumn Deals Drive,1010474.68,361,2799.10,518.04,4991.85
Adidas,Sales Associate,BOGO Blitz,974187.42,349,2791.37,509.05,4998.71
Adidas,Sales Associate,Back to School Boost,898710.79,350,2567.75,501.04,4994.39
Adidas,Sales Associate,Birthday Bash Sale,941676.17,336,2802.61,500.58,4998.00
Adidas,Sales Associate,Black Friday Blowout,979127.98,350,2797.51,503.18,4991.94
Adidas,Sales Associate,Cart Crasher Campaign,945580.26,339,2789.32,522.03,4994.25
Adidas,Sales Associate,Cashback Carnival,1014054.96,372,2725.95,515.77,4982.89
Adidas,Sales Associate,Clearance Countdown,982225.07,369,2661.86,503.83,4998.56
Adidas,Sales Associate,Countdown to Savings,986420.37,362,2724.92,510.74,4957.19
Adidas,Sales Associate,Customer Appreciation Week,975983.32,355,2749.25,510.44,4977.50
Adidas,Sales Associate,Cyber Monday Mania,964487.92,345,2795.62,512.33,4989.43
Adidas,Sales Associate,Deal of the Month,918516.81,337,2725.57,520.13,4999.41
Adidas,Sales Associate,Double Points Bonanza,896561.96,327,2741.78,503.76,4995.71
Adidas,Sales Associate,Early Bird Specials,919174.69,337,2727.52,504.93,4993.12
Adidas,Sales Associate,End of Season Sale,865106.81,312,2772.78,515.55,4980.34
Adidas,Sales Associate,Exclusive Insider Offers,997962.52,367,2719.24,503.34,4975.61
Adidas,Sales Associate,Festive Fever Promo,909117.30,336,2705.71,504.43,4991.54
Adidas,Sales Associate,Final Call Frenzy,963654.10,342,2817.70,539.41,4999.33
Adidas,Sales Associate,Flash Frenzy Friday,926396.66,337,2748.95,509.03,4997.00
Adidas,Sales Associate,"Gift More, Spend Less",987508.37,353,2797.47,524.46,4972.49
Adidas,Sales Associate,Golden Hour Bargains,972055.06,354,2745.92,503.10,4999.76
Adidas,Sales Associate,Green Weekend Deals,890044.06,322,2764.11,504.25,4999.76
Adidas,Sales Associate,Happy Hour Discounts,912476.65,338,2699.64,517.25,4975.40
Adidas,Sales Associate,Holiday Shopping Rush,1020646.91,371,2751.07,506.26,4981.68
Adidas,Sales Associate,Hot Picks Promo,971667.56,341,2849.46,523.60,4990.00
Adidas,Sales Associate,Instant Gratification Sale,1055560.57,372,2837.53,500.95,4998.40
Adidas,Sales Associate,Limited Time Treasures,885330.86,329,2690.98,556.42,4991.05
Adidas,Sales Associate,Loyalty Rewards Blast,787571.25,290,2715.76,505.10,4940.38
Adidas,Sales Associate,Mega Weekend Bonanza,880222.40,331,2659.28,518.73,4992.14
Adidas,Sales Associate,Mid-Year Madness,914639.10,340,2690.12,545.41,4991.43
Adidas,Sales Associate,Midnight Madness,955343.90,338,2826.46,512.27,4990.39
Adidas,Sales Associate,Mystery Discount Days,1000877.77,351,2851.50,529.02,4976.22
Adidas,Sales Associate,New Arrival Showcase,993073.89,356,2789.53,526.98,4997.59
Adidas,Sales Associate,New Product Launch Promo,997323.17,351,2841.38,500.83,4984.79
Adidas,Sales Associate,New Year Kickoff,889130.82,331,2686.20,503.01,4995.24
Adidas,Sales Associate,Price Drop Parade,983213.82,352,2793.22,537.35,4987.71
Adidas,Sales Associate,Red Tag Clearance,934153.27,326,2865.50,504.13,4982.81
Adidas,Sales Associate,Seasonal Surprise Box,1067883.71,387,2759.39,500.52,4982.93
Adidas,Sales Associate,Shop & Save Spectacular,967451.38,355,2725.22,507.72,4992.75
Adidas,Sales Associate,Smart Shopper Week,1011178.07,364,2777.96,518.23,4988.00
Adidas,Sales Associate,Spring Refresh Event,921370.27,332,2775.21,524.13,4999.78
Adidas,Sales Associate,Spring Splash Discounts,961784.81,363,2649.54,535.63,4990.13
Adidas,Sales Associate,Summer Sizzle Promo,1019548.74,366,2785.65,506.00,4982.52
Adidas,Sales Associate,Super Savings Week,943712.21,341,2767.48,515.33,4998.86
Adidas,Sales Associate,Ultimate Value Event,912680.14,340,2684.35,502.59,4998.36
Adidas,Sales Associate,VIP Access Sale,980610.29,359,2731.50,506.71,4996.65
Adidas,Sales Associate,Weekend Warrior Specials,972199.22,360,2700.55,511.44,4974.91
Adidas,Sales Associate,Winter Clearance Carnival,1052997.99,381,2763.77,510.29,4997.18
Adidas,Sales Associate,Winter Wonders Sale,931557.18,344,2708.02,513.20,4996.30
Adidas,Salesperson,12 Days of Deals,997031.24,365,2731.59,503.94,4974.07
Adidas,Salesperson,Autumn Deals Drive,960632.79,352,2729.07,519.22,4981.81
Adidas,Salesperson,BOGO Blitz,983378.59,350,2809.65,518.34,4997.05
Adidas,Salesperson,Back to School Boost,961487.61,357,2693.24,501.52,4978.26
Adidas,Salesperson,Birthday Bash Sale,968149.97,358,2704.33,502.17,4993.81
Adidas,Salesperson,Black Friday Blowout,928303.80,332,2796.10,567.65,4994.34
Adidas,Salesperson,Cart Crasher Campaign,869509.87,320,2717.22,515.37,4942.50
Adidas,Salesperson,Cashback Carnival,967013.98,351,2755.03,502.87,4977.61
Adidas,Salesperson,Clearance Countdown,953290.26,346,2755.17,505.52,4995.33
Adidas,Salesperson,Countdown to Savings,956182.12,339,2820.60,509.94,4968.92
Adidas,Salesperson,Customer Appreciation Week,957659.19,360,2660.16,523.17,4980.59
Adidas,Salesperson,Cyber Monday Mania,985263.14,361,2729.26,519.85,4993.46
Adidas,Salesperson,Deal of the Month,827393.00,313,2643.43,524.49,4995.45
Adidas,Salesperson,Double Points Bonanza,895857.20,323,2773.55,507.03,4986.54
Adidas,Salesperson,Early Bird Specials,1018542.78,370,2752.82,505.00,4991.02
Adidas,Salesperson,End of Season Sale,882048.71,322,2739.28,553.90,4997.48
Adidas,Salesperson,Exclusive Insider Offers,1053953.29,378,2788.24,508.78,4991.28
Adidas,Salesperson,Festive Fever Promo,980886.17,362,2709.63,510.97,4984.89
Adidas,Salesperson,Final Call Frenzy,934340.86,343,2724.03,509.40,4995.87
Adidas,Salesperson,Flash Frenzy Friday,922056.78,337,2736.07,501.20,4981.24
