brand,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,Manager,12 Days of Deals,276226.12,102,2708.10,504.41,4940.89
Adidas,Large Malls / Complexes,Manager,Autumn Deals Drive,316517.49,113,2801.04,593.03,4982.21
Adidas,Large Malls / Complexes,Manager,BOGO Blitz,262099.56,90,2912.22,582.58,4983.68
Adidas,Large Malls / Complexes,Manager,Back to School Boost,260020.77,95,2737.06,507.11,4996.96
Adidas,Large Malls / Complexes,Manager,Birthday Bash Sale,279448.62,100,2794.49,537.51,4994.20
Adidas,Large Malls / Complexes,Manager,Black Friday Blowout,300806.88,107,2811.28,502.05,4947.74
Adidas,Large Malls / Complexes,Manager,Cart Crasher Campaign,305650.48,111,2753.61,653.28,4979.31
Adidas,Large Malls / Complexes,Manager,Cashback Carnival,250033.33,94,2659.93,580.99,4867.29
Adidas,Large Malls / Complexes,Manager,Clearance Countdown,334129.93,113,2956.90,532.69,4986.35
Adidas,Large Malls / Complexes,Manager,Countdown to Savings,246644.05,94,2623.87,591.60,4983.39
Adidas,Large Malls / Complexes,Manager,Customer Appreciation Week,344905.71,117,2947.91,591.30,4937.49
Adidas,Large Malls / Complexes,Manager,Cyber Monday Mania,303428.48,100,3034.28,548.84,4986.22
Adidas,Large Malls / Complexes,Manager,Deal of the Month,281718.66,97,2904.32,504.75,4949.19
Adidas,Large Malls / Complexes,Manager,Double Points Bonanza,314699.92,108,2913.89,550.21,4996.56
Adidas,Large Malls / Complexes,Manager,Early Bird Specials,319390.30,109,2930.19,526.61,4998.17
Adidas,Large Malls / Complexes,Manager,End of Season Sale,302234.87,111,2722.84,555.33,4983.53
Adidas,Large Malls / Complexes,Manager,Exclusive Insider Offers,340642.74,120,2838.69,526.99,4927.69
Adidas,Large Malls / Complexes,Manager,Festive Fever Promo,292037.22,101,2891.46,558.06,4980.87
Adidas,Large Malls / Complexes,Manager,Final Call Frenzy,314367.61,120,2619.73,525.27,4907.49
Adidas,Large Malls / Complexes,Manager,Flash Frenzy Friday,261209.18,98,2665.40,511.53,4989.55
Adidas,Large Malls / Complexes,Manager,"Gift More, Spend Less",324570.08,126,2575.95,561.11,4990.08
Adidas,Large Malls / Complexes,Manager,Golden Hour Bargains,282379.36,106,2663.96,511.16,4897.63
Adidas,Large Malls / Complexes,Manager,Green Weekend Deals,247409.03,96,2577.18,574.36,4980.69
Adidas,Large Malls / Complexes,Manager,Happy Hour Discounts,234870.09,87,2699.66,505.67,4987.84
Adidas,Large Malls / Complexes,Manager,Holiday Shopping Rush,304405.50,107,2844.91,506.77,4978.37
Adidas,Large Malls / Complexes,Manager,Hot Picks Promo,291766.90,103,2832.69,505.94,4957.64
Adidas,Large Malls / Complexes,Manager,Instant Gratification Sale,277174.28,103,2691.01,509.42,4968.95
Adidas,Large Malls / Complexes,Manager,Limited Time Treasures,301325.26,105,2869.76,500.43,4983.53
Adidas,Large Malls / Complexes,Manager,Loyalty Rewards Blast,292292.90,105,2783.74,503.10,4967.54
Adidas,Large Malls / Complexes,Manager,Mega Weekend Bonanza,294225.53,104,2829.09,650.91,4951.61
Adidas,Large Malls / Complexes,Manager,Mid-Year Madness,291536.31,109,2674.65,501.32,4981.55
Adidas,Large Malls / Complexes,Manager,Midnight Madness,322366.39,115,2803.19,556.43,4938.34
Adidas,Large Malls / Complexes,Manager,Mystery Discount Days,297157.24,100,2971.57,542.39,4953.52
Adidas,Large Malls / Complexes,Manager,New Arrival Showcase,273688.96,102,2683.23,513.56,4982.07
