brand,customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Large Malls / Complexes,Manager,12 Days of Deals,31956.80,13,2458.22,604.58,4606.73
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Autumn Deals Drive,31771.35,9,3530.15,1159.03,4909.61
Adidas,Budget Shopper,Large Malls / Complexes,Manager,BOGO Blitz,11633.40,4,2908.35,1339.64,4835.87
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Back to School Boost,38406.34,12,3200.53,1020.97,4885.75
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Birthday Bash Sale,34640.74,12,2886.73,546.22,4819.63
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Black Friday Blowout,24941.93,9,2771.33,703.67,4839.75
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Cart Crasher Campaign,40597.42,14,2899.82,1217.71,4543.35
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Cashback Carnival,21546.15,10,2154.62,819.14,4089.96
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Clearance Countdown,38073.43,12,3172.79,1838.98,4703.49
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Countdown to Savings,34289.77,12,2857.48,918.25,4790.70
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Customer Appreciation Week,25946.59,11,2358.78,674.54,4390.85
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Cyber Monday Mania,33863.13,10,3386.31,1885.90,4986.22
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Deal of the Month,53941.19,16,3371.32,652.85,4855.05
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Double Points Bonanza,36727.81,11,3338.89,1225.74,4742.72
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Early Bird Specials,38006.07,11,3455.10,809.30,4977.12
Adidas,Budget Shopper,Large Malls / Complexes,Manager,End of Season Sale,15005.86,6,2500.98,585.97,4878.44
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Exclusive Insider Offers,28954.87,13,2227.30,609.55,4594.57
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Festive Fever Promo,31704.58,10,3170.46,1508.76,4976.80
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Final Call Frenzy,26627.23,9,2958.58,1423.46,4862.72
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Flash Frenzy Friday,21320.40,8,2665.05,612.03,4829.29
Adidas,Budget Shopper,Large Malls / Complexes,Manager,"Gift More, Spend Less",36710.67,11,3337.33,1093.85,4908.46
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Golden Hour Bargains,29599.86,10,2959.99,1669.79,4431.20
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Green Weekend Deals,39432.56,12,3286.05,806.20,4782.62
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Happy Hour Discounts,14281.38,6,2380.23,1092.15,4112.96
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Holiday Shopping Rush,34970.16,11,3179.11,764.06,4978.37
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Hot Picks Promo,22803.32,9,2533.70,666.80,4585.31
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Instant Gratification Sale,26597.78,9,2955.31,779.07,4968.95
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Limited Time Treasures,20823.23,8,2602.90,500.43,4983.53
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Loyalty Rewards Blast,25193.33,10,2519.33,935.97,4421.66
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Mega Weekend Bonanza,24238.89,8,3029.86,969.27,4275.82
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Mid-Year Madness,25931.31,9,2881.26,1123.24,4741.75
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Midnight Madness,22096.66,9,2455.18,937.07,3655.82
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Mystery Discount Days,16637.29,5,3327.46,1387.96,4767.71
Adidas,Budget Shopper,Large Malls / Complexes,Manager,New Arrival Showcase,32856.07,10,3285.61,918.57,4517.57
Adidas,Budget Shopper,Large Malls / Complexes,Manager,New Product Launch Promo,32013.96,12,2667.83,693.47,4232.19
Adidas,Budget Shopper,Large Malls / Complexes,Manager,New Year Kickoff,14801.45,6,2466.91,796.07,4188.71
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Price Drop Parade,30815.91,11,2801.45,555.57,4761.20
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Red Tag Clearance,19043.10,7,2720.44,547.87,4413.83
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Seasonal Surprise Box,38558.14,12,3213.18,811.33,4836.04
Adidas,Budget Shopper,Large Malls / Complexes,Manager,Shop & Save Spectacular,36815.49,11,3346.86,1228.11,4960.40
