category,brand,customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,12 Days of Deals,9483.11,3,3161.04,2533.54,3693.21
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Autumn Deals Drive,17639.04,5,3527.81,1159.03,4909.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,BOGO Blitz,10039.31,3,3346.44,1339.64,4835.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Back to School Boost,28351.24,8,3543.90,2459.62,4885.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Birthday Bash Sale,19408.84,7,2772.69,1852.18,4210.52
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Black Friday Blowout,7891.05,2,3945.53,3051.30,4839.75
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Cart Crasher Campaign,19644.78,6,3274.13,1395.24,4463.49
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Cashback Carnival,16798.48,7,2399.78,1172.05,4089.96
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Clearance Countdown,27069.61,8,3383.70,2353.33,4434.47
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Countdown to Savings,17081.32,6,2846.89,1560.99,4007.13
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Customer Appreciation Week,17175.77,7,2453.68,674.54,4390.85
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Cyber Monday Mania,17560.12,6,2926.69,1885.90,4540.91
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Deal of the Month,42847.27,13,3295.94,652.85,4780.63
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Double Points Bonanza,14981.69,5,2996.34,1738.29,4504.49
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Early Bird Specials,8363.32,3,2787.77,809.30,4679.48
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,End of Season Sale,6823.34,3,2274.45,585.97,4877.60
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Manager,Exclusive Insider Offers,15021.09,7,2145.87,890.05,4594.57
