category,customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Large Malls / Complexes,Manager,12 Days of Deals,65593.61,23,2851.90,585.28,4991.32
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Autumn Deals Drive,73754.15,24,3073.09,501.91,4909.61
Clothing,Budget Shopper,Large Malls / Complexes,Manager,BOGO Blitz,73155.11,21,3483.58,1339.64,4907.54
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Back to School Boost,89754.59,30,2991.82,860.40,4885.75
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Birthday Bash Sale,74373.47,26,2860.52,725.10,4894.15
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Black Friday Blowout,82256.32,35,2350.18,502.21,4839.75
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Cart Crasher Campaign,89728.82,32,2804.03,564.06,4986.36
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Cashback Carnival,99660.31,33,3020.01,604.02,4583.68
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Clearance Countdown,63219.86,25,2528.79,554.47,4784.54
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Countdown to Savings,72878.84,26,2803.03,532.98,4737.89
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Customer Appreciation Week,69519.42,26,2673.82,605.18,4943.12
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Cyber Monday Mania,62543.28,21,2978.25,777.24,4839.55
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Deal of the Month,98290.35,34,2890.89,610.76,4780.63
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Double Points Bonanza,81064.91,27,3002.40,538.92,4926.65
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Early Bird Specials,80014.40,27,2963.50,728.27,4810.06
Clothing,Budget Shopper,Large Malls / Complexes,Manager,End of Season Sale,52494.32,19,2762.86,531.95,4880.19
Clothing,Budget Shopper,Large Malls / Complexes,Manager,Exclusive Insider Offers,71782.98,29,2475.28,650.11,4777.61
