category,brand,customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,12 Days of Deals,226481.52,86,2633.51,505.04,4954.87
Clothing,Adidas,Budget Shopper,Autumn Deals Drive,167233.97,64,2613.03,526.60,4982.16
Clothing,Adidas,Budget Shopper,BOGO Blitz,208516.42,76,2743.64,556.73,4973.52
Clothing,Adidas,Budget Shopper,Back to School Boost,196608.35,73,2693.27,510.39,4910.61
Clothing,Adidas,Budget Shopper,Birthday Bash Sale,187611.95,72,2605.72,518.24,4929.82
Clothing,Adidas,Budget Shopper,Black Friday Blowout,196976.22,72,2735.78,576.66,4939.70
Clothing,Adidas,Budget Shopper,Cart Crasher Campaign,203475.56,65,3130.39,571.88,4931.02
Clothing,Adidas,Budget Shopper,Cashback Carnival,187137.43,75,2495.17,534.21,4951.70
Clothing,Adidas,Budget Shopper,Clearance Countdown,162642.73,59,2756.66,503.98,4949.25
Clothing,Adidas,Budget Shopper,Countdown to Savings,173052.17,61,2836.92,516.38,4966.52
Clothing,Adidas,Budget Shopper,Customer Appreciation Week,153032.30,58,2638.49,523.17,4801.35
Clothing,Adidas,Budget Shopper,Cyber Monday Mania,189980.71,70,2714.01,551.31,4993.46
Clothing,Adidas,Budget Shopper,Deal of the Month,216088.53,73,2960.12,598.75,4907.31
Clothing,Adidas,Budget Shopper,Double Points Bonanza,173053.17,68,2544.90,544.68,4935.43
Clothing,Adidas,Budget Shopper,Early Bird Specials,179998.56,62,2903.20,753.22,4996.74
Clothing,Adidas,Budget Shopper,End of Season Sale,200724.71,67,2995.89,585.97,4898.24
Clothing,Adidas,Budget Shopper,Exclusive Insider Offers,156837.82,65,2412.89,545.22,4884.21
Clothing,Adidas,Budget Shopper,Festive Fever Promo,164687.99,61,2699.80,623.75,4892.93
Clothing,Adidas,Budget Shopper,Final Call Frenzy,248200.81,79,3141.78,673.62,4989.90
Clothing,Adidas,Budget Shopper,Flash Frenzy Friday,170789.28,59,2894.73,501.20,4942.19
Clothing,Adidas,Budget Shopper,"Gift More, Spend Less",154416.20,50,3088.32,561.37,4988.68
Clothing,Adidas,Budget Shopper,Golden Hour Bargains,129893.48,51,2546.93,523.61,4795.87
Clothing,Adidas,Budget Shopper,Green Weekend Deals,173829.47,65,2674.30,539.17,4926.07
Clothing,Adidas,Budget Shopper,Happy Hour Discounts,124085.54,51,2433.05,602.38,4842.63
Clothing,Adidas,Budget Shopper,Holiday Shopping Rush,193678.62,65,2979.67,568.36,4906.00
Clothing,Adidas,Budget Shopper,Hot Picks Promo,191174.69,70,2731.07,666.80,4980.54
Clothing,Adidas,Budget Shopper,Instant Gratification Sale,162216.58,60,2703.61,522.75,4994.90
Clothing,Adidas,Budget Shopper,Limited Time Treasures,184384.63,64,2881.01,618.48,4983.53
Clothing,Adidas,Budget Shopper,Loyalty Rewards Blast,147470.15,55,2681.28,672.31,4971.65
Clothing,Adidas,Budget Shopper,Mega Weekend Bonanza,166699.59,61,2732.78,574.73,4980.14
Clothing,Adidas,Budget Shopper,Mid-Year Madness,139572.38,59,2365.63,509.13,4741.75
