category,brand,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Large Malls / Complexes,12 Days of Deals,549516.40,206,2667.56,501.08,4972.86
Clothing,Adidas,Large Malls / Complexes,Autumn Deals Drive,566057.42,202,2802.26,560.46,4982.21
Clothing,Adidas,Large Malls / Complexes,BOGO Blitz,635728.18,225,2825.46,523.98,4998.71
Clothing,Adidas,Large Malls / Complexes,Back to School Boost,605377.82,218,2776.96,518.87,4980.54
Clothing,Adidas,Large Malls / Complexes,Birthday Bash Sale,628805.67,219,2871.26,526.11,4994.20
Clothing,Adidas,Large Malls / Complexes,Black Friday Blowout,616622.77,220,2802.83,502.05,4964.85
Clothing,Adidas,Large Malls / Complexes,Cart Crasher Campaign,567564.10,203,2795.88,540.89,4994.25
Clothing,Adidas,Large Malls / Complexes,Cashback Carnival,561216.24,211,2659.79,502.29,4971.77
Clothing,Adidas,Large Malls / Complexes,Clearance Countdown,589023.50,222,2653.26,503.83,4995.33
Clothing,Adidas,Large Malls / Complexes,Countdown to Savings,485368.55,177,2742.20,588.51,4900.14
Clothing,Adidas,Large Malls / Complexes,Customer Appreciation Week,627827.89,225,2790.35,510.44,4994.47
Clothing,Adidas,Large Malls / Complexes,Cyber Monday Mania,558502.20,199,2806.54,548.84,4986.44
Clothing,Adidas,Large Malls / Complexes,Deal of the Month,619339.69,217,2854.10,504.75,4950.00
Clothing,Adidas,Large Malls / Complexes,Double Points Bonanza,603562.24,214,2820.38,506.41,4995.71
Clothing,Adidas,Large Malls / Complexes,Early Bird Specials,628836.09,226,2782.46,548.17,4993.12
Clothing,Adidas,Large Malls / Complexes,End of Season Sale,621663.66,219,2838.65,511.79,4997.48
Clothing,Adidas,Large Malls / Complexes,Exclusive Insider Offers,652413.54,227,2874.07,590.62,4984.33
Clothing,Adidas,Large Malls / Complexes,Festive Fever Promo,613849.08,212,2895.51,532.59,4980.87
Clothing,Adidas,Large Malls / Complexes,Final Call Frenzy,534648.40,198,2700.24,525.27,4978.28
Clothing,Adidas,Large Malls / Complexes,Flash Frenzy Friday,582107.70,215,2707.48,519.52,4938.82
Clothing,Adidas,Large Malls / Complexes,"Gift More, Spend Less",526069.65,195,2697.79,532.59,4945.55
Clothing,Adidas,Large Malls / Complexes,Golden Hour Bargains,566726.66,203,2791.76,511.16,4999.76
Clothing,Adidas,Large Malls / Complexes,Green Weekend Deals,521936.03,196,2662.94,513.09,4999.76
Clothing,Adidas,Large Malls / Complexes,Happy Hour Discounts,489029.13,176,2778.57,505.67,4994.51
Clothing,Adidas,Large Malls / Complexes,Holiday Shopping Rush,622107.10,215,2893.52,506.77,4973.96
Clothing,Adidas,Large Malls / Complexes,Hot Picks Promo,567921.33,204,2783.93,544.41,4968.49
Clothing,Adidas,Large Malls / Complexes,Instant Gratification Sale,638991.94,225,2839.96,509.42,4997.63
Clothing,Adidas,Large Malls / Complexes,Limited Time Treasures,513890.54,189,2719.00,512.09,4983.53
Clothing,Adidas,Large Malls / Complexes,Loyalty Rewards Blast,547927.33,201,2726.01,505.10,4971.34
Clothing,Adidas,Large Malls / Complexes,Mega Weekend Bonanza,503015.00,186,2704.38,537.88,4966.53
Clothing,Adidas,Large Malls / Complexes,Mid-Year Madness,541796.06,204,2655.86,501.32,4989.23
Clothing,Adidas,Large Malls / Complexes,Midnight Madness,590686.61,215,2747.38,512.27,4952.37
Clothing,Adidas,Large Malls / Complexes,Mystery Discount Days,613690.15,213,2881.17,530.68,4976.22
Clothing,Adidas,Large Malls / Complexes,New Arrival Showcase,559573.73,212,2639.50,513.68,4910.75
Clothing,Adidas,Large Malls / Complexes,New Product Launch Promo,502797.76,187,2688.76,500.83,4999.95
Clothing,Adidas,Large Malls / Complexes,New Year Kickoff,559371.74,221,2531.09,502.81,4991.46
Clothing,Adidas,Large Malls / Complexes,Price Drop Parade,535255.21,206,2598.33,507.14,4989.39
Clothing,Adidas,Large Malls / Complexes,Red Tag Clearance,545630.32,198,2755.71,517.61,4989.71
Clothing,Adidas,Large Malls / Complexes,Seasonal Surprise Box,536808.25,197,2724.91,500.11,4973.71
Clothing,Adidas,Large Malls / Complexes,Shop & Save Spectacular,569714.91,205,2779.10,511.32,4992.75
Clothing,Adidas,Large Malls / Complexes,Smart Shopper Week,574329.22,220,2610.59,544.05,4999.86
Clothing,Adidas,Large Malls / Complexes,Spring Refresh Event,625088.63,215,2907.39,567.95,4985.65
Clothing,Adidas,Large Malls / Complexes,Spring Splash Discounts,537027.61,193,2782.53,535.63,4956.96
Clothing,Adidas,Large Malls / Complexes,Summer Sizzle Promo,679564.73,239,2843.37,506.00,4984.71
Clothing,Adidas,Large Malls / Complexes,Super Savings Week,622159.17,225,2765.15,522.46,4986.46
Clothing,Adidas,Large Malls / Complexes,Ultimate Value Event,593347.20,221,2684.83,513.09,4989.43
Clothing,Adidas,Large Malls / Complexes,VIP Access Sale,541455.33,188,2880.08,647.10,4942.86
Clothing,Adidas,Large Malls / Complexes,Weekend Warrior Specials,656113.09,241,2722.46,542.70,4986.59
Clothing,Adidas,Large Malls / Complexes,Winter Clearance Carnival,546638.44,198,2760.80,526.71,4926.80
Clothing,Adidas,Large Malls / Complexes,Winter Wonders Sale,564231.82,214,2636.60,528.79,4969.49
Clothing,Adidas,Small Stores / Shops,12 Days of Deals,664433.88,237,2803.52,512.27,4987.39
Clothing,Adidas,Small Stores / Shops,Autumn Deals Drive,666799.54,244,2732.78,518.04,4992.48
Clothing,Adidas,Small Stores / Shops,BOGO Blitz,596005.77,222,2684.71,500.64,4991.38
Clothing,Adidas,Small Stores / Shops,Back to School Boost,595770.38,214,2783.97,501.04,4994.39
Clothing,Adidas,Small Stores / Shops,Birthday Bash Sale,636615.57,220,2893.71,500.58,4996.78
Clothing,Adidas,Small Stores / Shops,Black Friday Blowout,618883.23,233,2656.15,562.65,4994.34
Clothing,Adidas,Small Stores / Shops,Cart Crasher Campaign,537582.61,196,2742.77,528.70,4967.90
Clothing,Adidas,Small Stores / Shops,Cashback Carnival,615575.92,229,2688.10,531.51,4961.14
Clothing,Adidas,Small Stores / Shops,Clearance Countdown,516972.15,192,2692.56,511.56,4996.24
Clothing,Adidas,Small Stores / Shops,Countdown to Savings,570510.68,205,2782.98,509.94,4992.78
Clothing,Adidas,Small Stores / Shops,Customer Appreciation Week,623921.86,223,2797.86,503.78,4980.59
Clothing,Adidas,Small Stores / Shops,Cyber Monday Mania,568320.08,209,2719.23,508.76,4993.46
Clothing,Adidas,Small Stores / Shops,Deal of the Month,562377.11,203,2770.33,529.02,4999.41
Clothing,Adidas,Small Stores / Shops,Double Points Bonanza,655902.49,239,2744.36,514.48,4986.54
Clothing,Adidas,Small Stores / Shops,Early Bird Specials,676216.59,241,2805.88,556.33,4995.32
Clothing,Adidas,Small Stores / Shops,End of Season Sale,589298.49,209,2819.61,515.55,4978.41
Clothing,Adidas,Small Stores / Shops,Exclusive Insider Offers,576682.42,207,2785.91,516.58,4951.25
Clothing,Adidas,Small Stores / Shops,Festive Fever Promo,612997.56,210,2919.04,513.73,4909.62
Clothing,Adidas,Small Stores / Shops,Final Call Frenzy,607627.35,226,2688.62,527.10,4992.84
Clothing,Adidas,Small Stores / Shops,Flash Frenzy Friday,510626.84,188,2716.10,584.15,4942.19
Clothing,Adidas,Small Stores / Shops,"Gift More, Spend Less",595524.98,212,2809.08,510.65,4988.68
Clothing,Adidas,Small Stores / Shops,Golden Hour Bargains,580710.50,219,2651.65,506.24,4972.07
Clothing,Adidas,Small Stores / Shops,Green Weekend Deals,553670.64,206,2687.72,522.76,4990.27
Clothing,Adidas,Small Stores / Shops,Happy Hour Discounts,567054.85,211,2687.46,515.80,4969.85
Clothing,Adidas,Small Stores / Shops,Holiday Shopping Rush,617841.88,224,2758.22,542.11,4998.34
Clothing,Adidas,Small Stores / Shops,Hot Picks Promo,643880.66,220,2926.73,520.65,4982.85
Clothing,Adidas,Small Stores / Shops,Instant Gratification Sale,575379.73,204,2820.49,535.85,4994.90
Clothing,Adidas,Small Stores / Shops,Limited Time Treasures,531005.13,205,2590.27,511.13,4916.16
Clothing,Adidas,Small Stores / Shops,Loyalty Rewards Blast,643796.25,227,2836.11,503.40,4989.59
Clothing,Adidas,Small Stores / Shops,Mega Weekend Bonanza,635831.56,222,2864.11,537.81,4996.59
Clothing,Adidas,Small Stores / Shops,Mid-Year Madness,605441.33,224,2702.86,529.64,4927.99
Clothing,Adidas,Small Stores / Shops,Midnight Madness,562240.97,203,2769.66,518.16,4986.14
Clothing,Adidas,Small Stores / Shops,Mystery Discount Days,596054.23,216,2759.51,500.17,4967.22
Clothing,Adidas,Small Stores / Shops,New Arrival Showcase,676021.37,236,2864.50,501.06,4992.69
Clothing,Adidas,Small Stores / Shops,New Product Launch Promo,665785.92,241,2762.60,526.80,4984.79
Clothing,Adidas,Small Stores / Shops,New Year Kickoff,536051.29,203,2640.65,532.30,4930.98
Clothing,Adidas,Small Stores / Shops,Price Drop Parade,586254.81,220,2664.79,503.07,4987.71
Clothing,Adidas,Small Stores / Shops,Red Tag Clearance,664839.75,239,2781.76,518.26,4995.28
Clothing,Adidas,Small Stores / Shops,Seasonal Surprise Box,567966.69,220,2581.67,531.49,4990.98
Clothing,Adidas,Small Stores / Shops,Shop & Save Spectacular,629784.31,241,2613.21,513.48,4951.90
Clothing,Adidas,Small Stores / Shops,Smart Shopper Week,597949.50,222,2693.47,518.72,4991.97
Clothing,Adidas,Small Stores / Shops,Spring Refresh Event,554907.37,206,2693.73,515.97,4995.47
Clothing,Adidas,Small Stores / Shops,Spring Splash Discounts,630369.02,229,2752.70,503.97,4993.32
Clothing,Adidas,Small Stores / Shops,Summer Sizzle Promo,598773.09,226,2649.44,513.93,4975.17
Clothing,Adidas,Small Stores / Shops,Super Savings Week,579198.83,205,2825.36,513.59,4998.86
Clothing,Adidas,Small Stores / Shops,Ultimate Value Event,574084.30,209,2746.81,518.28,4998.36
Clothing,Adidas,Small Stores / Shops,VIP Access Sale,621671.47,218,2851.70,506.38,4978.47
Clothing,Adidas,Small Stores / Shops,Weekend Warrior Specials,551553.17,210,2626.44,502.44,4989.77
Clothing,Adidas,Small Stores / Shops,Winter Clearance Carnival,617613.98,219,2820.16,510.29,4953.01
Clothing,Adidas,Small Stores / Shops,Winter Wonders Sale,591786.45,225,2630.16,554.10,4961.97
Clothing,Adidas,Supermarkets ,12 Days of Deals,633553.39,226,2803.33,505.04,4998.46
Clothing,Adidas,Supermarkets ,Autumn Deals Drive,614712.50,224,2744.25,534.57,4991.85
Clothing,Adidas,Supermarkets ,BOGO Blitz,713645.71,252,2831.93,509.20,4976.65
Clothing,Adidas,Supermarkets ,Back to School Boost,685968.27,251,2732.94,501.52,4999.86
Clothing,Adidas,Supermarkets ,Birthday Bash Sale,559867.59,215,2604.04,515.02,4972.85
Clothing,Adidas,Supermarkets ,Black Friday Blowout,659463.26,244,2702.72,503.18,4977.09
Clothing,Adidas,Supermarkets ,Cart Crasher Campaign,719192.64,262,2745.01,520.56,4950.61
Clothing,Adidas,Supermarkets ,Cashback Carnival,624684.93,228,2739.85,527.96,4982.89
Clothing,Adidas,Supermarkets ,Clearance Countdown,594405.58,225,2641.80,500.53,4993.67
Clothing,Adidas,Supermarkets ,Countdown to Savings,672937.56,254,2649.36,501.16,4996.97
Clothing,Adidas,Supermarkets ,Customer Appreciation Week,590294.39,221,2671.02,527.58,4954.18
Clothing,Adidas,Supermarkets ,Cyber Monday Mania,644879.20,243,2653.82,516.07,4990.65
Clothing,Adidas,Supermarkets ,Deal of the Month,692450.30,257,2694.36,520.13,4989.69
Clothing,Adidas,Supermarkets ,Double Points Bonanza,554006.82,209,2650.75,510.59,4958.93
Clothing,Adidas,Supermarkets ,Early Bird Specials,632342.62,217,2914.02,504.93,4996.74
Clothing,Adidas,Supermarkets ,End of Season Sale,632461.48,230,2749.83,532.31,4987.68
Clothing,Adidas,Supermarkets ,Exclusive Insider Offers,653585.24,241,2711.97,508.78,4969.33
