category,customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Large Malls / Complexes,14567615.93,5248,2775.84,501.91,4999.95
Clothing,Budget Shopper,Small Stores / Shops,15516263.25,5675,2734.14,504.90,4999.08
Clothing,Budget Shopper,Supermarkets ,15638325.10,5677,2754.68,501.09,4999.85
Clothing,Churn Risk,Large Malls / Complexes,14332006.43,5260,2724.72,500.82,4999.91
Clothing,Churn Risk,Small Stores / Shops,15702940.61,5712,2749.11,500.57,4999.45
Clothing,Churn Risk,Supermarkets ,15763643.71,5742,2745.32,500.17,4998.98
Clothing,Deal Seeker,Large Malls / Complexes,14924893.02,5434,2746.58,501.32,4998.00
Clothing,Deal Seeker,Small Stores / Shops,15568725.01,5678,2741.94,500.14,4999.81
Clothing,Deal Seeker,Supermarkets ,15726753.75,5749,2735.56,500.07,4999.01
Clothing,First-time Buyer,Large Malls / Complexes,14554698.27,5256,2769.16,500.37,4999.45
Clothing,First-time Buyer,Small Stores / Shops,15281197.99,5526,2765.33,501.06,4999.82
Clothing,First-time Buyer,Supermarkets ,15608813.96,5643,2766.05,500.27,4999.98
Clothing,High Value,Large Malls / Complexes,14398235.01,5229,2753.54,501.00,4999.71
Clothing,High Value,Small Stores / Shops,15280707.40,5532,2762.24,500.17,4999.95
Clothing,High Value,Supermarkets ,15720204.48,5779,2720.23,500.45,4999.38
Clothing,In-Store Regular,Large Malls / Complexes,13898227.51,5061,2746.14,500.60,4999.80
Clothing,In-Store Regular,Small Stores / Shops,15395523.19,5605,2746.75,500.64,4999.49
Clothing,In-Store Regular,Supermarkets ,15667728.29,5692,2752.59,501.02,4999.33
Clothing,Loyal Customer,Large Malls / Complexes,14682718.45,5322,2758.87,500.18,4999.97
Clothing,Loyal Customer,Small Stores / Shops,15324687.95,5576,2748.33,500.50,4999.68
Clothing,Loyal Customer,Supermarkets ,15911227.85,5800,2743.32,501.94,4999.85
Clothing,Occasional Shopper,Large Malls / Complexes,14461057.57,5291,2733.14,501.20,4999.19
Clothing,Occasional Shopper,Small Stores / Shops,15650638.37,5625,2782.34,500.65,4999.06
Clothing,Occasional Shopper,Supermarkets ,16047869.29,5833,2751.22,501.26,4999.75
Clothing,Online Shopper,Large Malls / Complexes,14591850.36,5269,2769.38,500.11,4999.60
Clothing,Online Shopper,Small Stores / Shops,15503475.56,5589,2773.93,501.14,4999.41
Clothing,Online Shopper,Supermarkets ,15904508.80,5782,2750.69,500.12,4998.52
Clothing,Premium Shopper,Large Malls / Complexes,13922761.92,5154,2701.35,500.72,4999.76
Clothing,Premium Shopper,Small Stores / Shops,15108887.88,5435,2779.92,500.07,4998.56
Clothing,Premium Shopper,Supermarkets ,15713639.76,5681,2766.00,502.77,4998.60
Electronics,Budget Shopper,Large Malls / Complexes,14424713.71,5210,2768.66,500.55,4999.40
Electronics,Budget Shopper,Small Stores / Shops,15325552.65,5500,2786.46,500.59,4999.28
Electronics,Budget Shopper,Supermarkets ,15662703.07,5687,2754.12,501.31,4998.92
Electronics,Churn Risk,Large Malls / Complexes,14378349.88,5238,2745.01,500.60,4997.94
Electronics,Churn Risk,Small Stores / Shops,15314856.42,5615,2727.49,500.20,4999.69
Electronics,Churn Risk,Supermarkets ,16231713.10,5885,2758.15,500.17,4999.64
Electronics,Deal Seeker,Large Malls / Complexes,14394782.59,5237,2748.67,500.80,4999.77
Electronics,Deal Seeker,Small Stores / Shops,15731883.51,5688,2765.80,500.14,4999.82
Electronics,Deal Seeker,Supermarkets ,15879931.41,5836,2721.03,503.53,4999.95
Electronics,First-time Buyer,Large Malls / Complexes,14766006.38,5351,2759.49,501.91,4999.78
Electronics,First-time Buyer,Small Stores / Shops,15117057.54,5546,2725.76,500.72,4999.20
Electronics,First-time Buyer,Supermarkets ,15812124.95,5695,2776.49,500.13,4999.96
Electronics,High Value,Large Malls / Complexes,14383966.60,5207,2762.43,500.64,4999.45
Electronics,High Value,Small Stores / Shops,15772281.82,5709,2762.70,501.00,4998.48
Electronics,High Value,Supermarkets ,15450661.27,5680,2720.19,501.98,4999.96
Electronics,In-Store Regular,Large Malls / Complexes,14468089.39,5280,2740.17,500.25,4999.96
Electronics,In-Store Regular,Small Stores / Shops,15473019.52,5636,2745.39,500.80,4999.96
Electronics,In-Store Regular,Supermarkets ,15882521.34,5779,2748.32,500.05,4999.60
Electronics,Loyal Customer,Large Malls / Complexes,14439697.28,5250,2750.42,502.33,4999.83
Electronics,Loyal Customer,Small Stores / Shops,15335733.11,5594,2741.46,500.08,4999.80
Electronics,Loyal Customer,Supermarkets ,15896021.54,5750,2764.53,500.20,4999.15
Electronics,Occasional Shopper,Large Malls / Complexes,14878473.41,5376,2767.57,501.55,4998.42
Electronics,Occasional Shopper,Small Stores / Shops,15829340.87,5704,2775.13,500.15,4997.93
Electronics,Occasional Shopper,Supermarkets ,15811918.92,5750,2749.90,501.39,4999.63
