category,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Large Malls / Complexes,12 Days of Deals,277951.65,109,2550.02,502.32,4991.32
Clothing,Budget Shopper,Large Malls / Complexes,Autumn Deals Drive,265597.35,93,2855.89,501.91,4982.16
Clothing,Budget Shopper,Large Malls / Complexes,BOGO Blitz,343012.76,110,3118.30,556.73,4973.52
Clothing,Budget Shopper,Large Malls / Complexes,Back to School Boost,269624.83,100,2696.25,522.75,4972.30
Clothing,Budget Shopper,Large Malls / Complexes,Birthday Bash Sale,310245.17,117,2651.67,553.64,4894.15
Clothing,Budget Shopper,Large Malls / Complexes,Black Friday Blowout,371588.69,128,2903.04,502.21,4880.99
Clothing,Budget Shopper,Large Malls / Complexes,Cart Crasher Campaign,315834.83,111,2845.36,564.06,4986.36
Clothing,Budget Shopper,Large Malls / Complexes,Cashback Carnival,342548.53,122,2807.77,502.91,4904.95
Clothing,Budget Shopper,Large Malls / Complexes,Clearance Countdown,288963.99,105,2752.04,515.41,4949.25
Clothing,Budget Shopper,Large Malls / Complexes,Countdown to Savings,295141.26,108,2732.79,532.98,4891.07
Clothing,Budget Shopper,Large Malls / Complexes,Customer Appreciation Week,288023.42,97,2969.31,530.75,4971.29
Clothing,Budget Shopper,Large Malls / Complexes,Cyber Monday Mania,280359.89,107,2620.19,556.86,4874.60
Clothing,Budget Shopper,Large Malls / Complexes,Deal of the Month,318802.02,108,2951.87,610.76,4923.29
Clothing,Budget Shopper,Large Malls / Complexes,Double Points Bonanza,380580.42,138,2757.83,518.64,4953.09
Clothing,Budget Shopper,Large Malls / Complexes,Early Bird Specials,241076.12,91,2649.19,559.75,4930.21
Clothing,Budget Shopper,Large Malls / Complexes,End of Season Sale,327529.68,115,2848.08,530.68,4880.19
Clothing,Budget Shopper,Large Malls / Complexes,Exclusive Insider Offers,272022.79,101,2693.29,608.60,4968.06
Clothing,Budget Shopper,Large Malls / Complexes,Festive Fever Promo,262639.43,98,2679.99,531.23,4953.62
Clothing,Budget Shopper,Large Malls / Complexes,Final Call Frenzy,281640.83,94,2996.18,528.82,4984.47
Clothing,Budget Shopper,Large Malls / Complexes,Flash Frenzy Friday,317242.33,107,2964.88,578.82,4855.23
Clothing,Budget Shopper,Large Malls / Complexes,"Gift More, Spend Less",251378.24,92,2732.37,518.98,4973.16
Clothing,Budget Shopper,Large Malls / Complexes,Golden Hour Bargains,216660.82,76,2850.80,523.61,4867.32
Clothing,Budget Shopper,Large Malls / Complexes,Green Weekend Deals,330261.15,119,2775.30,586.56,4999.01
Clothing,Budget Shopper,Large Malls / Complexes,Happy Hour Discounts,285709.22,113,2528.40,529.17,4910.52
Clothing,Budget Shopper,Large Malls / Complexes,Holiday Shopping Rush,340008.41,113,3008.92,523.17,4992.48
Clothing,Budget Shopper,Large Malls / Complexes,Hot Picks Promo,285934.30,110,2599.40,528.76,4969.03
Clothing,Budget Shopper,Large Malls / Complexes,Instant Gratification Sale,286501.69,102,2808.84,522.75,4984.14
Clothing,Budget Shopper,Large Malls / Complexes,Limited Time Treasures,305070.36,115,2652.79,545.66,4983.53
Clothing,Budget Shopper,Large Malls / Complexes,Loyalty Rewards Blast,333255.16,115,2897.87,668.92,4955.73
Clothing,Budget Shopper,Large Malls / Complexes,Mega Weekend Bonanza,277578.61,99,2803.82,578.93,4961.17
Clothing,Budget Shopper,Large Malls / Complexes,Mid-Year Madness,336373.32,124,2712.69,509.13,4956.91
Clothing,Budget Shopper,Large Malls / Complexes,Midnight Madness,273632.70,95,2880.34,516.66,4943.81
Clothing,Budget Shopper,Large Malls / Complexes,Mystery Discount Days,309821.70,113,2741.78,613.27,4970.10
Clothing,Budget Shopper,Large Malls / Complexes,New Arrival Showcase,264801.81,93,2847.33,569.37,4947.99
Clothing,Budget Shopper,Large Malls / Complexes,New Product Launch Promo,300832.23,107,2811.52,519.61,4999.95
Clothing,Budget Shopper,Large Malls / Complexes,New Year Kickoff,252905.88,92,2748.98,560.26,4956.68
Clothing,Budget Shopper,Large Malls / Complexes,Price Drop Parade,245443.00,92,2667.86,506.30,4972.82
Clothing,Budget Shopper,Large Malls / Complexes,Red Tag Clearance,311385.41,108,2883.20,535.29,4929.84
Clothing,Budget Shopper,Large Malls / Complexes,Seasonal Surprise Box,277449.73,93,2983.33,550.71,4984.25
Clothing,Budget Shopper,Large Malls / Complexes,Shop & Save Spectacular,320283.57,114,2809.50,617.81,4992.75
Clothing,Budget Shopper,Large Malls / Complexes,Smart Shopper Week,279634.99,104,2688.80,538.77,4985.85
Clothing,Budget Shopper,Large Malls / Complexes,Spring Refresh Event,217838.58,77,2829.07,635.15,4963.59
Clothing,Budget Shopper,Large Malls / Complexes,Spring Splash Discounts,278021.37,108,2574.27,523.19,4993.20
Clothing,Budget Shopper,Large Malls / Complexes,Summer Sizzle Promo,252697.73,92,2746.71,513.95,4982.52
Clothing,Budget Shopper,Large Malls / Complexes,Super Savings Week,257750.50,95,2713.16,532.71,4880.87
Clothing,Budget Shopper,Large Malls / Complexes,Ultimate Value Event,313134.67,113,2771.10,537.39,4999.12
Clothing,Budget Shopper,Large Malls / Complexes,VIP Access Sale,274449.84,105,2613.81,507.99,4986.57
Clothing,Budget Shopper,Large Malls / Complexes,Weekend Warrior Specials,262396.28,100,2623.96,529.00,4951.04
Clothing,Budget Shopper,Large Malls / Complexes,Winter Clearance Carnival,313109.53,109,2872.56,562.28,4899.53
Clothing,Budget Shopper,Large Malls / Complexes,Winter Wonders Sale,262869.14,101,2602.66,587.71,4969.49
Clothing,Budget Shopper,Small Stores / Shops,12 Days of Deals,307189.08,111,2767.47,585.70,4957.65
Clothing,Budget Shopper,Small Stores / Shops,Autumn Deals Drive,324214.45,128,2532.93,525.01,4990.58
Clothing,Budget Shopper,Small Stores / Shops,BOGO Blitz,350594.21,120,2921.62,635.44,4969.91
Clothing,Budget Shopper,Small Stores / Shops,Back to School Boost,331011.12,121,2735.63,515.93,4986.50
Clothing,Budget Shopper,Small Stores / Shops,Birthday Bash Sale,262007.68,101,2594.14,565.33,4992.91
Clothing,Budget Shopper,Small Stores / Shops,Black Friday Blowout,349019.55,124,2814.67,568.13,4894.40
Clothing,Budget Shopper,Small Stores / Shops,Cart Crasher Campaign,341460.42,124,2753.71,557.26,4996.24
Clothing,Budget Shopper,Small Stores / Shops,Cashback Carnival,363246.49,127,2860.21,538.21,4982.95
Clothing,Budget Shopper,Small Stores / Shops,Clearance Countdown,282934.25,103,2746.93,511.56,4988.20
Clothing,Budget Shopper,Small Stores / Shops,Countdown to Savings,323392.99,117,2764.04,516.38,4956.58
Clothing,Budget Shopper,Small Stores / Shops,Customer Appreciation Week,241506.54,93,2596.84,523.17,4936.72
Clothing,Budget Shopper,Small Stores / Shops,Cyber Monday Mania,279966.45,102,2744.77,505.15,4993.46
Clothing,Budget Shopper,Small Stores / Shops,Deal of the Month,312894.27,119,2629.36,598.75,4991.80
Clothing,Budget Shopper,Small Stores / Shops,Double Points Bonanza,375576.61,136,2761.59,624.32,4995.86
Clothing,Budget Shopper,Small Stores / Shops,Early Bird Specials,273212.31,104,2627.04,514.49,4944.17
Clothing,Budget Shopper,Small Stores / Shops,End of Season Sale,293610.20,113,2598.32,527.84,4928.72
Clothing,Budget Shopper,Small Stores / Shops,Exclusive Insider Offers,298822.08,111,2692.09,589.82,4924.37
Clothing,Budget Shopper,Small Stores / Shops,Festive Fever Promo,252567.96,96,2630.92,561.77,4810.71
Clothing,Budget Shopper,Small Stores / Shops,Final Call Frenzy,347062.02,123,2821.64,530.47,4989.90
Clothing,Budget Shopper,Small Stores / Shops,Flash Frenzy Friday,285346.21,101,2825.21,585.75,4996.58
Clothing,Budget Shopper,Small Stores / Shops,"Gift More, Spend Less",312921.31,107,2924.50,714.20,4988.68
Clothing,Budget Shopper,Small Stores / Shops,Golden Hour Bargains,296805.10,109,2722.98,644.30,4996.69
Clothing,Budget Shopper,Small Stores / Shops,Green Weekend Deals,301632.96,108,2792.90,559.58,4987.56
Clothing,Budget Shopper,Small Stores / Shops,Happy Hour Discounts,310763.20,117,2656.10,540.55,4870.97
Clothing,Budget Shopper,Small Stores / Shops,Holiday Shopping Rush,354655.09,121,2931.03,507.94,4967.70
Clothing,Budget Shopper,Small Stores / Shops,Hot Picks Promo,302923.35,108,2804.85,526.96,4984.66
Clothing,Budget Shopper,Small Stores / Shops,Instant Gratification Sale,262594.10,96,2735.36,516.12,4994.90
Clothing,Budget Shopper,Small Stores / Shops,Limited Time Treasures,335960.45,124,2709.36,504.90,4997.38
Clothing,Budget Shopper,Small Stores / Shops,Loyalty Rewards Blast,293605.94,105,2796.25,596.40,4946.41
Clothing,Budget Shopper,Small Stores / Shops,Mega Weekend Bonanza,333904.66,121,2759.54,512.13,4901.48
Clothing,Budget Shopper,Small Stores / Shops,Mid-Year Madness,313103.94,112,2795.57,505.48,4964.76
Clothing,Budget Shopper,Small Stores / Shops,Midnight Madness,315940.34,125,2527.52,509.57,4920.45
Clothing,Budget Shopper,Small Stores / Shops,Mystery Discount Days,258785.10,94,2753.03,538.53,4975.27
Clothing,Budget Shopper,Small Stores / Shops,New Arrival Showcase,281264.99,101,2784.80,569.95,4966.36
Clothing,Budget Shopper,Small Stores / Shops,New Product Launch Promo,311023.50,110,2827.49,507.38,4942.23
Clothing,Budget Shopper,Small Stores / Shops,New Year Kickoff,356816.90,128,2787.63,560.55,4973.48
Clothing,Budget Shopper,Small Stores / Shops,Price Drop Parade,254384.93,103,2469.76,507.96,4928.45
Clothing,Budget Shopper,Small Stores / Shops,Red Tag Clearance,312845.52,110,2844.05,521.54,4996.92
Clothing,Budget Shopper,Small Stores / Shops,Seasonal Surprise Box,364628.71,135,2700.95,578.21,4961.02
Clothing,Budget Shopper,Small Stores / Shops,Shop & Save Spectacular,338587.62,119,2845.27,511.64,4997.51
Clothing,Budget Shopper,Small Stores / Shops,Smart Shopper Week,345698.34,126,2743.64,554.36,4965.91
Clothing,Budget Shopper,Small Stores / Shops,Spring Refresh Event,286829.28,106,2705.94,516.01,4939.65
