category,customer_segment,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Large Malls / Complexes,Manager,3557165.34,1282,2774.70,501.91,4999.12
Clothing,Budget Shopper,Large Malls / Complexes,Sales Associate,3904408.13,1417,2755.40,502.91,4992.75
Clothing,Budget Shopper,Large Malls / Complexes,Salesperson,3821200.32,1357,2815.92,502.32,4999.95
Clothing,Budget Shopper,Large Malls / Complexes,Senior Salesperson,3284842.13,1192,2755.74,507.99,4999.01
Clothing,Budget Shopper,Small Stores / Shops,Manager,3963118.21,1449,2735.07,504.90,4997.51
Clothing,Budget Shopper,Small Stores / Shops,Sales Associate,4017736.17,1484,2707.37,507.40,4998.36
Clothing,Budget Shopper,Small Stores / Shops,Salesperson,3942534.93,1445,2728.40,505.48,4996.58
Clothing,Budget Shopper,Small Stores / Shops,Senior Salesperson,3592873.95,1297,2770.14,505.15,4999.08
Clothing,Budget Shopper,Supermarkets ,Manager,3782113.72,1357,2787.11,503.98,4996.74
Clothing,Budget Shopper,Supermarkets ,Sales Associate,4229359.70,1538,2749.91,501.09,4999.85
Clothing,Budget Shopper,Supermarkets ,Salesperson,4009422.59,1467,2733.08,501.20,4999.17
Clothing,Budget Shopper,Supermarkets ,Senior Salesperson,3617429.10,1315,2750.90,503.90,4985.99
Clothing,Churn Risk,Large Malls / Complexes,Manager,3555812.99,1317,2699.93,503.81,4998.58
Clothing,Churn Risk,Large Malls / Complexes,Sales Associate,3751931.80,1360,2758.77,501.38,4999.91
Clothing,Churn Risk,Large Malls / Complexes,Salesperson,3789664.30,1388,2730.31,500.82,4999.18
Clothing,Churn Risk,Large Malls / Complexes,Senior Salesperson,3234597.34,1195,2706.78,501.92,4999.86
Clothing,Churn Risk,Small Stores / Shops,Manager,3962258.85,1429,2772.75,508.22,4995.97
Clothing,Churn Risk,Small Stores / Shops,Sales Associate,3930703.78,1483,2650.51,500.57,4996.24
Clothing,Churn Risk,Small Stores / Shops,Salesperson,4234034.47,1509,2805.85,504.24,4999.45
Clothing,Churn Risk,Small Stores / Shops,Senior Salesperson,3575943.51,1291,2769.90,513.55,4998.85
Clothing,Churn Risk,Supermarkets ,Manager,3937232.61,1445,2724.73,500.17,4997.44
Clothing,Churn Risk,Supermarkets ,Sales Associate,4230319.72,1537,2752.32,502.65,4998.40
Clothing,Churn Risk,Supermarkets ,Salesperson,4019763.50,1460,2753.26,505.22,4998.98
Clothing,Churn Risk,Supermarkets ,Senior Salesperson,3576327.87,1300,2751.02,502.44,4998.67
Clothing,Deal Seeker,Large Malls / Complexes,Manager,3820840.05,1367,2795.05,501.32,4998.00
Clothing,Deal Seeker,Large Malls / Complexes,Sales Associate,3835014.53,1417,2706.43,504.03,4996.06
Clothing,Deal Seeker,Large Malls / Complexes,Salesperson,3943657.87,1430,2757.80,502.63,4996.18
Clothing,Deal Seeker,Large Malls / Complexes,Senior Salesperson,3325380.58,1220,2725.72,502.02,4996.55
Clothing,Deal Seeker,Small Stores / Shops,Manager,3850158.63,1391,2767.91,500.55,4998.11
Clothing,Deal Seeker,Small Stores / Shops,Sales Associate,4164197.44,1501,2774.28,500.14,4988.14
Clothing,Deal Seeker,Small Stores / Shops,Salesperson,3993331.12,1501,2660.45,503.19,4998.97
Clothing,Deal Seeker,Small Stores / Shops,Senior Salesperson,3561037.82,1285,2771.24,505.75,4999.81
Clothing,Deal Seeker,Supermarkets ,Manager,4093664.95,1485,2756.68,500.89,4997.10
Clothing,Deal Seeker,Supermarkets ,Sales Associate,4022800.52,1476,2725.47,500.52,4996.30
Clothing,Deal Seeker,Supermarkets ,Salesperson,4147995.70,1522,2725.36,501.46,4997.64
Clothing,Deal Seeker,Supermarkets ,Senior Salesperson,3462292.59,1266,2734.83,500.07,4999.01
Clothing,First-time Buyer,Large Malls / Complexes,Manager,3761277.75,1362,2761.58,500.37,4997.75
Clothing,First-time Buyer,Large Malls / Complexes,Sales Associate,3821745.13,1381,2767.38,503.41,4999.23
Clothing,First-time Buyer,Large Malls / Complexes,Salesperson,3615242.32,1337,2704.00,504.67,4998.79
Clothing,First-time Buyer,Large Malls / Complexes,Senior Salesperson,3356433.07,1176,2854.11,509.56,4999.45
Clothing,First-time Buyer,Small Stores / Shops,Manager,3641047.88,1331,2735.57,501.06,4999.40
Clothing,First-time Buyer,Small Stores / Shops,Sales Associate,3871623.21,1422,2722.66,502.03,4996.51
Clothing,First-time Buyer,Small Stores / Shops,Salesperson,3981204.65,1436,2772.43,503.70,4999.82
Clothing,First-time Buyer,Small Stores / Shops,Senior Salesperson,3787322.25,1337,2832.70,501.24,4998.40
Clothing,First-time Buyer,Supermarkets ,Manager,3781040.41,1387,2726.06,500.63,4994.01
Clothing,First-time Buyer,Supermarkets ,Sales Associate,4158874.22,1521,2734.30,500.27,4996.65
Clothing,First-time Buyer,Supermarkets ,Salesperson,4196926.57,1502,2794.23,502.13,4998.86
Clothing,First-time Buyer,Supermarkets ,Senior Salesperson,3471972.76,1233,2815.87,506.01,4999.98
Clothing,High Value,Large Malls / Complexes,Manager,3687807.75,1328,2776.96,504.64,4990.21
Clothing,High Value,Large Malls / Complexes,Sales Associate,3845719.66,1395,2756.79,506.74,4997.99
