customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,12 Days of Deals,5432251.49,1963,2767.32,502.32,4998.61
Budget Shopper,Autumn Deals Drive,5224679.37,1908,2738.30,500.04,4998.35
Budget Shopper,BOGO Blitz,5423972.95,1981,2738.00,503.27,4996.27
Budget Shopper,Back to School Boost,5558110.31,2020,2751.54,501.48,4995.75
Budget Shopper,Birthday Bash Sale,5457385.06,1994,2736.90,504.53,4999.93
Budget Shopper,Black Friday Blowout,5606470.86,2021,2774.11,500.99,4997.46
Budget Shopper,Cart Crasher Campaign,5384895.37,1956,2753.01,504.62,4996.24
Budget Shopper,Cashback Carnival,5763764.74,2055,2804.75,500.42,4999.12
Budget Shopper,Clearance Countdown,5453916.08,1989,2742.04,500.93,4998.92
Budget Shopper,Countdown to Savings,5490778.95,2007,2735.81,503.90,4997.53
Budget Shopper,Customer Appreciation Week,5332231.47,1928,2765.68,504.71,4999.25
Budget Shopper,Cyber Monday Mania,5378998.24,1950,2758.46,502.75,4999.28
Budget Shopper,Deal of the Month,5331340.89,1926,2768.09,502.25,4999.11
Budget Shopper,Double Points Bonanza,5447319.01,1988,2740.10,500.59,4998.12
Budget Shopper,Early Bird Specials,5442469.40,1983,2744.56,505.34,4998.19
Budget Shopper,End of Season Sale,5521450.45,1980,2788.61,503.49,4999.78
Budget Shopper,Exclusive Insider Offers,5311563.76,1975,2689.40,503.94,4999.90
Budget Shopper,Festive Fever Promo,5347373.11,1978,2703.42,500.98,4996.41
Budget Shopper,Final Call Frenzy,5614229.07,2014,2787.60,502.39,4997.52
Budget Shopper,Flash Frenzy Friday,5458414.27,1972,2767.96,501.20,4998.41
Budget Shopper,"Gift More, Spend Less",5313043.78,1927,2757.16,505.10,4999.74
Budget Shopper,Golden Hour Bargains,5285758.87,1949,2712.04,500.71,4999.85
Budget Shopper,Green Weekend Deals,5622694.81,2031,2768.44,500.26,4999.01
Budget Shopper,Happy Hour Discounts,5563397.27,2025,2747.36,500.42,4998.71
Budget Shopper,Holiday Shopping Rush,5651995.79,2026,2789.73,504.65,4999.40
Budget Shopper,Hot Picks Promo,5534055.42,1994,2775.35,502.00,4997.89
Budget Shopper,Instant Gratification Sale,5248785.07,1927,2723.81,501.38,4994.90
Budget Shopper,Limited Time Treasures,5505115.00,2013,2734.78,500.43,4997.38
Budget Shopper,Loyalty Rewards Blast,5444877.24,1990,2736.12,500.80,4998.98
Budget Shopper,Mega Weekend Bonanza,5674356.64,2058,2757.22,504.49,4996.39
Budget Shopper,Mid-Year Madness,5567140.56,2034,2737.04,502.59,4999.77
Budget Shopper,Midnight Madness,5470481.64,1994,2743.47,500.72,4999.95
Budget Shopper,Mystery Discount Days,5485468.46,1988,2759.29,500.80,4999.42
Budget Shopper,New Arrival Showcase,5281294.56,1925,2743.53,506.53,4995.28
Budget Shopper,New Product Launch Promo,5606143.00,2069,2709.59,500.73,4999.95
Budget Shopper,New Year Kickoff,5509529.82,1986,2774.18,500.10,4996.08
Budget Shopper,Price Drop Parade,5166567.47,1897,2723.55,500.55,4996.70
Budget Shopper,Red Tag Clearance,5425809.52,1984,2734.78,501.68,4996.92
Budget Shopper,Seasonal Surprise Box,5717808.61,2033,2812.50,501.12,4998.54
Budget Shopper,Shop & Save Spectacular,5480676.10,2002,2737.60,503.57,4997.51
Budget Shopper,Smart Shopper Week,5402150.74,1972,2739.43,500.78,4999.66
Budget Shopper,Spring Refresh Event,5692650.88,2052,2774.20,501.09,4997.69
Budget Shopper,Spring Splash Discounts,5440244.47,1948,2792.73,500.68,4999.80
Budget Shopper,Summer Sizzle Promo,5391762.24,1943,2774.97,500.92,4996.11
Budget Shopper,Super Savings Week,5506758.73,1980,2781.19,507.88,4999.08
Budget Shopper,Ultimate Value Event,5453532.60,1995,2733.60,502.47,4999.12
Budget Shopper,VIP Access Sale,5519597.75,2019,2733.83,500.51,4994.17
Budget Shopper,Weekend Warrior Specials,5472434.27,2001,2734.85,501.67,4999.39
Budget Shopper,Winter Clearance Carnival,5566386.05,1995,2790.17,505.98,4999.97
Budget Shopper,Winter Wonders Sale,5469930.67,2013,2717.30,502.26,4999.56
Churn Risk,12 Days of Deals,5348896.85,1951,2741.62,502.11,4996.82
Churn Risk,Autumn Deals Drive,5601141.34,2014,2781.10,500.20,4999.13
Churn Risk,BOGO Blitz,5570893.45,2023,2753.78,503.15,4999.45
Churn Risk,Back to School Boost,5718247.06,2100,2722.97,501.92,4995.60
Churn Risk,Birthday Bash Sale,5731060.21,2049,2797.00,500.37,4999.64
Churn Risk,Black Friday Blowout,5333434.50,1935,2756.30,503.18,4997.94
Churn Risk,Cart Crasher Campaign,5363048.15,1962,2733.46,502.87,4998.46
Churn Risk,Cashback Carnival,5395638.00,1971,2737.51,502.35,4999.22
Churn Risk,Clearance Countdown,5328434.53,1942,2743.79,502.94,4998.56
Churn Risk,Countdown to Savings,5437426.29,1973,2755.92,500.39,4996.16
Churn Risk,Customer Appreciation Week,5484211.64,2002,2739.37,502.07,4997.68
Churn Risk,Cyber Monday Mania,5501833.02,1959,2808.49,505.17,4998.93
Churn Risk,Deal of the Month,5549456.43,2021,2745.90,501.02,4999.41
Churn Risk,Double Points Bonanza,5322515.32,1959,2716.96,500.48,4996.21
Churn Risk,Early Bird Specials,5498954.14,1967,2795.60,508.69,4997.16
Churn Risk,End of Season Sale,5560987.96,2049,2714.00,502.25,4996.88
Churn Risk,Exclusive Insider Offers,5465928.41,1941,2816.04,508.78,4999.29
Churn Risk,Festive Fever Promo,5611134.78,2037,2754.61,500.36,4998.24
Churn Risk,Final Call Frenzy,5512346.94,2012,2739.74,501.06,4994.08
Churn Risk,Flash Frenzy Friday,5499909.50,2008,2739.00,502.31,4997.51
Churn Risk,"Gift More, Spend Less",5645035.71,2086,2706.15,500.71,4988.75
Churn Risk,Golden Hour Bargains,5501585.26,1990,2764.62,500.57,4994.31
Churn Risk,Green Weekend Deals,5770003.40,2076,2779.39,504.20,4999.33
Churn Risk,Happy Hour Discounts,5683553.85,2053,2768.41,500.75,4995.06
Churn Risk,Holiday Shopping Rush,5657136.37,2042,2770.39,500.17,4997.57
Churn Risk,Hot Picks Promo,5696025.69,2046,2783.98,503.06,4990.76
Churn Risk,Instant Gratification Sale,5374135.90,1963,2737.72,500.07,4999.03
Churn Risk,Limited Time Treasures,5645880.77,2032,2778.48,501.18,4998.70
Churn Risk,Loyalty Rewards Blast,5349235.55,1960,2729.20,500.82,4998.22
Churn Risk,Mega Weekend Bonanza,5414378.44,1972,2745.63,502.08,4999.69
Churn Risk,Mid-Year Madness,5572233.97,2014,2766.75,500.47,4997.94
Churn Risk,Midnight Madness,5573288.78,2029,2746.82,502.72,4995.95
Churn Risk,Mystery Discount Days,5500288.67,2033,2705.50,501.23,4998.98
Churn Risk,New Arrival Showcase,5588080.03,2021,2765.01,500.17,4999.20
Churn Risk,New Product Launch Promo,5557490.10,2022,2748.51,500.73,4999.22
Churn Risk,New Year Kickoff,5410022.74,1986,2724.08,515.89,4990.26
Churn Risk,Price Drop Parade,5413665.93,1998,2709.54,508.52,4997.34
