brand,customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Large Malls / Complexes,5709340.12,2021,2825.01,500.43,4999.95
Adidas,Budget Shopper,Small Stores / Shops,6037212.55,2223,2715.80,507.80,4998.36
Adidas,Budget Shopper,Supermarkets ,6292213.09,2303,2732.18,501.20,4996.74
Adidas,Churn Risk,Large Malls / Complexes,5995982.60,2131,2813.69,505.67,4999.86
Adidas,Churn Risk,Small Stores / Shops,5869553.37,2171,2703.62,500.73,4998.38
Adidas,Churn Risk,Supermarkets ,6233235.45,2273,2742.29,503.18,4998.56
Adidas,Deal Seeker,Large Malls / Complexes,6136160.41,2200,2789.16,501.32,4998.10
Adidas,Deal Seeker,Small Stores / Shops,6223076.41,2262,2751.14,503.20,4992.84
Adidas,Deal Seeker,Supermarkets ,6346174.25,2263,2804.32,500.46,4996.95
Adidas,First-time Buyer,Large Malls / Complexes,5897191.92,2156,2735.25,503.01,4997.63
Adidas,First-time Buyer,Small Stores / Shops,5999839.66,2194,2734.66,501.06,4997.05
Adidas,First-time Buyer,Supermarkets ,6273767.35,2273,2760.13,501.90,4999.86
Adidas,High Value,Large Malls / Complexes,5930512.42,2175,2726.67,502.34,4995.33
Adidas,High Value,Small Stores / Shops,6041968.87,2226,2714.27,500.17,4999.78
Adidas,High Value,Supermarkets ,6219526.75,2277,2731.46,500.53,4999.38
Adidas,In-Store Regular,Large Malls / Complexes,5598854.67,2046,2736.49,501.08,4999.76
Adidas,In-Store Regular,Small Stores / Shops,5999881.98,2173,2761.11,500.64,4992.09
Adidas,In-Store Regular,Supermarkets ,6205104.32,2247,2761.51,500.45,4999.33
Adidas,Loyal Customer,Large Malls / Complexes,5806687.27,2112,2749.38,503.34,4998.71
Adidas,Loyal Customer,Small Stores / Shops,6401065.51,2292,2792.79,500.58,4998.00
Adidas,Loyal Customer,Supermarkets ,6396401.72,2338,2735.84,501.61,4998.83
Adidas,Occasional Shopper,Large Malls / Complexes,6001661.79,2149,2792.77,501.08,4994.47
Adidas,Occasional Shopper,Small Stores / Shops,6332617.76,2247,2818.25,502.59,4999.05
Adidas,Occasional Shopper,Supermarkets ,6350797.69,2326,2730.35,500.33,4995.70
Adidas,Online Shopper,Large Malls / Complexes,5689308.19,2086,2727.38,500.11,4993.50
Adidas,Online Shopper,Small Stores / Shops,6044576.44,2188,2762.60,509.05,4999.41
Adidas,Online Shopper,Supermarkets ,6228607.84,2301,2706.91,500.89,4997.59
Adidas,Premium Shopper,Large Malls / Complexes,5816897.83,2119,2745.11,500.83,4999.76
Adidas,Premium Shopper,Small Stores / Shops,5896461.80,2148,2745.09,506.24,4993.50
Adidas,Premium Shopper,Supermarkets ,6114279.35,2251,2716.25,502.53,4998.07
Amul,Budget Shopper,Large Malls / Complexes,2889443.58,1054,2741.41,505.34,4998.19
Amul,Budget Shopper,Small Stores / Shops,3096874.19,1100,2815.34,504.65,4994.33
Amul,Budget Shopper,Supermarkets ,3292250.39,1196,2752.72,511.33,4993.94
Amul,Churn Risk,Large Malls / Complexes,2839612.35,1051,2701.82,510.22,4993.47
Amul,Churn Risk,Small Stores / Shops,3042065.19,1125,2704.06,502.30,4995.02
Amul,Churn Risk,Supermarkets ,3238067.12,1168,2772.32,506.56,4996.54
Amul,Deal Seeker,Large Malls / Complexes,2790503.85,993,2810.18,503.17,4998.30
Amul,Deal Seeker,Small Stores / Shops,3247859.44,1165,2787.86,514.24,4996.45
Amul,Deal Seeker,Supermarkets ,3073740.79,1144,2686.84,501.88,4995.48
Amul,First-time Buyer,Large Malls / Complexes,2940395.63,1057,2781.83,500.26,4997.33
Amul,First-time Buyer,Small Stores / Shops,3032664.06,1131,2681.40,502.25,4998.98
Amul,First-time Buyer,Supermarkets ,3131164.71,1162,2694.63,504.35,4995.56
Amul,High Value,Large Malls / Complexes,2755165.94,1034,2664.57,500.47,4998.10
Amul,High Value,Small Stores / Shops,3197700.58,1167,2740.10,514.94,4994.94
Amul,High Value,Supermarkets ,3321492.77,1197,2774.85,504.05,4997.96
Amul,In-Store Regular,Large Malls / Complexes,2948637.47,1067,2763.48,508.09,4996.36
Amul,In-Store Regular,Small Stores / Shops,3084837.60,1125,2742.08,509.79,4985.16
Amul,In-Store Regular,Supermarkets ,3185175.83,1164,2736.41,504.51,4996.48
Amul,Loyal Customer,Large Malls / Complexes,2821642.30,1047,2694.98,501.41,4993.24
Amul,Loyal Customer,Small Stores / Shops,3077123.98,1126,2732.79,501.52,4994.91
Amul,Loyal Customer,Supermarkets ,3160671.92,1167,2708.37,500.84,4998.75
Amul,Occasional Shopper,Large Malls / Complexes,2843438.05,1042,2728.83,510.36,4999.80
Amul,Occasional Shopper,Small Stores / Shops,3013173.26,1109,2717.02,504.64,4998.84
Amul,Occasional Shopper,Supermarkets ,3286604.67,1181,2782.90,503.17,4996.97
Amul,Online Shopper,Large Malls / Complexes,3001801.46,1070,2805.42,505.59,4991.21
Amul,Online Shopper,Small Stores / Shops,3110523.35,1143,2721.37,500.62,4994.22
Amul,Online Shopper,Supermarkets ,3290583.41,1192,2760.56,500.74,4996.71
Amul,Premium Shopper,Large Malls / Complexes,2688204.69,994,2704.43,502.75,4986.78
Amul,Premium Shopper,Small Stores / Shops,3028581.72,1074,2819.91,501.25,4996.88
Amul,Premium Shopper,Supermarkets ,3056786.94,1123,2721.98,506.29,4997.29
Apple,Budget Shopper,Large Malls / Complexes,2965573.37,1082,2740.83,504.78,4991.42
Apple,Budget Shopper,Small Stores / Shops,3110438.01,1128,2757.48,501.68,4995.51
Apple,Budget Shopper,Supermarkets ,3144804.49,1134,2773.20,514.94,4991.30
Apple,Churn Risk,Large Malls / Complexes,2745125.78,1000,2745.13,500.60,4971.35
Apple,Churn Risk,Small Stores / Shops,2941926.29,1085,2711.45,515.83,4989.77
Apple,Churn Risk,Supermarkets ,3384740.79,1244,2720.85,502.32,4994.23
Apple,Deal Seeker,Large Malls / Complexes,2917511.76,1059,2754.97,502.34,4999.77
Apple,Deal Seeker,Small Stores / Shops,3161417.66,1148,2753.85,511.39,4998.11
Apple,Deal Seeker,Supermarkets ,3100490.59,1138,2724.51,509.00,4983.25
Apple,First-time Buyer,Large Malls / Complexes,2888969.00,1056,2735.77,505.51,4999.20
Apple,First-time Buyer,Small Stores / Shops,2976567.65,1072,2776.65,505.11,4997.68
Apple,First-time Buyer,Supermarkets ,3199478.35,1149,2784.58,506.54,4999.96
Apple,High Value,Large Malls / Complexes,2704313.10,988,2737.16,500.64,4993.95
Apple,High Value,Small Stores / Shops,3186056.40,1156,2756.10,505.44,4998.48
Apple,High Value,Supermarkets ,3108726.58,1161,2677.63,503.12,4999.52
Apple,In-Store Regular,Large Malls / Complexes,2770007.35,1003,2761.72,500.25,4999.96
Apple,In-Store Regular,Small Stores / Shops,3174428.94,1158,2741.30,500.80,4995.70
Apple,In-Store Regular,Supermarkets ,3153756.66,1149,2744.78,503.16,4997.96
Apple,Loyal Customer,Large Malls / Complexes,2859384.83,1034,2765.36,505.53,4999.83
Apple,Loyal Customer,Small Stores / Shops,2996191.26,1100,2723.81,504.97,4999.80
Apple,Loyal Customer,Supermarkets ,3129866.08,1101,2842.75,508.55,4996.09
Apple,Occasional Shopper,Large Malls / Complexes,3012518.63,1089,2766.32,505.17,4997.26
Apple,Occasional Shopper,Small Stores / Shops,3251604.75,1149,2829.94,500.26,4997.93
Apple,Occasional Shopper,Supermarkets ,3085307.91,1142,2701.67,510.55,4996.32
Apple,Online Shopper,Large Malls / Complexes,2889315.71,1048,2756.98,500.77,4998.93
Apple,Online Shopper,Small Stores / Shops,3076845.16,1127,2730.12,512.61,4995.06
Apple,Online Shopper,Supermarkets ,3131742.37,1151,2720.89,500.70,4998.84
Apple,Premium Shopper,Large Malls / Complexes,2822814.43,1033,2732.64,504.05,4996.76
Apple,Premium Shopper,Small Stores / Shops,3141995.33,1135,2768.28,503.41,4993.39
Apple,Premium Shopper,Supermarkets ,3076267.11,1139,2700.85,502.69,4985.88
Bosch,Budget Shopper,Large Malls / Complexes,2973059.85,1068,2783.76,500.71,4998.98
Bosch,Budget Shopper,Small Stores / Shops,3155499.47,1152,2739.15,500.98,4998.56
Bosch,Budget Shopper,Supermarkets ,3249488.38,1172,2772.60,500.10,4999.80
Bosch,Churn Risk,Large Malls / Complexes,2878111.61,1064,2704.99,505.59,4992.97
Bosch,Churn Risk,Small Stores / Shops,3071823.54,1102,2787.50,502.07,4995.95
Bosch,Churn Risk,Supermarkets ,3240710.90,1161,2791.31,513.89,4975.88
Bosch,Deal Seeker,Large Malls / Complexes,2851931.84,1073,2657.90,500.80,4999.30
Bosch,Deal Seeker,Small Stores / Shops,2962868.78,1098,2698.42,502.22,4997.54
Bosch,Deal Seeker,Supermarkets ,3236330.49,1188,2724.18,501.45,4998.61
Bosch,First-time Buyer,Large Malls / Complexes,2877199.56,1047,2748.04,502.14,4998.36
Bosch,First-time Buyer,Small Stores / Shops,2903866.50,1081,2686.28,503.20,4986.75
Bosch,First-time Buyer,Supermarkets ,3257468.30,1186,2746.60,507.03,4994.66
Bosch,High Value,Large Malls / Complexes,2891605.93,1057,2735.67,501.99,4989.69
Bosch,High Value,Small Stores / Shops,2961836.79,1090,2717.28,504.30,4997.76
Bosch,High Value,Supermarkets ,2981873.03,1114,2676.73,500.13,4997.47
