category,brand,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,12 Days of Deals,1847503.67,669,2761.59,501.08,4998.46
Clothing,Adidas,Autumn Deals Drive,1847569.46,670,2757.57,518.04,4992.48
Clothing,Adidas,BOGO Blitz,1945379.66,699,2783.09,500.64,4998.71
Clothing,Adidas,Back to School Boost,1887116.47,683,2762.98,501.04,4999.86
Clothing,Adidas,Birthday Bash Sale,1825288.83,654,2790.96,500.58,4996.78
Clothing,Adidas,Black Friday Blowout,1894969.26,697,2718.75,502.05,4994.34
Clothing,Adidas,Cart Crasher Campaign,1824339.35,661,2759.97,520.56,4994.25
Clothing,Adidas,Cashback Carnival,1801477.09,668,2696.82,502.29,4982.89
Clothing,Adidas,Clearance Countdown,1700401.23,639,2661.03,500.53,4996.24
Clothing,Adidas,Countdown to Savings,1728816.79,636,2718.27,501.16,4996.97
Clothing,Adidas,Customer Appreciation Week,1842044.14,669,2753.43,503.78,4994.47
Clothing,Adidas,Cyber Monday Mania,1771701.48,651,2721.51,508.76,4993.46
Clothing,Adidas,Deal of the Month,1874167.10,677,2768.34,504.75,4999.41
Clothing,Adidas,Double Points Bonanza,1813471.55,662,2739.38,506.41,4995.71
Clothing,Adidas,Early Bird Specials,1937395.30,684,2832.45,504.93,4996.74
Clothing,Adidas,End of Season Sale,1843423.63,658,2801.56,511.79,4997.48
Clothing,Adidas,Exclusive Insider Offers,1882681.20,675,2789.16,508.78,4984.33
Clothing,Adidas,Festive Fever Promo,1946774.27,688,2829.61,504.43,4980.87
Clothing,Adidas,Final Call Frenzy,1754399.05,633,2771.56,509.40,4992.84
Clothing,Adidas,Flash Frenzy Friday,1624979.48,613,2650.86,501.20,4994.26
Clothing,Adidas,"Gift More, Spend Less",1670805.40,621,2690.51,510.65,4988.68
Clothing,Adidas,Golden Hour Bargains,1765570.12,655,2695.53,506.24,4999.76
Clothing,Adidas,Green Weekend Deals,1697265.51,634,2677.07,501.10,4999.76
Clothing,Adidas,Happy Hour Discounts,1632378.21,596,2738.89,505.67,4994.51
Clothing,Adidas,Holiday Shopping Rush,1813806.04,646,2807.75,506.77,4998.34
Clothing,Adidas,Hot Picks Promo,1849218.11,658,2810.36,520.65,4989.96
Clothing,Adidas,Instant Gratification Sale,1790241.63,643,2784.20,500.95,4998.40
Clothing,Adidas,Limited Time Treasures,1683380.60,615,2737.20,501.46,4999.38
Clothing,Adidas,Loyalty Rewards Blast,1737783.31,633,2745.31,503.40,4989.59
Clothing,Adidas,Mega Weekend Bonanza,1716801.14,639,2686.70,508.93,4996.59
Clothing,Adidas,Mid-Year Madness,1762009.07,658,2677.83,501.32,4991.43
Clothing,Adidas,Midnight Madness,1786624.55,641,2787.25,504.20,4986.14
