category,brand,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,12 Days of Deals,64949.78,24,2706.24,825.86,4954.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Autumn Deals Drive,46164.75,14,3297.48,784.65,4982.16
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,BOGO Blitz,76494.93,24,3187.29,556.73,4973.52
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Back to School Boost,72104.43,25,2884.18,551.27,4910.61
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Birthday Bash Sale,48263.70,18,2681.32,718.31,4845.41
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Black Friday Blowout,59854.59,21,2850.22,576.66,4880.99
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Cart Crasher Campaign,64881.38,20,3244.07,589.99,4917.92
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Cashback Carnival,49178.20,21,2341.82,534.21,4783.27
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Clearance Countdown,64819.86,23,2818.25,515.41,4949.25
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Countdown to Savings,48123.09,16,3007.69,1015.99,4769.97
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Customer Appreciation Week,42137.46,16,2633.59,674.54,4390.85
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Cyber Monday Mania,60370.74,21,2874.80,603.35,4798.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Deal of the Month,101493.91,32,3171.68,652.85,4832.34
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Double Points Bonanza,58762.20,24,2448.43,544.68,4504.49
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Early Bird Specials,66129.59,21,3149.03,753.22,4930.21
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,End of Season Sale,77584.15,25,3103.37,585.97,4877.60
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Exclusive Insider Offers,55595.36,22,2527.06,644.85,4594.57
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Festive Fever Promo,51724.75,17,3042.63,825.21,4825.66
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Final Call Frenzy,70081.59,22,3185.53,673.62,4862.72
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Flash Frenzy Friday,68891.95,22,3131.45,612.03,4829.29
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,"Gift More, Spend Less",47984.59,13,3691.12,947.51,4932.16
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Golden Hour Bargains,38293.64,13,2945.66,523.61,4795.87
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Green Weekend Deals,78946.25,28,2819.51,698.96,4926.07
Clothing,Adidas,Budget Shopper,Large Malls / Complexes,Happy Hour Discounts,27922.04,11,2538.37,1229.03,4310.99
