category,brand,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Large Malls / Complexes,Manager,12 Days of Deals,125087.19,45,2779.72,865.71,4821.55
Clothing,Adidas,Large Malls / Complexes,Manager,Autumn Deals Drive,152818.42,56,2728.90,593.03,4982.21
Clothing,Adidas,Large Malls / Complexes,Manager,BOGO Blitz,137451.44,46,2988.07,582.58,4983.68
Clothing,Adidas,Large Malls / Complexes,Manager,Back to School Boost,140113.98,49,2859.47,665.50,4980.54
Clothing,Adidas,Large Malls / Complexes,Manager,Birthday Bash Sale,166487.57,58,2870.48,537.51,4994.20
Clothing,Adidas,Large Malls / Complexes,Manager,Black Friday Blowout,159910.36,57,2805.44,502.05,4947.74
Clothing,Adidas,Large Malls / Complexes,Manager,Cart Crasher Campaign,157953.65,56,2820.60,657.70,4897.06
Clothing,Adidas,Large Malls / Complexes,Manager,Cashback Carnival,131496.91,49,2683.61,580.99,4867.29
Clothing,Adidas,Large Malls / Complexes,Manager,Clearance Countdown,132637.02,47,2822.06,532.69,4726.42
Clothing,Adidas,Large Malls / Complexes,Manager,Countdown to Savings,86143.53,35,2461.24,591.60,4900.14
Clothing,Adidas,Large Malls / Complexes,Manager,Customer Appreciation Week,193127.09,65,2971.19,591.30,4937.49
Clothing,Adidas,Large Malls / Complexes,Manager,Cyber Monday Mania,135954.56,49,2774.58,548.84,4729.74
Clothing,Adidas,Large Malls / Complexes,Manager,Deal of the Month,192462.00,64,3007.22,504.75,4949.19
Clothing,Adidas,Large Malls / Complexes,Manager,Double Points Bonanza,166207.43,56,2967.99,576.01,4957.71
Clothing,Adidas,Large Malls / Complexes,Manager,Early Bird Specials,150524.53,53,2840.09,548.17,4762.77
Clothing,Adidas,Large Malls / Complexes,Manager,End of Season Sale,140388.27,50,2807.77,557.84,4983.53
Clothing,Adidas,Large Malls / Complexes,Manager,Exclusive Insider Offers,151092.59,57,2650.75,625.49,4865.90
Clothing,Adidas,Large Malls / Complexes,Manager,Festive Fever Promo,170088.82,55,3092.52,558.06,4980.87
Clothing,Adidas,Large Malls / Complexes,Manager,Final Call Frenzy,151836.34,57,2663.80,525.27,4887.64
Clothing,Adidas,Large Malls / Complexes,Manager,Flash Frenzy Friday,122749.56,48,2557.28,545.78,4829.29
Clothing,Adidas,Large Malls / Complexes,Manager,"Gift More, Spend Less",160546.15,63,2548.35,561.11,4945.55
Clothing,Adidas,Large Malls / Complexes,Manager,Golden Hour Bargains,136835.87,52,2631.46,511.16,4897.63
Clothing,Adidas,Large Malls / Complexes,Manager,Green Weekend Deals,117442.85,43,2731.23,614.40,4980.69
Clothing,Adidas,Large Malls / Complexes,Manager,Happy Hour Discounts,97976.41,37,2648.01,505.67,4885.27
Clothing,Adidas,Large Malls / Complexes,Manager,Holiday Shopping Rush,175963.69,63,2793.07,506.77,4855.73
Clothing,Adidas,Large Malls / Complexes,Manager,Hot Picks Promo,137705.06,51,2700.10,636.91,4947.72
Clothing,Adidas,Large Malls / Complexes,Manager,Instant Gratification Sale,138979.79,50,2779.60,509.42,4920.27
Clothing,Adidas,Large Malls / Complexes,Manager,Limited Time Treasures,143657.05,50,2873.14,512.09,4983.53
Clothing,Adidas,Large Malls / Complexes,Manager,Loyalty Rewards Blast,140574.37,47,2990.94,569.19,4954.60
Clothing,Adidas,Large Malls / Complexes,Manager,Mega Weekend Bonanza,124220.83,49,2535.12,650.91,4817.99
Clothing,Adidas,Large Malls / Complexes,Manager,Mid-Year Madness,149621.80,58,2579.69,501.32,4981.55
Clothing,Adidas,Large Malls / Complexes,Manager,Midnight Madness,154194.73,56,2753.48,660.13,4796.87
Clothing,Adidas,Large Malls / Complexes,Manager,Mystery Discount Days,129876.82,43,3020.39,568.30,4945.34
Clothing,Adidas,Large Malls / Complexes,Manager,New Arrival Showcase,146173.68,57,2564.45,525.22,4910.75
Clothing,Adidas,Large Malls / Complexes,Manager,New Product Launch Promo,125973.35,43,2929.61,762.03,4793.11
Clothing,Adidas,Large Malls / Complexes,Manager,New Year Kickoff,148137.06,57,2598.90,502.81,4988.93
Clothing,Adidas,Large Malls / Complexes,Manager,Price Drop Parade,162057.23,60,2700.95,507.14,4919.42
Clothing,Adidas,Large Malls / Complexes,Manager,Red Tag Clearance,141570.99,51,2775.90,547.87,4989.71
Clothing,Adidas,Large Malls / Complexes,Manager,Seasonal Surprise Box,133573.85,46,2903.78,614.40,4954.92
Clothing,Adidas,Large Malls / Complexes,Manager,Shop & Save Spectacular,146831.89,50,2936.64,511.32,4820.66
