category,customer_segment,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Manager,12 Days of Deals,221838.91,78,2844.09,505.04,4991.32
Clothing,Budget Shopper,Manager,Autumn Deals Drive,242651.65,87,2789.10,501.91,4974.69
Clothing,Budget Shopper,Manager,BOGO Blitz,239625.32,82,2922.26,523.65,4907.54
Clothing,Budget Shopper,Manager,Back to School Boost,289178.79,99,2921.00,623.10,4969.60
Clothing,Budget Shopper,Manager,Birthday Bash Sale,210360.58,74,2842.71,640.04,4972.14
Clothing,Budget Shopper,Manager,Black Friday Blowout,263576.16,106,2486.57,502.21,4894.40
Clothing,Budget Shopper,Manager,Cart Crasher Campaign,224504.59,85,2641.23,564.06,4986.36
Clothing,Budget Shopper,Manager,Cashback Carnival,281812.78,100,2818.13,538.21,4982.95
Clothing,Budget Shopper,Manager,Clearance Countdown,215623.18,84,2566.94,503.98,4985.43
Clothing,Budget Shopper,Manager,Countdown to Savings,241116.94,75,3214.89,532.98,4985.41
Clothing,Budget Shopper,Manager,Customer Appreciation Week,176419.35,65,2714.14,508.47,4943.12
Clothing,Budget Shopper,Manager,Cyber Monday Mania,255774.49,84,3044.93,549.51,4907.02
Clothing,Budget Shopper,Manager,Deal of the Month,243940.80,92,2651.53,598.75,4988.69
Clothing,Budget Shopper,Manager,Double Points Bonanza,232805.72,87,2675.93,521.69,4973.85
Clothing,Budget Shopper,Manager,Early Bird Specials,220197.82,76,2897.34,514.49,4996.74
Clothing,Budget Shopper,Manager,End of Season Sale,226276.90,82,2759.47,531.95,4993.28
Clothing,Budget Shopper,Manager,Exclusive Insider Offers,202359.69,77,2628.05,504.62,4991.57
Clothing,Budget Shopper,Manager,Festive Fever Promo,218474.92,83,2632.23,531.23,4760.99
Clothing,Budget Shopper,Manager,Final Call Frenzy,248764.60,88,2826.87,530.47,4976.65
Clothing,Budget Shopper,Manager,Flash Frenzy Friday,228805.13,84,2723.87,612.03,4960.83
Clothing,Budget Shopper,Manager,"Gift More, Spend Less",180820.24,70,2583.15,549.40,4988.68
Clothing,Budget Shopper,Manager,Golden Hour Bargains,193203.59,72,2683.38,641.70,4945.11
Clothing,Budget Shopper,Manager,Green Weekend Deals,240759.85,81,2972.34,512.49,4987.56
Clothing,Budget Shopper,Manager,Happy Hour Discounts,259858.24,96,2706.86,550.72,4891.73
Clothing,Budget Shopper,Manager,Holiday Shopping Rush,249122.31,87,2863.47,538.71,4967.70
Clothing,Budget Shopper,Manager,Hot Picks Promo,228919.77,85,2693.17,512.09,4984.66
Clothing,Budget Shopper,Manager,Instant Gratification Sale,210300.34,79,2662.03,541.23,4950.20
Clothing,Budget Shopper,Manager,Limited Time Treasures,228814.74,82,2790.42,504.90,4983.53
Clothing,Budget Shopper,Manager,Loyalty Rewards Blast,236930.37,87,2723.34,596.40,4946.41
Clothing,Budget Shopper,Manager,Mega Weekend Bonanza,233646.49,88,2655.07,531.75,4956.76
Clothing,Budget Shopper,Manager,Mid-Year Madness,285479.18,98,2913.05,548.03,4989.93
Clothing,Budget Shopper,Manager,Midnight Madness,253698.52,94,2698.92,509.57,4973.36
Clothing,Budget Shopper,Manager,Mystery Discount Days,172520.67,68,2537.07,657.50,4940.19
Clothing,Budget Shopper,Manager,New Arrival Showcase,195992.72,80,2449.91,550.60,4827.59
Clothing,Budget Shopper,Manager,New Product Launch Promo,231873.24,82,2827.72,507.38,4882.83
Clothing,Budget Shopper,Manager,New Year Kickoff,218848.72,77,2842.19,693.88,4932.41
Clothing,Budget Shopper,Manager,Price Drop Parade,204489.92,69,2963.62,534.29,4946.19
Clothing,Budget Shopper,Manager,Red Tag Clearance,276293.27,89,3104.42,520.14,4976.00
Clothing,Budget Shopper,Manager,Seasonal Surprise Box,186993.56,64,2921.77,727.37,4984.25
Clothing,Budget Shopper,Manager,Shop & Save Spectacular,266604.77,95,2806.37,572.84,4997.51
Clothing,Budget Shopper,Manager,Smart Shopper Week,224402.98,78,2876.96,542.47,4985.85
Clothing,Budget Shopper,Manager,Spring Refresh Event,182996.86,68,2691.13,516.01,4937.30
Clothing,Budget Shopper,Manager,Spring Splash Discounts,197452.28,75,2632.70,509.24,4993.20
Clothing,Budget Shopper,Manager,Summer Sizzle Promo,220706.36,83,2659.11,513.95,4974.26
Clothing,Budget Shopper,Manager,Super Savings Week,166680.14,67,2487.76,507.88,4925.54
Clothing,Budget Shopper,Manager,Ultimate Value Event,239485.60,82,2920.56,537.39,4999.12
Clothing,Budget Shopper,Manager,VIP Access Sale,186027.86,71,2620.11,532.48,4903.02
Clothing,Budget Shopper,Manager,Weekend Warrior Specials,220766.04,84,2628.17,535.23,4953.54
Clothing,Budget Shopper,Manager,Winter Clearance Carnival,232589.13,78,2981.91,547.96,4985.40
Clothing,Budget Shopper,Manager,Winter Wonders Sale,192011.18,71,2704.38,641.31,4952.14
Clothing,Budget Shopper,Sales Associate,12 Days of Deals,244586.80,86,2844.03,548.08,4878.20
Clothing,Budget Shopper,Sales Associate,Autumn Deals Drive,249346.45,86,2899.38,720.43,4990.58
Clothing,Budget Shopper,Sales Associate,BOGO Blitz,257323.39,87,2957.74,556.73,4969.91
Clothing,Budget Shopper,Sales Associate,Back to School Boost,209260.88,88,2377.96,515.93,4986.50
Clothing,Budget Shopper,Sales Associate,Birthday Bash Sale,263470.43,100,2634.70,553.64,4992.91
Clothing,Budget Shopper,Sales Associate,Black Friday Blowout,235874.32,80,2948.43,512.39,4878.09
Clothing,Budget Shopper,Sales Associate,Cart Crasher Campaign,337453.69,111,3040.12,557.26,4996.24
Clothing,Budget Shopper,Sales Associate,Cashback Carnival,275638.86,98,2812.64,502.91,4978.36
Clothing,Budget Shopper,Sales Associate,Clearance Countdown,230950.94,83,2782.54,530.24,4949.25
Clothing,Budget Shopper,Sales Associate,Countdown to Savings,261772.38,103,2541.48,531.85,4958.53
Clothing,Budget Shopper,Sales Associate,Customer Appreciation Week,223767.20,74,3023.88,686.83,4944.18
Clothing,Budget Shopper,Sales Associate,Cyber Monday Mania,247965.48,86,2883.32,524.05,4983.51
Clothing,Budget Shopper,Sales Associate,Deal of the Month,204524.17,73,2801.70,599.21,4991.80
Clothing,Budget Shopper,Sales Associate,Double Points Bonanza,300199.81,111,2704.50,583.72,4995.86
Clothing,Budget Shopper,Sales Associate,Early Bird Specials,201662.03,80,2520.78,524.64,4916.38
Clothing,Budget Shopper,Sales Associate,End of Season Sale,243143.38,81,3001.77,527.84,4928.72
Clothing,Budget Shopper,Sales Associate,Exclusive Insider Offers,228884.96,84,2724.82,598.29,4968.06
Clothing,Budget Shopper,Sales Associate,Festive Fever Promo,209448.65,83,2523.48,530.10,4938.87
Clothing,Budget Shopper,Sales Associate,Final Call Frenzy,297298.88,98,3033.66,584.64,4989.90
Clothing,Budget Shopper,Sales Associate,Flash Frenzy Friday,218160.55,82,2660.49,528.82,4855.23
Clothing,Budget Shopper,Sales Associate,"Gift More, Spend Less",229831.96,83,2769.06,657.89,4969.81
Clothing,Budget Shopper,Sales Associate,Golden Hour Bargains,227081.67,83,2735.92,539.02,4999.85
Clothing,Budget Shopper,Sales Associate,Green Weekend Deals,247215.63,95,2602.27,624.97,4948.44
Clothing,Budget Shopper,Sales Associate,Happy Hour Discounts,226748.29,90,2519.43,540.55,4870.97
Clothing,Budget Shopper,Sales Associate,Holiday Shopping Rush,284820.19,100,2848.20,506.38,4969.15
Clothing,Budget Shopper,Sales Associate,Hot Picks Promo,227630.16,87,2616.44,552.69,4867.92
Clothing,Budget Shopper,Sales Associate,Instant Gratification Sale,231259.15,82,2820.23,548.56,4984.14
Clothing,Budget Shopper,Sales Associate,Limited Time Treasures,280836.46,99,2836.73,507.40,4997.38
Clothing,Budget Shopper,Sales Associate,Loyalty Rewards Blast,240371.28,86,2795.01,603.19,4932.50
Clothing,Budget Shopper,Sales Associate,Mega Weekend Bonanza,201513.64,74,2723.16,512.13,4980.14
Clothing,Budget Shopper,Sales Associate,Mid-Year Madness,264503.80,100,2645.04,568.89,4964.76
Clothing,Budget Shopper,Sales Associate,Midnight Madness,232350.22,85,2733.53,511.19,4943.81
Clothing,Budget Shopper,Sales Associate,Mystery Discount Days,209296.48,84,2491.62,588.02,4965.62
Clothing,Budget Shopper,Sales Associate,New Arrival Showcase,230092.75,81,2840.65,515.54,4947.99
Clothing,Budget Shopper,Sales Associate,New Product Launch Promo,241402.91,87,2774.75,682.21,4979.71
Clothing,Budget Shopper,Sales Associate,New Year Kickoff,219205.08,83,2641.03,560.26,4934.45
Clothing,Budget Shopper,Sales Associate,Price Drop Parade,232088.24,86,2698.70,527.86,4977.32
Clothing,Budget Shopper,Sales Associate,Red Tag Clearance,233794.07,90,2597.71,511.82,4979.88
