customer_segment,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Manager,68469060.20,24860,2754.19,500.04,4999.93
Budget Shopper,Sales Associate,71927255.70,26147,2750.88,500.10,4999.95
Budget Shopper,Salesperson,71158392.97,25817,2756.26,500.51,4999.97
Budget Shopper,Senior Salesperson,61897354.00,22534,2746.84,500.26,4999.77
Churn Risk,Manager,69529536.87,25264,2752.12,500.17,4999.21
Churn Risk,Sales Associate,72387897.74,26379,2744.15,500.21,4999.91
Churn Risk,Salesperson,71496537.62,25891,2761.44,500.20,4999.85
Churn Risk,Senior Salesperson,62143837.53,22692,2738.58,500.07,4999.86
Deal Seeker,Manager,69330207.77,25120,2759.96,500.13,4999.75
Deal Seeker,Sales Associate,73321214.91,26617,2754.68,500.14,4999.95
Deal Seeker,Salesperson,72314402.09,26414,2737.73,500.49,4999.12
Deal Seeker,Senior Salesperson,62112913.31,22694,2736.98,500.05,4999.88
First-time Buyer,Manager,68605234.01,24886,2756.78,500.00,4999.83
First-time Buyer,Sales Associate,72509962.56,26322,2754.73,500.01,4999.90
First-time Buyer,Salesperson,71432499.90,25929,2754.93,500.01,4999.96
First-time Buyer,Senior Salesperson,61583437.54,22358,2754.43,500.56,4999.98
High Value,Manager,69651536.43,25349,2747.70,500.14,4999.91
High Value,Sales Associate,72254248.35,26392,2737.73,500.10,4999.98
High Value,Salesperson,71051014.80,25855,2748.06,500.13,4999.73
High Value,Senior Salesperson,63103987.06,22995,2744.25,500.03,4999.71
In-Store Regular,Manager,68123900.83,24699,2758.16,500.05,4999.58
In-Store Regular,Sales Associate,72509489.19,26366,2750.11,500.31,4999.92
In-Store Regular,Salesperson,70253780.62,25581,2746.33,500.16,4999.89
In-Store Regular,Senior Salesperson,62561398.02,22693,2756.86,500.03,4999.96
Loyal Customer,Manager,68824167.92,25146,2736.98,500.08,4999.83
Loyal Customer,Sales Associate,72602110.16,26335,2756.87,500.18,4999.85
Loyal Customer,Salesperson,71728317.58,25990,2759.84,500.27,4999.97
Loyal Customer,Senior Salesperson,62292405.06,22573,2759.60,500.17,4999.96
Occasional Shopper,Manager,68758620.88,25173,2731.44,500.07,4999.75
Occasional Shopper,Sales Associate,73701561.29,26691,2761.29,500.39,4999.63
Occasional Shopper,Salesperson,71318103.19,25925,2750.94,500.09,4999.65
Occasional Shopper,Senior Salesperson,62662617.18,22769,2752.10,500.15,4999.80
Online Shopper,Manager,70105241.04,25386,2761.57,500.04,4999.97
Online Shopper,Sales Associate,72489348.27,26354,2750.60,500.12,4999.95
Online Shopper,Salesperson,71883740.16,26174,2746.38,500.09,4999.87
Online Shopper,Senior Salesperson,63175488.61,22905,2758.15,500.11,4999.94
Premium Shopper,Manager,67421986.70,24520,2749.67,500.17,4999.87
Premium Shopper,Sales Associate,71219422.17,25979,2741.42,500.23,4999.76
Premium Shopper,Salesperson,70951887.52,25757,2754.66,500.23,4999.86
Premium Shopper,Senior Salesperson,62010476.93,22469,2759.82,500.07,4998.79
