customer_segment,store_type,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Large Malls / Complexes,86673749.64,31465,2754.61,500.26,4999.97
Budget Shopper,Small Stores / Shops,91863385.06,33441,2747.03,500.51,4999.78
Budget Shopper,Supermarkets ,94914928.18,34452,2754.99,500.04,4999.93
Churn Risk,Large Malls / Complexes,87077275.88,31730,2744.32,500.36,4999.91
Churn Risk,Small Stores / Shops,92922850.36,33826,2747.08,500.07,4999.69
Churn Risk,Supermarkets ,95557683.52,34670,2756.21,500.17,4999.85
Deal Seeker,Large Malls / Complexes,88110525.51,32031,2750.79,500.13,4999.77
Deal Seeker,Small Stores / Shops,93446921.53,33956,2752.00,500.05,4999.82
Deal Seeker,Supermarkets ,95521291.04,34858,2740.30,500.07,4999.95
First-time Buyer,Large Malls / Complexes,87700674.51,31735,2763.53,500.26,4999.90
First-time Buyer,Small Stores / Shops,91821041.41,33359,2752.51,500.01,4999.83
First-time Buyer,Supermarkets ,94609418.09,34401,2750.19,500.00,4999.98
High Value,Large Malls / Complexes,86896665.30,31630,2747.29,500.10,4999.91
High Value,Small Stores / Shops,94327180.95,34298,2750.22,500.03,4999.98
High Value,Supermarkets ,94836940.39,34663,2735.97,500.13,4999.96
In-Store Regular,Large Malls / Complexes,86599819.11,31346,2762.71,500.25,4999.96
In-Store Regular,Small Stores / Shops,92707730.04,33685,2752.20,500.06,4999.96
In-Store Regular,Supermarkets ,94141019.51,34308,2744.00,500.03,4999.89
Loyal Customer,Large Malls / Complexes,86641806.56,31541,2746.96,500.18,4999.97
Loyal Customer,Small Stores / Shops,92831824.39,33690,2755.47,500.08,4999.89
Loyal Customer,Supermarkets ,95973369.77,34813,2756.83,500.20,4999.91
Occasional Shopper,Large Malls / Complexes,87610188.14,31935,2743.39,500.07,4999.80
Occasional Shopper,Small Stores / Shops,93093474.98,33705,2762.01,500.09,4999.65
Occasional Shopper,Supermarkets ,95737239.41,34918,2741.77,500.33,4999.75
Online Shopper,Large Malls / Complexes,88232957.49,31973,2759.61,500.11,4999.95
Online Shopper,Small Stores / Shops,92982078.29,33821,2749.24,500.15,4999.87
Online Shopper,Supermarkets ,96438782.30,35025,2753.43,500.04,4999.97
Premium Shopper,Large Malls / Complexes,86017735.96,31313,2747.03,500.29,4999.86
Premium Shopper,Small Stores / Shops,91280013.62,33108,2757.04,500.07,4999.67
Premium Shopper,Supermarkets ,94306023.76,34304,2749.13,500.23,4999.87
