customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,Large Malls / Complexes,12 Days of Deals,1684484.10,621,2712.53,502.32,4991.32
Budget Shopper,Large Malls / Complexes,Autumn Deals Drive,1661533.92,606,2741.81,501.91,4989.53
Budget Shopper,Large Malls / Complexes,BOGO Blitz,1791690.63,633,2830.47,536.40,4996.27
Budget Shopper,Large Malls / Complexes,Back to School Boost,1643050.56,614,2675.98,508.79,4989.51
Budget Shopper,Large Malls / Complexes,Birthday Bash Sale,1759315.70,644,2731.86,524.79,4992.29
Budget Shopper,Large Malls / Complexes,Black Friday Blowout,1853057.93,662,2799.18,502.21,4994.38
Budget Shopper,Large Malls / Complexes,Cart Crasher Campaign,1848649.44,675,2738.74,508.39,4995.62
Budget Shopper,Large Malls / Complexes,Cashback Carnival,1906428.67,669,2849.67,500.42,4992.15
Budget Shopper,Large Malls / Complexes,Clearance Countdown,1718728.07,633,2715.21,515.41,4995.72
Budget Shopper,Large Malls / Complexes,Countdown to Savings,1651274.29,630,2621.07,504.78,4989.61
Budget Shopper,Large Malls / Complexes,Customer Appreciation Week,1613723.01,598,2698.53,504.71,4992.48
Budget Shopper,Large Malls / Complexes,Cyber Monday Mania,1650606.97,610,2705.91,504.93,4992.94
Budget Shopper,Large Malls / Complexes,Deal of the Month,1836068.59,655,2803.16,502.25,4999.11
Budget Shopper,Large Malls / Complexes,Double Points Bonanza,1818783.68,668,2722.73,502.69,4983.61
Budget Shopper,Large Malls / Complexes,Early Bird Specials,1662745.87,602,2762.04,505.34,4998.19
Budget Shopper,Large Malls / Complexes,End of Season Sale,1752687.40,616,2845.27,510.44,4977.70
Budget Shopper,Large Malls / Complexes,Exclusive Insider Offers,1754281.85,640,2741.07,512.59,4999.90
Budget Shopper,Large Malls / Complexes,Festive Fever Promo,1633002.96,618,2642.40,508.66,4996.41
Budget Shopper,Large Malls / Complexes,Final Call Frenzy,1742648.57,610,2856.80,509.79,4997.52
Budget Shopper,Large Malls / Complexes,Flash Frenzy Friday,1750604.47,628,2787.59,507.52,4986.29
Budget Shopper,Large Malls / Complexes,"Gift More, Spend Less",1640683.59,582,2819.04,517.32,4999.74
Budget Shopper,Large Malls / Complexes,Golden Hour Bargains,1673137.25,625,2677.02,500.71,4997.28
Budget Shopper,Large Malls / Complexes,Green Weekend Deals,1805653.80,660,2735.84,500.26,4999.01
