store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Large Malls / Complexes,Manager,12 Days of Deals,4268577.19,1544,2764.62,500.37,4998.87
Large Malls / Complexes,Manager,Autumn Deals Drive,4480841.99,1640,2732.22,501.18,4999.13
Large Malls / Complexes,Manager,BOGO Blitz,4397764.06,1592,2762.41,507.54,4997.89
Large Malls / Complexes,Manager,Back to School Boost,4459289.31,1622,2749.25,501.66,4997.76
Large Malls / Complexes,Manager,Birthday Bash Sale,4321252.92,1580,2734.97,506.34,4999.34
Large Malls / Complexes,Manager,Black Friday Blowout,4253712.27,1565,2718.03,501.86,4998.42
Large Malls / Complexes,Manager,Cart Crasher Campaign,4456232.20,1629,2735.56,503.85,4995.62
Large Malls / Complexes,Manager,Cashback Carnival,4302459.12,1551,2773.99,508.75,4997.90
Large Malls / Complexes,Manager,Clearance Countdown,4506544.98,1638,2751.25,500.46,4998.17
Large Malls / Complexes,Manager,Countdown to Savings,4386004.88,1585,2767.20,504.64,4996.52
Large Malls / Complexes,Manager,Customer Appreciation Week,4399607.45,1626,2705.79,504.57,4997.51
Large Malls / Complexes,Manager,Cyber Monday Mania,4448789.69,1601,2778.76,503.56,4992.94
Large Malls / Complexes,Manager,Deal of the Month,4351308.70,1571,2769.77,500.90,4999.11
Large Malls / Complexes,Manager,Double Points Bonanza,4447809.64,1584,2807.96,502.21,4999.60
Large Malls / Complexes,Manager,Early Bird Specials,4337776.79,1592,2724.73,501.20,4998.19
Large Malls / Complexes,Manager,End of Season Sale,4372958.87,1608,2719.50,503.81,4998.76
Large Malls / Complexes,Manager,Exclusive Insider Offers,4298352.13,1560,2755.35,503.43,4998.78
Large Malls / Complexes,Manager,Festive Fever Promo,4494608.87,1627,2762.51,500.64,4998.89
Large Malls / Complexes,Manager,Final Call Frenzy,4482529.02,1627,2755.09,520.19,4992.32
Large Malls / Complexes,Manager,Flash Frenzy Friday,4311495.37,1577,2733.99,500.13,4996.85
Large Malls / Complexes,Manager,"Gift More, Spend Less",4183513.80,1556,2688.63,506.87,4999.74
Large Malls / Complexes,Manager,Golden Hour Bargains,4435708.29,1626,2727.99,511.16,4999.21
Large Malls / Complexes,Manager,Green Weekend Deals,4112020.08,1494,2752.36,504.20,4999.78
Large Malls / Complexes,Manager,Happy Hour Discounts,4537757.09,1635,2775.39,505.67,4998.94
Large Malls / Complexes,Manager,Holiday Shopping Rush,4239589.62,1552,2731.69,501.97,4997.27
Large Malls / Complexes,Manager,Hot Picks Promo,4654939.69,1700,2738.20,505.94,4994.45
Large Malls / Complexes,Manager,Instant Gratification Sale,4414783.17,1628,2711.78,503.79,4990.51
Large Malls / Complexes,Manager,Limited Time Treasures,4540057.73,1613,2814.67,500.43,4997.24
Large Malls / Complexes,Manager,Loyalty Rewards Blast,4216955.91,1558,2706.65,501.89,4998.22
Large Malls / Complexes,Manager,Mega Weekend Bonanza,4575808.79,1653,2768.18,502.30,4995.03
Large Malls / Complexes,Manager,Mid-Year Madness,4317807.32,1599,2700.32,501.32,4998.69
Large Malls / Complexes,Manager,Midnight Madness,4150726.80,1535,2704.06,502.64,4998.42
Large Malls / Complexes,Manager,Mystery Discount Days,4202061.68,1532,2742.86,502.96,4989.36
Large Malls / Complexes,Manager,New Arrival Showcase,4418050.26,1595,2769.94,507.24,4999.20
Large Malls / Complexes,Manager,New Product Launch Promo,4255187.47,1555,2736.45,503.34,4998.61
Large Malls / Complexes,Manager,New Year Kickoff,4257553.88,1543,2759.27,502.81,4996.42
Large Malls / Complexes,Manager,Price Drop Parade,4181800.41,1543,2710.18,500.07,4991.46
Large Malls / Complexes,Manager,Red Tag Clearance,4221316.98,1545,2732.24,500.88,4998.91
Large Malls / Complexes,Manager,Seasonal Surprise Box,4380281.16,1599,2739.39,501.18,4998.58
Large Malls / Complexes,Manager,Shop & Save Spectacular,4558844.10,1608,2835.10,506.96,4998.60
Large Malls / Complexes,Manager,Smart Shopper Week,4210342.78,1545,2725.14,500.56,4999.40
Large Malls / Complexes,Manager,Spring Refresh Event,4603588.22,1646,2796.83,507.77,4997.69
Large Malls / Complexes,Manager,Spring Splash Discounts,4201398.13,1554,2703.60,505.77,4998.92
Large Malls / Complexes,Manager,Summer Sizzle Promo,4042523.00,1494,2705.84,501.20,4998.58
Large Malls / Complexes,Manager,Super Savings Week,4287930.83,1579,2715.60,500.28,4996.22
Large Malls / Complexes,Manager,Ultimate Value Event,4209426.02,1561,2696.62,500.47,4999.91
Large Malls / Complexes,Manager,VIP Access Sale,4263108.75,1557,2738.03,505.32,4998.87
Large Malls / Complexes,Manager,Weekend Warrior Specials,4389952.71,1557,2819.49,501.07,4999.65
Large Malls / Complexes,Manager,Winter Clearance Carnival,4461239.18,1594,2798.77,504.18,4994.03
