brand,customer_segment,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Budget Shopper,Manager,4527346.69,1634,2770.71,500.43,4996.74
Adidas,Budget Shopper,Sales Associate,4853348.71,1742,2786.08,505.34,4998.36
Adidas,Budget Shopper,Salesperson,4663059.11,1708,2730.13,501.20,4999.95
Adidas,Budget Shopper,Senior Salesperson,3995011.25,1463,2730.70,502.14,4994.90
Adidas,Churn Risk,Manager,4530907.40,1670,2713.12,505.67,4998.38
Adidas,Churn Risk,Sales Associate,4605657.02,1680,2741.46,503.18,4998.56
Adidas,Churn Risk,Salesperson,4887822.67,1745,2801.04,506.71,4999.18
Adidas,Churn Risk,Senior Salesperson,4074384.33,1480,2752.96,500.73,4999.86
Adidas,Deal Seeker,Manager,4709522.75,1666,2826.84,501.32,4996.56
Adidas,Deal Seeker,Sales Associate,5014142.26,1786,2807.47,500.52,4998.10
Adidas,Deal Seeker,Salesperson,4787418.74,1741,2749.81,501.46,4995.87
Adidas,Deal Seeker,Senior Salesperson,4194327.32,1532,2737.81,500.46,4996.95
Adidas,First-time Buyer,Manager,4690190.06,1694,2768.71,501.06,4993.86
Adidas,First-time Buyer,Sales Associate,4667253.98,1710,2729.39,503.01,4997.63
Adidas,First-time Buyer,Salesperson,4859835.14,1762,2758.14,503.40,4997.05
Adidas,First-time Buyer,Senior Salesperson,3953519.75,1457,2713.47,503.51,4999.86
Adidas,High Value,Manager,4427404.73,1638,2702.93,500.17,4999.38
Adidas,High Value,Sales Associate,4845567.74,1783,2717.65,500.95,4999.78
Adidas,High Value,Salesperson,4708324.09,1717,2742.18,502.17,4998.80
Adidas,High Value,Senior Salesperson,4210711.49,1540,2734.23,501.48,4996.37
Adidas,In-Store Regular,Manager,4491068.59,1618,2775.69,500.45,4998.18
Adidas,In-Store Regular,Sales Associate,4748308.74,1707,2781.67,503.76,4999.76
Adidas,In-Store Regular,Salesperson,4398522.93,1616,2721.86,503.94,4997.48
Adidas,In-Store Regular,Senior Salesperson,4165940.71,1525,2731.76,501.08,4998.24
Adidas,Loyal Customer,Manager,4463992.90,1619,2757.25,501.61,4998.83
Adidas,Loyal Customer,Sales Associate,4825832.71,1737,2778.26,500.58,4998.71
Adidas,Loyal Customer,Salesperson,4949264.80,1809,2735.91,503.40,4991.84
Adidas,Loyal Customer,Senior Salesperson,4365064.09,1577,2767.95,501.65,4995.53
Adidas,Occasional Shopper,Manager,4751667.27,1707,2783.64,500.33,4999.05
Adidas,Occasional Shopper,Sales Associate,4762745.05,1737,2741.94,502.59,4998.86
Adidas,Occasional Shopper,Salesperson,4746775.48,1717,2764.58,501.08,4995.70
Adidas,Occasional Shopper,Senior Salesperson,4423889.45,1561,2834.01,502.00,4994.73
Adidas,Online Shopper,Manager,4673204.43,1676,2788.31,502.26,4990.14
Adidas,Online Shopper,Sales Associate,4754303.75,1744,2726.09,503.72,4999.41
Adidas,Online Shopper,Salesperson,4451696.52,1643,2709.49,500.89,4993.50
Adidas,Online Shopper,Senior Salesperson,4083287.77,1512,2700.59,500.11,4990.37
Adidas,Premium Shopper,Manager,4355687.57,1585,2748.07,502.53,4998.07
Adidas,Premium Shopper,Sales Associate,4669251.54,1714,2724.18,500.83,4999.76
Adidas,Premium Shopper,Salesperson,4832870.59,1743,2772.73,502.87,4993.87
Adidas,Premium Shopper,Senior Salesperson,3969829.29,1476,2689.59,502.29,4995.60
Amul,Budget Shopper,Manager,2275469.57,834,2728.38,504.89,4998.19
Amul,Budget Shopper,Sales Associate,2415774.02,857,2818.87,505.34,4995.73
Amul,Budget Shopper,Salesperson,2504369.14,896,2795.05,504.65,4994.33
Amul,Budget Shopper,Senior Salesperson,2082955.43,763,2729.95,531.00,4991.62
Amul,Churn Risk,Manager,2398582.28,869,2760.16,502.30,4994.07
Amul,Churn Risk,Sales Associate,2480302.91,890,2786.86,508.02,4996.54
Amul,Churn Risk,Salesperson,2129923.06,796,2675.78,509.59,4991.33
Amul,Churn Risk,Senior Salesperson,2110936.41,789,2675.46,507.40,4993.47
Amul,Deal Seeker,Manager,2259808.14,836,2703.12,514.24,4991.73
Amul,Deal Seeker,Sales Associate,2506128.57,891,2812.71,501.88,4990.30
Amul,Deal Seeker,Salesperson,2376922.89,873,2722.71,505.32,4998.30
Amul,Deal Seeker,Senior Salesperson,1969244.49,702,2805.19,506.22,4996.45
Amul,First-time Buyer,Manager,2302018.10,846,2721.06,503.45,4998.98
Amul,First-time Buyer,Sales Associate,2340382.67,880,2659.53,504.35,4989.51
Amul,First-time Buyer,Salesperson,2449635.49,899,2724.84,500.26,4995.35
Amul,First-time Buyer,Senior Salesperson,2012188.14,725,2775.43,502.25,4997.33
Amul,High Value,Manager,2318993.16,847,2737.89,500.47,4989.05
Amul,High Value,Sales Associate,2317783.70,860,2695.10,515.42,4997.68
Amul,High Value,Salesperson,2463684.44,884,2786.97,500.95,4998.10
Amul,High Value,Senior Salesperson,2173897.98,807,2693.80,501.33,4994.94
Amul,In-Store Regular,Manager,2284165.78,828,2758.65,509.79,4993.79
Amul,In-Store Regular,Sales Associate,2440642.40,906,2693.87,504.51,4994.74
