brand,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,Manager,14649859.89,5260,2785.14,500.43,4998.18
Adidas,Large Malls / Complexes,Sales Associate,15317940.07,5567,2751.56,500.83,4999.76
Adidas,Large Malls / Complexes,Salesperson,15356956.07,5563,2760.55,501.08,4999.95
Adidas,Large Malls / Complexes,Senior Salesperson,13257841.19,4805,2759.18,500.11,4999.86
Adidas,Small Stores / Shops,Manager,15210780.67,5512,2759.58,500.17,4999.05
Adidas,Small Stores / Shops,Sales Associate,15909451.37,5787,2749.17,500.58,4999.78
Adidas,Small Stores / Shops,Salesperson,15960781.99,5805,2749.49,502.17,4998.34
Adidas,Small Stores / Shops,Senior Salesperson,13765240.32,5020,2742.08,500.73,4995.17
Adidas,Supermarkets ,Manager,15760351.81,5735,2748.10,500.33,4999.38
Adidas,Supermarkets ,Sales Associate,16519020.06,5986,2759.61,500.52,4999.33
Adidas,Supermarkets ,Salesperson,15967851.99,5833,2737.50,500.89,4998.80
Adidas,Supermarkets ,Senior Salesperson,14412883.93,5298,2720.44,500.46,4999.86
Amul,Large Malls / Complexes,Manager,7141724.91,2611,2735.25,500.47,4998.19
Amul,Large Malls / Complexes,Sales Associate,7702784.03,2800,2750.99,501.41,4997.68
Amul,Large Malls / Complexes,Salesperson,7265230.92,2656,2735.40,500.26,4998.30
Amul,Large Malls / Complexes,Senior Salesperson,6409105.45,2342,2736.59,501.33,4999.80
Amul,Small Stores / Shops,Manager,7623841.13,2805,2717.95,501.42,4998.98
Amul,Small Stores / Shops,Sales Associate,8073228.15,2919,2765.75,503.67,4995.02
Amul,Small Stores / Shops,Salesperson,8036728.63,2938,2735.44,500.62,4996.14
Amul,Small Stores / Shops,Senior Salesperson,7197605.44,2603,2765.12,502.25,4996.88
Amul,Supermarkets ,Manager,8089162.45,2946,2745.81,505.72,4995.56
Amul,Supermarkets ,Sales Associate,8293869.29,3045,2723.77,500.74,4998.75
Amul,Supermarkets ,Salesperson,8380979.43,3059,2739.78,504.05,4997.96
Amul,Supermarkets ,Senior Salesperson,7272527.38,2644,2750.58,500.84,4996.48
Apple,Large Malls / Complexes,Manager,7127334.62,2565,2778.69,500.64,4999.20
Apple,Large Malls / Complexes,Sales Associate,7337178.90,2689,2728.59,500.60,4999.77
Apple,Large Malls / Complexes,Salesperson,7768288.03,2800,2774.39,500.25,4999.83
Apple,Large Malls / Complexes,Senior Salesperson,6342732.41,2338,2712.89,504.78,4999.96
Apple,Small Stores / Shops,Manager,7822733.72,2834,2760.32,501.68,4999.80
Apple,Small Stores / Shops,Sales Associate,8188342.96,2947,2778.54,500.55,4998.11
Apple,Small Stores / Shops,Salesperson,8099876.65,2964,2732.75,500.80,4997.50
Apple,Small Stores / Shops,Senior Salesperson,6906518.12,2513,2748.32,500.26,4998.48
Apple,Supermarkets ,Manager,7964369.60,2895,2751.08,509.10,4994.08
Apple,Supermarkets ,Sales Associate,8177009.48,3010,2716.61,500.70,4997.96
Apple,Supermarkets ,Salesperson,8397740.33,3051,2752.46,501.00,4999.96
Apple,Supermarkets ,Senior Salesperson,6976061.51,2552,2733.57,502.32,4997.92
Bosch,Large Malls / Complexes,Manager,7247131.95,2679,2705.16,500.88,4998.91
Bosch,Large Malls / Complexes,Sales Associate,7451962.50,2744,2715.73,501.60,4999.74
Bosch,Large Malls / Complexes,Salesperson,7349241.30,2691,2731.04,500.80,4998.98
Bosch,Large Malls / Complexes,Senior Salesperson,6498906.81,2378,2732.93,500.71,4999.30
