brand,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Adidas,Large Malls / Complexes,Manager,Autumn Deals Drive,316517.49,113,2801.04,593.03,4982.21
Adidas,Large Malls / Complexes,Manager,Black Friday Blowout,300806.88,107,2811.28,502.05,4947.74
Adidas,Large Malls / Complexes,Manager,Cart Crasher Campaign,305650.48,111,2753.61,653.28,4979.31
Adidas,Large Malls / Complexes,Manager,Clearance Countdown,334129.93,113,2956.90,532.69,4986.35
Adidas,Large Malls / Complexes,Manager,Customer Appreciation Week,344905.71,117,2947.91,591.30,4937.49
Adidas,Large Malls / Complexes,Manager,Cyber Monday Mania,303428.48,100,3034.28,548.84,4986.22
Adidas,Large Malls / Complexes,Manager,Double Points Bonanza,314699.92,108,2913.89,550.21,4996.56
Adidas,Large Malls / Complexes,Manager,Early Bird Specials,319390.30,109,2930.19,526.61,4998.17
Adidas,Large Malls / Complexes,Manager,End of Season Sale,302234.87,111,2722.84,555.33,4983.53
Adidas,Large Malls / Complexes,Manager,Exclusive Insider Offers,340642.74,120,2838.69,526.99,4927.69
Adidas,Large Malls / Complexes,Manager,Final Call Frenzy,314367.61,120,2619.73,525.27,4907.49
Adidas,Large Malls / Complexes,Manager,"Gift More, Spend Less",324570.08,126,2575.95,561.11,4990.08
Adidas,Large Malls / Complexes,Manager,Holiday Shopping Rush,304405.50,107,2844.91,506.77,4978.37
Adidas,Large Malls / Complexes,Manager,Limited Time Treasures,301325.26,105,2869.76,500.43,4983.53
Adidas,Large Malls / Complexes,Manager,Midnight Madness,322366.39,115,2803.19,556.43,4938.34
Adidas,Large Malls / Complexes,Manager,Price Drop Parade,329604.44,120,2746.70,507.14,4984.37
Adidas,Large Malls / Complexes,Manager,Shop & Save Spectacular,300984.48,100,3009.84,511.32,4960.40
Adidas,Large Malls / Complexes,Manager,Spring Refresh Event,304333.43,104,2926.28,565.27,4985.02
Adidas,Large Malls / Complexes,Manager,Summer Sizzle Promo,306540.95,108,2838.34,544.24,4886.96
