category,brand,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,90060978.61,32854,2741.25,500.11,4999.95
Clothing,Levi's,92346856.97,33566,2751.20,500.12,4999.97
Clothing,Nike,92337583.26,33462,2759.48,500.14,4999.95
Clothing,Puma,91042264.03,33080,2752.18,500.07,4999.98
Clothing,Zara,90582143.78,32893,2753.84,500.32,4999.91
Electronics,Apple,91108186.32,33158,2747.70,500.25,4999.96
Electronics,LG,91712245.92,33270,2756.60,500.17,4999.77
Electronics,Panasonic,92502827.11,33485,2762.52,500.09,4999.96
Electronics,Samsung,92496701.86,33522,2759.28,500.13,4999.71
Electronics,Sony,90915943.70,33149,2742.65,500.05,4999.96
Furniture,Godrej Interio,91275946.51,33330,2738.55,500.23,4999.77
Furniture,Home Centre,92490665.49,33478,2762.73,500.23,4999.90
Furniture,IKEA,92237873.85,33561,2748.36,500.06,4999.69
Furniture,Pepperfry,91656619.51,33259,2755.84,500.36,4999.47
Furniture,Urban Ladder,91808297.69,33278,2758.83,500.07,4999.88
Groceries,Amul,91486787.21,33368,2741.75,500.26,4999.80
Groceries,Britannia,90385394.72,32986,2740.11,500.31,4999.95
Groceries,Kellogg's,91551076.18,33223,2755.65,500.12,4999.96
Groceries,Nestle,91175979.66,33127,2752.32,500.03,4999.92
Groceries,Tata,92015944.77,33380,2756.62,500.01,4999.97
Home Appliances,Bosch,90614489.30,33226,2727.22,500.10,4999.80
Home Appliances,Haier,91719159.31,33416,2744.77,500.00,4999.91
Home Appliances,LG,91742495.02,33376,2748.76,500.28,4999.91
Home Appliances,Samsung,91935092.86,33428,2750.24,500.09,4999.98
Home Appliances,Whirlpool,91969638.24,33483,2746.76,500.21,4999.93
Sports & Outdoors,Adidas,92027980.76,33317,2762.19,500.23,4999.78
Sports & Outdoors,Decathlon,91651419.02,33349,2748.25,500.07,4999.97
Sports & Outdoors,Nike,92929585.99,33713,2756.49,500.01,4999.83
Sports & Outdoors,Puma,92406758.58,33615,2748.97,500.03,4999.89
Sports & Outdoors,Reebok,92687658.46,33648,2754.63,500.04,4999.65
