category,brand,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Manager,22673422.58,8275,2739.99,500.17,4999.38
Clothing,Adidas,Sales Associate,23556902.14,8588,2743.00,500.52,4999.76
Clothing,Adidas,Salesperson,23680027.05,8638,2741.38,501.20,4999.95
Clothing,Adidas,Senior Salesperson,20150626.84,7353,2740.46,500.11,4999.86
Clothing,Levi's,Manager,22974605.64,8343,2753.76,500.17,4999.21
Clothing,Levi's,Sales Associate,24335450.37,8914,2730.03,500.12,4999.85
Clothing,Levi's,Salesperson,23958960.12,8676,2761.52,501.79,4999.97
Clothing,Levi's,Senior Salesperson,21077840.83,7633,2761.41,502.02,4999.60
Clothing,Nike,Manager,22931027.12,8299,2763.11,500.55,4999.75
Clothing,Nike,Sales Associate,24633937.60,8901,2767.55,500.14,4999.95
Clothing,Nike,Salesperson,24017624.36,8737,2748.96,500.43,4999.33
Clothing,Nike,Senior Salesperson,20754994.18,7525,2758.14,500.29,4999.08
Clothing,Puma,Manager,22684800.46,8249,2750.01,500.82,4999.40
Clothing,Puma,Sales Associate,23896228.73,8705,2745.12,500.18,4999.85
Clothing,Puma,Salesperson,23487467.73,8549,2747.39,500.66,4999.17
Clothing,Puma,Senior Salesperson,20973767.12,7577,2768.08,500.07,4999.98
Clothing,Zara,Manager,22773770.80,8294,2745.81,500.32,4998.58
Clothing,Zara,Sales Associate,24048122.68,8712,2760.34,501.59,4999.91
Clothing,Zara,Salesperson,23265355.06,8487,2741.29,500.50,4999.82
Clothing,Zara,Senior Salesperson,20494895.22,7400,2769.58,501.24,4999.81
Electronics,Apple,Manager,22914437.94,8294,2762.77,500.64,4999.80
Electronics,Apple,Sales Associate,23702531.34,8646,2741.44,500.55,4999.77
Electronics,Apple,Salesperson,24265905.00,8815,2752.80,500.25,4999.96
Electronics,Apple,Senior Salesperson,20225312.04,7403,2732.04,500.26,4999.96
Electronics,LG,Manager,22703174.57,8275,2743.59,500.17,4998.70
Electronics,LG,Sales Associate,24271468.83,8837,2746.57,500.70,4999.77
Electronics,LG,Salesperson,24057634.73,8701,2764.93,502.05,4999.20
Electronics,LG,Senior Salesperson,20679967.78,7457,2773.23,501.06,4999.45
Electronics,Panasonic,Manager,22925590.33,8318,2756.14,500.20,4999.87
Electronics,Panasonic,Sales Associate,24499916.70,8917,2747.55,501.34,4999.90
Electronics,Panasonic,Salesperson,24225948.24,8729,2775.34,500.09,4999.67
Electronics,Panasonic,Senior Salesperson,20851371.85,7521,2772.42,500.14,4999.96
Electronics,Samsung,Manager,23298746.44,8436,2761.82,500.13,4998.97
Electronics,Samsung,Sales Associate,24056781.88,8779,2740.26,501.03,4999.63
Electronics,Samsung,Salesperson,23827518.09,8633,2760.05,500.93,4999.71
Electronics,Samsung,Senior Salesperson,21313655.45,7674,2777.39,501.42,4999.69
Electronics,Sony,Manager,22861987.91,8338,2741.90,500.05,4999.15
Electronics,Sony,Sales Associate,24240690.86,8780,2760.90,500.19,4999.96
Electronics,Sony,Salesperson,23354319.27,8543,2733.74,501.33,4998.62
Electronics,Sony,Senior Salesperson,20458945.65,7488,2732.23,500.69,4998.40
Furniture,Godrej Interio,Manager,22782708.19,8346,2729.78,500.68,4999.65
Furniture,Godrej Interio,Sales Associate,23714005.99,8653,2740.55,500.23,4999.44
Furniture,Godrej Interio,Salesperson,23757337.26,8663,2742.39,500.38,4999.17
Furniture,Godrej Interio,Senior Salesperson,21021895.06,7668,2741.51,501.18,4999.77
Furniture,Home Centre,Manager,23115789.45,8386,2756.47,500.93,4999.90
Furniture,Home Centre,Sales Associate,24791393.67,8978,2761.35,501.40,4999.68
Furniture,Home Centre,Salesperson,23841140.05,8579,2779.01,500.23,4999.64
Furniture,Home Centre,Senior Salesperson,20742342.32,7535,2752.80,500.56,4999.30
