category,brand,store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Adidas,Large Malls / Complexes,Manager,7237192.78,2607,2776.06,501.32,4994.20
Clothing,Adidas,Large Malls / Complexes,Sales Associate,7495518.89,2718,2757.73,500.83,4999.76
Clothing,Adidas,Large Malls / Complexes,Salesperson,7652139.44,2787,2745.65,505.52,4999.95
Clothing,Adidas,Large Malls / Complexes,Senior Salesperson,6456074.72,2345,2753.12,500.11,4999.86
Clothing,Adidas,Small Stores / Shops,Manager,7527254.67,2735,2752.20,500.17,4996.59
Clothing,Adidas,Small Stores / Shops,Sales Associate,7721903.23,2821,2737.29,500.58,4999.41
Clothing,Adidas,Small Stores / Shops,Salesperson,8005373.49,2904,2756.67,502.17,4998.34
Clothing,Adidas,Small Stores / Shops,Senior Salesperson,6701633.16,2449,2736.48,503.07,4994.90
Clothing,Adidas,Supermarkets ,Manager,7908975.13,2933,2696.55,500.53,4999.38
Clothing,Adidas,Supermarkets ,Sales Associate,8339480.01,3049,2735.15,500.52,4998.40
Clothing,Adidas,Supermarkets ,Salesperson,8022514.12,2947,2722.26,501.20,4998.80
Clothing,Adidas,Supermarkets ,Senior Salesperson,6992918.96,2559,2732.68,500.46,4999.86
Clothing,Levi's,Large Malls / Complexes,Manager,7424553.84,2694,2755.96,500.37,4996.58
Clothing,Levi's,Large Malls / Complexes,Sales Associate,7614660.14,2784,2735.15,500.60,4997.07
Clothing,Levi's,Large Malls / Complexes,Salesperson,7670770.90,2764,2775.24,502.63,4999.97
Clothing,Levi's,Large Malls / Complexes,Senior Salesperson,6432604.19,2349,2738.44,502.02,4999.60
Clothing,Levi's,Small Stores / Shops,Manager,7588139.88,2765,2744.35,500.17,4999.21
Clothing,Levi's,Small Stores / Shops,Sales Associate,8166933.32,3014,2709.67,501.31,4999.49
Clothing,Levi's,Small Stores / Shops,Salesperson,8320393.44,3005,2768.85,503.19,4998.97
Clothing,Levi's,Small Stores / Shops,Senior Salesperson,7398909.06,2663,2778.41,502.23,4997.36
Clothing,Levi's,Supermarkets ,Manager,7961911.93,2884,2760.72,500.17,4998.47
Clothing,Levi's,Supermarkets ,Sales Associate,8553856.91,3116,2745.14,500.12,4999.85
Clothing,Levi's,Supermarkets ,Salesperson,7967795.78,2907,2740.90,501.79,4996.75
Clothing,Levi's,Supermarkets ,Senior Salesperson,7246327.58,2621,2764.72,506.33,4994.57
Clothing,Nike,Large Malls / Complexes,Manager,7070182.42,2601,2718.26,501.20,4999.12
Clothing,Nike,Large Malls / Complexes,Sales Associate,7704760.56,2791,2760.57,500.72,4998.76
Clothing,Nike,Large Malls / Complexes,Salesperson,7572380.41,2785,2718.99,500.82,4999.19
Clothing,Nike,Large Malls / Complexes,Senior Salesperson,6579937.36,2417,2722.36,500.29,4999.01
Clothing,Nike,Small Stores / Shops,Manager,7916540.91,2841,2786.53,500.55,4996.81
Clothing,Nike,Small Stores / Shops,Sales Associate,8301236.73,3007,2760.64,500.14,4999.95
Clothing,Nike,Small Stores / Shops,Salesperson,8366356.49,3016,2773.99,502.13,4998.67
Clothing,Nike,Small Stores / Shops,Senior Salesperson,6986016.36,2523,2768.93,500.65,4999.08
Clothing,Nike,Supermarkets ,Manager,7944303.79,2857,2780.65,500.89,4999.75
Clothing,Nike,Supermarkets ,Sales Associate,8627940.31,3103,2780.52,500.77,4994.34
Clothing,Nike,Supermarkets ,Salesperson,8078887.46,2936,2751.66,500.43,4999.33
Clothing,Nike,Supermarkets ,Senior Salesperson,7189040.47,2585,2781.06,501.15,4998.67
Clothing,Puma,Large Malls / Complexes,Manager,7293733.71,2678,2723.57,503.81,4998.56
Clothing,Puma,Large Malls / Complexes,Sales Associate,7717327.91,2794,2762.11,500.18,4999.45
Clothing,Puma,Large Malls / Complexes,Salesperson,7173520.37,2621,2736.94,500.66,4998.12
Clothing,Puma,Large Malls / Complexes,Senior Salesperson,6385498.04,2346,2721.87,504.71,4997.93
Clothing,Puma,Small Stores / Shops,Manager,7711294.22,2775,2778.84,503.51,4999.40
Clothing,Puma,Small Stores / Shops,Sales Associate,7957169.01,2885,2758.12,500.57,4997.38
Clothing,Puma,Small Stores / Shops,Salesperson,7976884.30,2903,2747.81,505.09,4998.14
Clothing,Puma,Small Stores / Shops,Senior Salesperson,7395220.62,2636,2805.47,500.07,4999.68
Clothing,Puma,Supermarkets ,Manager,7679772.54,2796,2746.70,500.82,4998.51
