category,customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,12 Days of Deals,932340.99,345,2702.44,502.32,4991.32
Clothing,Budget Shopper,Autumn Deals Drive,902978.82,326,2769.87,501.91,4990.58
Clothing,Budget Shopper,BOGO Blitz,973027.07,340,2861.84,517.43,4993.22
Clothing,Budget Shopper,Back to School Boost,916757.19,337,2720.35,510.39,4986.50
Clothing,Budget Shopper,Birthday Bash Sale,879082.77,330,2663.89,518.24,4992.91
Clothing,Budget Shopper,Black Friday Blowout,985499.85,354,2783.90,502.21,4976.83
Clothing,Budget Shopper,Cart Crasher Campaign,993489.43,349,2846.67,557.26,4996.24
Clothing,Budget Shopper,Cashback Carnival,1076221.99,380,2832.16,502.91,4982.95
Clothing,Budget Shopper,Clearance Countdown,856792.05,315,2719.97,503.98,4988.20
Clothing,Budget Shopper,Countdown to Savings,987013.95,350,2820.04,503.90,4985.41
Clothing,Budget Shopper,Customer Appreciation Week,835660.93,295,2832.75,508.47,4983.91
Clothing,Budget Shopper,Cyber Monday Mania,913015.53,333,2741.79,505.15,4993.46
Clothing,Budget Shopper,Deal of the Month,925461.12,333,2779.16,598.75,4991.80
Clothing,Budget Shopper,Double Points Bonanza,1092982.27,396,2760.06,518.64,4995.86
Clothing,Budget Shopper,Early Bird Specials,824836.64,308,2678.04,506.63,4996.74
Clothing,Budget Shopper,End of Season Sale,969594.49,350,2770.27,527.84,4999.17
Clothing,Budget Shopper,Exclusive Insider Offers,833906.91,314,2655.75,504.62,4991.57
Clothing,Budget Shopper,Festive Fever Promo,837078.25,317,2640.63,530.10,4953.62
Clothing,Budget Shopper,Final Call Frenzy,1010506.93,342,2954.70,528.82,4989.90
Clothing,Budget Shopper,Flash Frenzy Friday,920117.95,326,2822.45,501.20,4996.58
Clothing,Budget Shopper,"Gift More, Spend Less",877128.85,315,2784.54,518.98,4988.68
Clothing,Budget Shopper,Golden Hour Bargains,809467.83,293,2762.69,523.61,4999.85
Clothing,Budget Shopper,Green Weekend Deals,941705.64,340,2769.72,512.49,4999.01
Clothing,Budget Shopper,Happy Hour Discounts,899691.65,340,2646.15,529.17,4952.41
Clothing,Budget Shopper,Holiday Shopping Rush,1024902.14,350,2928.29,506.38,4992.48
Clothing,Budget Shopper,Hot Picks Promo,920208.89,343,2682.82,512.09,4984.66
Clothing,Budget Shopper,Instant Gratification Sale,780470.32,287,2719.41,516.12,4994.90
Clothing,Budget Shopper,Limited Time Treasures,933580.97,344,2713.90,504.90,4997.38
Clothing,Budget Shopper,Loyalty Rewards Blast,878306.62,316,2779.45,588.99,4971.65
Clothing,Budget Shopper,Mega Weekend Bonanza,930326.63,341,2728.23,512.13,4980.14
Clothing,Budget Shopper,Mid-Year Madness,969992.40,355,2732.37,505.48,4989.93
Clothing,Budget Shopper,Midnight Madness,920020.10,343,2682.27,509.57,4973.36
Clothing,Budget Shopper,Mystery Discount Days,875124.21,324,2701.00,538.53,4975.27
Clothing,Budget Shopper,New Arrival Showcase,879399.02,316,2782.91,515.54,4991.08
Clothing,Budget Shopper,New Product Launch Promo,905808.29,319,2839.52,507.38,4999.95
Clothing,Budget Shopper,New Year Kickoff,914811.08,331,2763.78,519.85,4973.48
Clothing,Budget Shopper,Price Drop Parade,834348.06,315,2648.72,506.30,4977.32
Clothing,Budget Shopper,Red Tag Clearance,959624.26,349,2749.64,511.82,4996.92
Clothing,Budget Shopper,Seasonal Surprise Box,914623.32,324,2822.91,527.98,4984.25
Clothing,Budget Shopper,Shop & Save Spectacular,973364.40,346,2813.19,511.64,4997.51
Clothing,Budget Shopper,Smart Shopper Week,871988.00,326,2674.81,538.77,4985.85
Clothing,Budget Shopper,Spring Refresh Event,845007.37,309,2734.65,501.09,4987.97
Clothing,Budget Shopper,Spring Splash Discounts,924977.64,347,2665.64,509.24,4993.20
Clothing,Budget Shopper,Summer Sizzle Promo,811140.42,306,2650.79,513.95,4982.52
Clothing,Budget Shopper,Super Savings Week,834109.25,308,2708.15,507.88,4999.08
Clothing,Budget Shopper,Ultimate Value Event,970595.27,347,2797.10,526.43,4999.12
Clothing,Budget Shopper,VIP Access Sale,901761.51,332,2716.15,507.99,4986.57
Clothing,Budget Shopper,Weekend Warrior Specials,927624.11,345,2688.77,502.76,4953.54
Clothing,Budget Shopper,Winter Clearance Carnival,909500.86,320,2842.19,547.96,4985.99
Clothing,Budget Shopper,Winter Wonders Sale,916230.04,329,2784.89,577.90,4969.49
Clothing,Churn Risk,12 Days of Deals,960507.38,350,2744.31,524.45,4977.84
Clothing,Churn Risk,Autumn Deals Drive,921246.59,340,2709.55,518.98,4992.48
Clothing,Churn Risk,BOGO Blitz,954874.72,338,2825.07,556.04,4999.45
Clothing,Churn Risk,Back to School Boost,956083.39,347,2755.28,501.92,4991.50
Clothing,Churn Risk,Birthday Bash Sale,1074378.27,377,2849.81,501.83,4997.78
Clothing,Churn Risk,Black Friday Blowout,804750.26,299,2691.47,503.18,4995.99
Clothing,Churn Risk,Cart Crasher Campaign,887226.08,336,2640.55,519.47,4997.29
Clothing,Churn Risk,Cashback Carnival,913695.32,340,2687.34,505.92,4994.40
Clothing,Churn Risk,Clearance Countdown,825016.54,298,2768.51,508.53,4996.24
Clothing,Churn Risk,Countdown to Savings,879881.33,327,2690.77,520.50,4990.06
Clothing,Churn Risk,Customer Appreciation Week,867640.80,322,2694.54,525.36,4981.97
Clothing,Churn Risk,Cyber Monday Mania,939177.33,323,2907.67,509.47,4992.60
Clothing,Churn Risk,Deal of the Month,920305.98,343,2683.11,502.65,4982.42
Clothing,Churn Risk,Double Points Bonanza,841727.01,311,2706.52,501.38,4981.32
Clothing,Churn Risk,Early Bird Specials,905228.07,321,2820.03,519.84,4997.16
Clothing,Churn Risk,End of Season Sale,999719.81,354,2824.07,503.81,4995.12
Clothing,Churn Risk,Exclusive Insider Offers,865319.07,322,2687.33,508.78,4989.88
Clothing,Churn Risk,Festive Fever Promo,903205.51,338,2672.21,510.97,4995.75
Clothing,Churn Risk,Final Call Frenzy,949014.91,346,2742.82,513.55,4993.58
Clothing,Churn Risk,Flash Frenzy Friday,930512.88,345,2697.14,511.20,4968.76
Clothing,Churn Risk,"Gift More, Spend Less",952352.43,350,2721.01,510.65,4977.65
Clothing,Churn Risk,Golden Hour Bargains,993423.93,351,2830.27,500.57,4994.31
Clothing,Churn Risk,Green Weekend Deals,902003.69,337,2676.57,516.31,4968.92
Clothing,Churn Risk,Happy Hour Discounts,941997.52,342,2754.38,503.04,4994.51
Clothing,Churn Risk,Holiday Shopping Rush,922867.82,333,2771.37,526.90,4974.99
Clothing,Churn Risk,Hot Picks Promo,900250.31,333,2703.45,504.24,4985.45
Clothing,Churn Risk,Instant Gratification Sale,900606.03,335,2688.38,514.89,4998.85
Clothing,Churn Risk,Limited Time Treasures,919875.41,329,2795.97,520.25,4989.54
Clothing,Churn Risk,Loyalty Rewards Blast,888378.96,320,2776.18,500.82,4998.22
Clothing,Churn Risk,Mega Weekend Bonanza,952737.66,342,2785.78,503.55,4996.67
Clothing,Churn Risk,Mid-Year Madness,1004045.34,357,2812.45,502.44,4969.79
Clothing,Churn Risk,Midnight Madness,918283.66,324,2834.21,508.22,4976.33
Clothing,Churn Risk,Mystery Discount Days,974074.64,351,2775.14,521.58,4998.98
Clothing,Churn Risk,New Arrival Showcase,934239.81,341,2739.71,500.17,4992.69
Clothing,Churn Risk,New Product Launch Promo,892134.64,339,2631.67,509.60,4999.18
Clothing,Churn Risk,New Year Kickoff,936960.21,348,2692.41,518.02,4990.26
Clothing,Churn Risk,Price Drop Parade,785919.75,299,2628.49,508.52,4996.09
Clothing,Churn Risk,Red Tag Clearance,827620.64,305,2713.51,508.96,4985.45
Clothing,Churn Risk,Seasonal Surprise Box,978680.47,353,2772.47,529.30,4988.87
Clothing,Churn Risk,Shop & Save Spectacular,959359.11,340,2821.64,506.29,4999.91
Clothing,Churn Risk,Smart Shopper Week,912841.30,334,2733.06,504.15,4999.86
Clothing,Churn Risk,Spring Refresh Event,823718.56,304,2709.60,506.20,4997.20
Clothing,Churn Risk,Spring Splash Discounts,909728.09,334,2723.74,505.77,4960.86
Clothing,Churn Risk,Summer Sizzle Promo,872087.26,327,2666.93,511.51,4998.58
Clothing,Churn Risk,Super Savings Week,1007575.06,356,2830.27,505.22,4994.09
Clothing,Churn Risk,Ultimate Value Event,869334.99,323,2691.44,522.48,4998.67
Clothing,Churn Risk,VIP Access Sale,908491.53,321,2830.19,513.77,4990.46
Clothing,Churn Risk,Weekend Warrior Specials,881488.54,335,2631.31,517.69,4995.92
Clothing,Churn Risk,Winter Clearance Carnival,931631.66,336,2772.71,510.18,4999.04
Clothing,Churn Risk,Winter Wonders Sale,896370.48,338,2651.98,510.86,4977.17
Clothing,Deal Seeker,12 Days of Deals,1003637.78,364,2757.25,513.34,4996.81
Clothing,Deal Seeker,Autumn Deals Drive,1053489.29,375,2809.30,511.91,4991.85
Clothing,Deal Seeker,BOGO Blitz,949490.38,347,2736.28,500.97,4996.75
Clothing,Deal Seeker,Back to School Boost,1061385.22,377,2815.35,514.47,4989.82
Clothing,Deal Seeker,Birthday Bash Sale,923094.27,356,2592.96,501.20,4994.20
Clothing,Deal Seeker,Black Friday Blowout,970742.26,346,2805.61,514.06,4996.19
Clothing,Deal Seeker,Cart Crasher Campaign,858852.06,314,2735.20,501.15,4989.90
Clothing,Deal Seeker,Cashback Carnival,815634.25,297,2746.24,515.77,4997.64
Clothing,Deal Seeker,Clearance Countdown,937159.03,349,2685.27,504.91,4996.18
Clothing,Deal Seeker,Countdown to Savings,832111.34,309,2692.92,504.03,4963.31
Clothing,Deal Seeker,Customer Appreciation Week,909555.80,326,2790.05,510.73,4984.88
Clothing,Deal Seeker,Cyber Monday Mania,880955.01,337,2614.11,502.02,4995.44
Clothing,Deal Seeker,Deal of the Month,1007683.71,362,2783.66,503.19,4992.66
Clothing,Deal Seeker,Double Points Bonanza,881008.49,320,2753.15,501.70,4987.50
Clothing,Deal Seeker,Early Bird Specials,995810.43,350,2845.17,553.35,4988.14
Clothing,Deal Seeker,End of Season Sale,868539.10,318,2731.26,504.46,4969.41
Clothing,Deal Seeker,Exclusive Insider Offers,887183.92,320,2772.45,513.28,4980.74
Clothing,Deal Seeker,Festive Fever Promo,966697.24,360,2685.27,509.13,4988.75
Clothing,Deal Seeker,Final Call Frenzy,959960.65,352,2727.16,509.40,4996.06
Clothing,Deal Seeker,Flash Frenzy Friday,985989.57,359,2746.49,524.18,4994.26
Clothing,Deal Seeker,"Gift More, Spend Less",888723.93,324,2742.98,510.97,4981.44
Clothing,Deal Seeker,Golden Hour Bargains,902107.21,327,2758.74,509.20,4997.10
Clothing,Deal Seeker,Green Weekend Deals,962013.75,351,2740.78,501.10,4989.62
Clothing,Deal Seeker,Happy Hour Discounts,906103.46,330,2745.77,546.58,4993.33
Clothing,Deal Seeker,Holiday Shopping Rush,830555.55,322,2579.37,501.97,4966.84
Clothing,Deal Seeker,Hot Picks Promo,903291.67,320,2822.79,502.48,4970.06
Clothing,Deal Seeker,Instant Gratification Sale,907364.73,340,2668.72,503.83,4992.16
