category,customer_segment,store_type,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Clothing,Budget Shopper,Large Malls / Complexes,BOGO Blitz,343012.76,110,3118.30,556.73,4973.52
Clothing,Budget Shopper,Large Malls / Complexes,Birthday Bash Sale,310245.17,117,2651.67,553.64,4894.15
Clothing,Budget Shopper,Large Malls / Complexes,Black Friday Blowout,371588.69,128,2903.04,502.21,4880.99
Clothing,Budget Shopper,Large Malls / Complexes,Cart Crasher Campaign,315834.83,111,2845.36,564.06,4986.36
Clothing,Budget Shopper,Large Malls / Complexes,Cashback Carnival,342548.53,122,2807.77,502.91,4904.95
Clothing,Budget Shopper,Large Malls / Complexes,Deal of the Month,318802.02,108,2951.87,610.76,4923.29
Clothing,Budget Shopper,Large Malls / Complexes,Double Points Bonanza,380580.42,138,2757.83,518.64,4953.09
Clothing,Budget Shopper,Large Malls / Complexes,End of Season Sale,327529.68,115,2848.08,530.68,4880.19
Clothing,Budget Shopper,Large Malls / Complexes,Flash Frenzy Friday,317242.33,107,2964.88,578.82,4855.23
Clothing,Budget Shopper,Large Malls / Complexes,Green Weekend Deals,330261.15,119,2775.30,586.56,4999.01
Clothing,Budget Shopper,Large Malls / Complexes,Holiday Shopping Rush,340008.41,113,3008.92,523.17,4992.48
Clothing,Budget Shopper,Large Malls / Complexes,Limited Time Treasures,305070.36,115,2652.79,545.66,4983.53
Clothing,Budget Shopper,Large Malls / Complexes,Loyalty Rewards Blast,333255.16,115,2897.87,668.92,4955.73
Clothing,Budget Shopper,Large Malls / Complexes,Mid-Year Madness,336373.32,124,2712.69,509.13,4956.91
Clothing,Budget Shopper,Large Malls / Complexes,Mystery Discount Days,309821.70,113,2741.78,613.27,4970.10
Clothing,Budget Shopper,Large Malls / Complexes,New Product Launch Promo,300832.23,107,2811.52,519.61,4999.95
Clothing,Budget Shopper,Large Malls / Complexes,Red Tag Clearance,311385.41,108,2883.20,535.29,4929.84
Clothing,Budget Shopper,Large Malls / Complexes,Shop & Save Spectacular,320283.57,114,2809.50,617.81,4992.75
Clothing,Budget Shopper,Large Malls / Complexes,Ultimate Value Event,313134.67,113,2771.10,537.39,4999.12
Clothing,Budget Shopper,Large Malls / Complexes,Winter Clearance Carnival,313109.53,109,2872.56,562.28,4899.53
Clothing,Budget Shopper,Small Stores / Shops,12 Days of Deals,307189.08,111,2767.47,585.70,4957.65
Clothing,Budget Shopper,Small Stores / Shops,Autumn Deals Drive,324214.45,128,2532.93,525.01,4990.58
Clothing,Budget Shopper,Small Stores / Shops,BOGO Blitz,350594.21,120,2921.62,635.44,4969.91
Clothing,Budget Shopper,Small Stores / Shops,Back to School Boost,331011.12,121,2735.63,515.93,4986.50
Clothing,Budget Shopper,Small Stores / Shops,Black Friday Blowout,349019.55,124,2814.67,568.13,4894.40
Clothing,Budget Shopper,Small Stores / Shops,Cart Crasher Campaign,341460.42,124,2753.71,557.26,4996.24
Clothing,Budget Shopper,Small Stores / Shops,Cashback Carnival,363246.49,127,2860.21,538.21,4982.95
Clothing,Budget Shopper,Small Stores / Shops,Countdown to Savings,323392.99,117,2764.04,516.38,4956.58
