customer_segment,sum_amount,count,avg_amount,min_amount,max_amount
Budget Shopper,273452062.88,99358,2752.19,500.04,4999.97
Churn Risk,275557809.76,100226,2749.36,500.07,4999.91
Deal Seeker,277078738.08,100845,2747.57,500.05,4999.95
First-time Buyer,274131134.01,99495,2755.23,500.00,4999.98
High Value,276060786.64,100591,2744.39,500.03,4999.98
In-Store Regular,273448568.66,99339,2752.68,500.03,4999.96
Loyal Customer,275447000.72,100044,2753.26,500.08,4999.97
Occasional Shopper,276440902.53,100558,2749.07,500.07,4999.80
Online Shopper,277653818.08,100819,2753.98,500.04,4999.97
Premium Shopper,271603773.33,98725,2751.11,500.07,4999.87
