store_type,salesperson_role,sum_amount,count,avg_amount,min_amount,max_amount
Large Malls / Complexes,Manager,217592768.61,79245,2745.82,500.07,4999.91
Large Malls / Complexes,Sales Associate,229784311.40,83590,2748.94,500.10,4999.95
Large Malls / Complexes,Salesperson,226817336.86,82087,2763.13,500.25,4999.97
Large Malls / Complexes,Senior Salesperson,197366981.22,71777,2749.72,500.11,4999.96
Small Stores / Shops,Manager,232512123.38,84313,2757.73,500.04,4999.89
Small Stores / Shops,Sales Associate,243693731.23,88428,2755.84,500.01,4999.98
Small Stores / Shops,Salesperson,240604698.92,87669,2744.47,500.01,4999.87
Small Stores / Shops,Senior Salesperson,210465947.09,76479,2751.94,500.03,4999.96
Supermarkets ,Manager,238714600.68,86845,2748.74,500.00,4999.97
Supermarkets ,Sales Associate,251444467.70,91564,2746.11,500.09,4999.96
Supermarkets ,Salesperson,246166640.67,89577,2748.10,500.09,4999.96
Supermarkets ,Senior Salesperson,215710986.93,78426,2750.50,500.03,4999.98
