customer_segment,sum_amount,count,avg_amount,pct_of_total
Online Shopper,277653818.08,100819,2753.98,10.09
Deal Seeker,277078738.08,100845,2747.57,10.07
Occasional Shopper,276440902.53,100558,2749.07,10.05
High Value,276060786.64,100591,2744.39,10.04
Churn Risk,275557809.76,100226,2749.36,10.02
Loyal Customer,275447000.72,100044,2753.26,10.01
First-time Buyer,274131134.01,99495,2755.23,9.97
Budget Shopper,273452062.88,99358,2752.19,9.94
In-Store Regular,273448568.66,99339,2752.68,9.94
Premium Shopper,271603773.33,98725,2751.11,9.87
